Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Tom Bambrick,Leah Gazan,Gary Gervais,Donald Grant,Rahul Walia,Debra Wall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46010,"Winnipeg Centre/Winnipeg-Centre"," 1","Winnipeg",76,56,0,0,69,1,0,202,480
46010,"Winnipeg Centre/Winnipeg-Centre"," 2","Winnipeg",94,45,1,0,48,4,0,192,493
46010,"Winnipeg Centre/Winnipeg-Centre"," 3","Winnipeg",64,42,2,1,66,0,0,175,497
46010,"Winnipeg Centre/Winnipeg-Centre"," 4","Winnipeg",51,35,1,1,56,3,0,147,524
46010,"Winnipeg Centre/Winnipeg-Centre"," 5","Winnipeg",45,23,1,0,42,0,2,113,470
46010,"Winnipeg Centre/Winnipeg-Centre"," 6","Winnipeg",32,41,0,3,32,1,0,109,486
46010,"Winnipeg Centre/Winnipeg-Centre"," 7","Winnipeg",34,20,0,4,23,0,1,82,482
46010,"Winnipeg Centre/Winnipeg-Centre"," 8","Winnipeg",49,56,1,1,36,0,2,145,557
46010,"Winnipeg Centre/Winnipeg-Centre"," 9","Winnipeg",44,54,2,4,57,0,2,163,462
46010,"Winnipeg Centre/Winnipeg-Centre"," 10","Winnipeg",70,44,1,4,58,0,3,180,527
46010,"Winnipeg Centre/Winnipeg-Centre"," 11","Winnipeg",55,42,0,2,55,0,1,155,486
46010,"Winnipeg Centre/Winnipeg-Centre"," 12","Winnipeg",40,24,2,0,37,0,0,103,382
46010,"Winnipeg Centre/Winnipeg-Centre"," 13","Winnipeg",45,20,2,1,25,0,1,94,413
46010,"Winnipeg Centre/Winnipeg-Centre"," 14","Winnipeg",50,35,0,0,44,0,3,132,407
46010,"Winnipeg Centre/Winnipeg-Centre"," 15","Winnipeg",49,23,2,1,24,1,1,101,434
46010,"Winnipeg Centre/Winnipeg-Centre"," 16","Winnipeg",49,23,0,0,36,1,1,110,457
46010,"Winnipeg Centre/Winnipeg-Centre"," 17","Winnipeg",27,30,1,3,29,3,1,94,452
46010,"Winnipeg Centre/Winnipeg-Centre"," 18","Winnipeg",23,22,0,2,23,1,3,74,463
46010,"Winnipeg Centre/Winnipeg-Centre"," 19","Winnipeg",19,41,2,1,24,0,0,87,477
46010,"Winnipeg Centre/Winnipeg-Centre"," 20","Winnipeg",18,14,1,6,18,0,0,57,425
46010,"Winnipeg Centre/Winnipeg-Centre"," 21","Winnipeg",20,24,0,2,23,0,0,69,362
46010,"Winnipeg Centre/Winnipeg-Centre"," 22","Winnipeg",14,19,0,0,15,1,2,51,461
46010,"Winnipeg Centre/Winnipeg-Centre"," 23A","Winnipeg",27,15,1,2,41,1,0,87,298
46010,"Winnipeg Centre/Winnipeg-Centre"," 23B","Winnipeg",28,21,0,0,35,1,1,86,358
46010,"Winnipeg Centre/Winnipeg-Centre"," 24","Winnipeg",36,33,0,1,41,2,1,114,361
46010,"Winnipeg Centre/Winnipeg-Centre"," 25","Winnipeg",71,81,2,3,51,0,3,211,546
