Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Royden Brousseau,Ben Carr,Jaclyn Cummings,Tait Palsson,Chris Petriew,Jorge Requena Ramos,Cam Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 1","Winnipeg",31,85,0,1,1,28,0,2,148,516
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 2","Winnipeg",18,41,0,0,4,17,4,0,84,289
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 3","Winnipeg",18,76,0,0,2,18,3,2,119,409
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 4","Winnipeg",32,87,1,0,5,30,5,0,160,445
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 5A","Winnipeg",21,60,2,0,2,28,5,0,118,410
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 5B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°138B,,,,,,,,,129
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 6","Winnipeg",50,194,3,1,11,23,3,1,286,654
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 7","Winnipeg",74,249,1,3,4,26,4,0,361,542
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 8","Winnipeg",47,110,1,2,2,25,4,2,193,436
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 9","Winnipeg",46,115,1,1,0,15,4,0,182,376
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 10","Winnipeg",48,115,0,1,2,31,2,1,200,453
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 11","Winnipeg",52,151,1,0,0,9,4,2,219,517
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 12","Winnipeg",23,51,0,0,3,17,2,3,99,301
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 13","Winnipeg",26,88,2,2,2,26,2,1,149,475
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 14","Winnipeg",73,92,1,0,0,2,2,0,170,474
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 15","Winnipeg",67,132,1,0,3,9,0,1,213,471
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 16","Winnipeg",39,116,0,0,1,11,1,0,168,439
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 17","Winnipeg",33,108,0,1,1,11,1,0,155,387
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 18","Winnipeg",42,125,1,0,0,10,3,0,181,385
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 19","Winnipeg",63,77,1,0,2,10,0,0,153,359
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 20","Winnipeg",24,99,0,0,2,5,1,0,131,473
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 21","Winnipeg",61,133,4,0,2,20,1,0,221,635
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 22","Winnipeg",42,86,0,0,2,20,6,1,157,418
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 23","Winnipeg",28,73,0,2,2,15,5,0,125,346
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 24","Winnipeg",56,106,1,0,6,16,1,0,186,446
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 25","Winnipeg",60,124,0,0,3,8,0,0,195,423
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 26","Winnipeg",60,125,0,0,4,10,1,0,200,395
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 27","Winnipeg",28,99,0,0,0,5,0,0,132,341
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 28","Winnipeg",34,110,1,1,0,12,0,2,160,433
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 29","Winnipeg",37,95,0,0,1,5,0,1,139,332
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 30","Winnipeg",64,76,1,0,1,13,0,0,155,445
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 31","Winnipeg",20,37,0,0,1,15,0,0,73,271
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 32","Winnipeg",35,89,1,1,2,27,3,1,159,484
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 33A","Winnipeg",43,92,2,0,2,24,1,0,164,331
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 33B","Winnipeg",32,95,0,0,3,17,0,1,148,329
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 34","Winnipeg",48,92,0,0,2,32,0,0,174,440
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 35","Winnipeg",36,119,1,2,3,41,7,0,209,472
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 36","Winnipeg",25,93,0,0,3,30,2,0,153,409
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 37","Winnipeg",53,145,1,1,3,35,1,1,240,424
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 38","Winnipeg",36,125,0,0,1,19,5,0,186,388
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 39","Winnipeg",47,121,1,0,1,8,4,1,183,403
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 40","Winnipeg",30,120,0,0,3,7,1,1,162,355
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 41","Winnipeg",27,93,1,0,2,4,0,0,127,324
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 42","Winnipeg",51,116,0,0,0,8,1,0,176,452
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 43","Winnipeg",33,83,0,0,2,10,2,0,130,360
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 44","Winnipeg",30,112,1,0,1,13,1,1,159,438
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 45","Winnipeg",38,79,0,0,3,4,1,0,125,390
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 46","Winnipeg",38,94,0,1,3,10,0,0,146,376
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 47","Winnipeg",40,101,2,0,3,21,4,1,172,528
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 48","Winnipeg",17,83,1,4,3,15,2,0,125,309
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 49","Winnipeg",22,52,1,1,2,12,1,0,91,333
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 50","Winnipeg",31,69,1,0,2,23,1,0,127,376
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 51","Winnipeg",43,107,1,1,3,23,4,0,182,327
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 52","Winnipeg",58,151,2,0,4,16,2,1,234,528
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 53","Winnipeg",22,75,0,0,6,9,0,0,112,378
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 54","Winnipeg",40,84,1,0,3,30,3,0,161,435
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 55","Winnipeg",41,92,1,0,4,18,1,1,158,416
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 56","Winnipeg",47,71,1,0,1,15,2,2,139,377
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 57","Winnipeg",52,108,0,0,4,7,1,1,173,398
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 58","Winnipeg",28,61,1,1,1,10,2,0,104,387
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 59","Winnipeg",58,102,1,1,1,12,0,1,176,404
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 60","Winnipeg",45,90,1,1,2,2,0,1,142,389
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 61","Winnipeg",43,93,0,0,1,18,2,1,158,378
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 62","Winnipeg",55,151,1,0,3,16,2,1,229,487
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 63","Winnipeg",20,59,1,0,2,30,3,0,115,341
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 64","Winnipeg",29,86,3,0,1,19,2,0,140,361
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 65","Winnipeg",36,95,1,0,1,18,5,1,157,373
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 66","Winnipeg",51,115,1,1,2,16,1,1,188,471
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 67","Winnipeg",43,89,1,0,4,20,0,0,157,547
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 68","Winnipeg",31,164,0,0,0,34,5,2,236,489
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 69","Winnipeg",35,93,1,1,2,30,2,0,164,395
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 70","Winnipeg",42,174,3,1,3,20,4,1,248,502
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 71","Winnipeg",49,106,1,1,2,26,4,1,190,446
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 72","Winnipeg",30,58,1,1,3,25,1,3,122,286
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 73","Winnipeg",57,128,0,0,4,37,4,1,231,469
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 74","Winnipeg",57,113,0,1,3,37,0,0,211,381
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 75","Winnipeg",25,81,0,2,2,20,2,1,133,363
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 76","Winnipeg",54,154,1,0,8,31,4,0,252,492
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 77","Winnipeg",33,118,4,0,3,15,1,1,175,394
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 78","Winnipeg",66,56,4,0,1,17,1,1,146,434
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 79","Winnipeg",38,53,1,0,3,9,0,0,104,396
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 80","Winnipeg",56,88,0,0,0,9,0,0,153,453
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 81","Winnipeg",62,111,2,0,1,21,0,2,199,477
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 82","Winnipeg",42,136,0,0,5,27,1,0,211,485
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 83","Winnipeg",46,116,1,2,4,20,3,0,192,400
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 84","Winnipeg",38,83,1,4,3,11,1,1,142,392
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 85","Winnipeg",44,127,1,0,0,16,2,0,190,406
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 86","Winnipeg",40,88,1,0,2,15,2,0,148,359
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 87","Winnipeg",39,97,1,2,1,17,0,1,158,533
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 88","Winnipeg",44,95,0,1,0,8,2,0,150,436
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 89","Winnipeg",32,81,1,1,0,8,1,0,124,364
46013,"Winnipeg South Centre/Winnipeg-Centre-Sud"," 90","Winnipeg",54,75,0,0,0,5,0,0,134,420
