Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kelly Block,Cheryl Loadman,Katelyn Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 1","Mullingar",171,7,3,3,184,272
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 1-1","Lucky Man",Void/Supprimé,,,,,
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 1-2","Muskeg Lake 102B",Combined with No./Résultats combinés à ceux du n°2,,,,,7
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 2","Pebble Baye",52,8,56,1,117,199
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 2-1","Muskeg Lake Cree Nation 102",Combined with No./Résultats combinés à ceux du n°2,,,,,36
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 3","Parkside",116,6,15,1,138,210
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 4","Leask",175,13,28,2,218,602
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 5","Marcelin",72,13,23,0,108,327
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 5-1","Beardy's and Okemasis 96 & 97C",Combined with No./Résultats combinés à ceux du n°5,,,,,7
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 6","Speers",89,6,12,2,109,264
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 7","Hafford",78,4,2,0,84,241
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 8","Hafford",94,7,12,0,113,301
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 9","Carlton",Combined with No./Résultats combinés à ceux du n°9-1,,,,,134
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 9-1","Beardy's 97 and Okemasis 96",59,22,233,2,316,312
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 10","Duck Lake",90,15,59,2,166,477
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 10-1","Willow Cree",Combined with No./Résultats combinés à ceux du n°10,,,,,1
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 11","Duck Lake",33,6,64,0,103,378
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 12","Blaine Lake",86,4,15,0,105,341
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 13","Blaine Lake",89,3,20,2,114,304
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 14","St. Louis",130,25,35,1,191,328
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 15","Hoey",100,12,20,0,132,229
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 16","Maymont",152,21,15,3,191,272
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 17","Laird",203,7,25,1,236,424
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 18","St-Laurent-Grandin",131,11,22,4,168,314
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 18-1","One Arrow 95",7,3,79,0,89,184
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 19","Domremy",86,8,14,0,108,262
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 20","Beatty",149,4,10,0,163,246
47002,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 21","Waldheim",212,2,10,0,224,366
