Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Britt Baumann,Chey Craik,Mike Gardiner,Tabitha Mukamusoni,Fraser Tolmie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 1","Viscount",11,0,1,21,140,0,173,466
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 2","Colonsay",18,5,0,22,145,2,192,452
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 3","Whitecap",19,3,2,110,21,3,158,331
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 4","Plunkett",4,1,1,13,115,0,134,232
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 5","Dundurn",14,3,2,33,129,0,181,491
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 6A","Dundurn",8,4,1,42,125,1,181,545
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 6B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,55
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 7","Dundurn",14,3,2,41,148,1,209,494
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 8","Dundurn",8,3,2,21,111,1,146,501
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 9","Dundurn",17,4,0,28,143,1,193,454
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 10","Lanigan",6,0,0,11,87,1,105,291
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 11","Lanigan",8,6,2,5,109,0,130,407
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 12A","Lanigan",6,2,0,14,146,0,168,530
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 12B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,,32
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 13","Leroy",13,3,0,20,188,0,224,361
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 14","Leroy",13,9,1,18,140,0,181,288
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 15","Guernsey",10,4,3,9,117,0,143,280
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 16","Zelma",15,5,1,31,221,0,273,425
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 17","Hanley",20,12,3,28,231,0,294,470
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 18","Strong",17,11,4,27,170,0,229,308
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 19","Broderick",8,24,0,13,120,1,166,368
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 20","Outlook",9,6,4,16,89,0,124,346
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 21","Outlook",8,12,1,12,78,0,111,377
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 22","Outlook",10,7,1,21,98,0,137,410
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 23","Outlook",10,3,4,18,91,2,128,377
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 24","Outlook",7,1,3,10,69,0,90,267
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 25","Watrous",9,2,1,19,98,0,129,354
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 26","Watrous",11,2,2,19,96,1,131,391
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 27","Watrous",11,1,0,16,96,0,124,382
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 28","Watrous",14,7,2,18,78,0,119,365
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 29","Watrous",9,2,1,13,52,1,78,280
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 30","Drake",3,6,4,15,135,0,163,287
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 31","Jansen",9,3,0,10,133,0,155,263
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 32","Hawarden",3,2,0,2,49,0,56,341
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 33","Farrerdale",7,12,2,22,169,1,213,439
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 34","Loreburn",7,6,0,8,202,0,223,326
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 35","Nokomis",14,3,2,10,164,0,193,404
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 36","Simpson",3,1,1,9,71,2,87,276
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 37","Imperial",10,2,1,19,147,0,179,250
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 38","Etters Beach--Liberty",2,4,1,19,139,0,165,259
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 39","Semans",11,3,1,20,195,0,230,359
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 40","Davidson",5,6,1,11,104,0,127,394
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 41","Davidson",12,1,1,21,129,0,164,365
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 42","Davidson",3,9,5,17,122,1,157,384
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 43","Govan",6,2,0,12,136,1,157,266
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 44","Elbow",14,10,1,64,213,1,303,445
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 45","Duval",4,3,2,14,166,0,189,235
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 46","Craik",9,4,0,18,90,2,123,339
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 47","Craik No. 222",4,1,0,11,93,0,109,258
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 48","Riverhurst",7,2,0,9,117,1,136,237
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 49","Strasbourg",6,4,1,25,160,2,198,394
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 50","Strasbourg",9,4,3,34,183,2,235,475
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 51","Holdfast",9,7,0,14,132,0,162,252
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 52","Central Butte",10,3,3,13,168,0,197,434
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 53","Bulyea",8,6,2,20,106,1,143,368
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 54","Eyebrow",11,17,0,17,205,1,251,438
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 55","Chamberlain",4,7,0,7,98,0,116,277
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 56","Earl Grey",17,3,1,30,219,0,270,448
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 57","Dilke",2,17,2,23,139,2,185,274
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 58","Saskatchewan Beach",14,7,2,47,192,1,263,417
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 59","Silton",14,3,1,44,220,1,283,451
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 60","Regina Beach",11,7,0,54,164,0,236,359
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 61","Regina Beach",11,2,0,21,97,0,131,219
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 62","Regina Beach",5,4,2,35,129,0,175,353
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 63","Buena Vista",12,2,1,46,162,0,223,398
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 64","Marquis",5,4,0,11,88,1,109,269
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 65","Tuxford",8,3,1,20,133,0,165,369
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 66","Buena Vista",3,2,0,26,126,1,158,310
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 67","Bethune",13,2,1,13,168,0,197,278
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 68","Bethune",10,8,2,22,141,1,184,272
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 69","Craven",22,4,0,84,242,0,352,578
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 70","Craven",7,1,2,33,108,0,151,305
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 71","Chaplin",13,3,3,18,149,1,187,315
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 72","Disley",15,4,3,36,160,1,219,457
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 73","Lumsden",15,2,2,49,135,0,203,506
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 74","Mortlach",9,9,2,26,152,0,198,329
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 75","Lumsden",17,2,1,54,160,0,234,520
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 76","Lumsden",12,1,2,36,112,1,164,420
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 77","Lumsden",12,3,1,32,164,0,212,482
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 78","Caronport",9,4,2,14,111,3,143,336
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 79","Caronport",3,7,0,17,93,1,121,323
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 80","Mount Pleasant",3,6,1,9,111,1,131,274
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 81","Mount Pleasant",9,1,0,8,59,0,77,273
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 82","Moose Jaw",12,1,0,30,95,0,138,419
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 83","Moose Jaw",19,8,1,27,85,0,140,364
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 84","Moose Jaw",14,4,0,24,83,0,125,389
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 85","Moose Jaw",10,1,3,22,105,0,141,384
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 86","Moose Jaw",9,4,2,25,63,0,103,336
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 87","Moose Jaw",13,3,2,33,86,1,138,360
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 88","Moose Jaw",13,7,1,15,72,1,109,377
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 89","Moose Jaw",15,6,0,23,127,0,171,429
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 90","Moose Jaw",9,3,2,29,67,1,111,419
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 91","Moose Jaw",15,4,2,26,81,1,129,363
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 92","Moose Jaw",15,9,3,15,86,1,129,386
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 93","Moose Jaw",10,7,0,21,77,0,115,362
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 94","Moose Jaw",13,5,2,18,82,1,121,471
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 95","Moose Jaw",7,1,3,14,57,0,82,377
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 96","Moose Jaw",17,7,1,27,106,2,160,451
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 97","Moose Jaw",8,2,2,27,68,0,107,424
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 98","Moose Jaw",17,3,2,22,74,1,119,385
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 99A","Moose Jaw",4,4,0,23,45,1,77,310
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 99B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°514,,,,,,,87
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 100","Moose Jaw",18,3,1,26,95,2,145,427
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 101","Moose Jaw",19,0,4,17,111,1,152,435
47004,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan"," 102","Caron",8,13,2,14,172,0,209,492
