Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jaxson Boot,Isaiah Hunter,Melissa McGillivray,Greg Poelzer,Corey Tochor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47010,"Saskatoon--University/Saskatoon--University"," 1","Saskatoon",0,1,14,46,94,0,155,405
47010,"Saskatoon--University/Saskatoon--University"," 2","Saskatoon",0,0,6,49,87,5,147,381
47010,"Saskatoon--University/Saskatoon--University"," 3","Saskatoon",1,0,7,47,80,1,136,402
47010,"Saskatoon--University/Saskatoon--University"," 4","Saskatoon",2,0,7,39,86,0,134,354
47010,"Saskatoon--University/Saskatoon--University"," 5","Saskatoon",2,1,13,73,100,2,191,441
47010,"Saskatoon--University/Saskatoon--University"," 6","Saskatoon",2,1,14,57,104,0,178,437
47010,"Saskatoon--University/Saskatoon--University"," 7","Saskatoon",1,0,12,51,79,0,143,358
47010,"Saskatoon--University/Saskatoon--University"," 8","Saskatoon",2,1,9,55,66,1,134,365
47010,"Saskatoon--University/Saskatoon--University"," 9","Saskatoon",0,0,5,39,50,1,95,334
47010,"Saskatoon--University/Saskatoon--University"," 10","Saskatoon",0,2,10,59,99,1,171,412
47010,"Saskatoon--University/Saskatoon--University"," 11","Saskatoon",1,1,11,52,79,2,146,412
47010,"Saskatoon--University/Saskatoon--University"," 12","Saskatoon",1,0,17,60,77,1,156,388
47010,"Saskatoon--University/Saskatoon--University"," 13","Saskatoon",2,1,13,74,82,1,173,438
47010,"Saskatoon--University/Saskatoon--University"," 14","Saskatoon",0,0,15,48,74,1,138,355
47010,"Saskatoon--University/Saskatoon--University"," 15","Saskatoon",0,1,3,31,53,1,89,375
47010,"Saskatoon--University/Saskatoon--University"," 16","Saskatoon",1,1,10,55,62,0,129,388
47010,"Saskatoon--University/Saskatoon--University"," 17","Saskatoon",5,1,8,60,73,1,148,410
47010,"Saskatoon--University/Saskatoon--University"," 18","Saskatoon",1,0,13,42,92,2,150,417
47010,"Saskatoon--University/Saskatoon--University"," 19","Saskatoon",0,0,8,58,59,1,126,524
47010,"Saskatoon--University/Saskatoon--University"," 20","Saskatoon",0,0,6,26,46,0,78,253
47010,"Saskatoon--University/Saskatoon--University"," 21","Saskatoon",1,2,7,48,58,0,116,431
47010,"Saskatoon--University/Saskatoon--University"," 22","Saskatoon",0,1,15,64,89,2,171,541
47010,"Saskatoon--University/Saskatoon--University"," 23","Saskatoon",0,0,5,59,108,0,172,499
47010,"Saskatoon--University/Saskatoon--University"," 24","Saskatoon",1,2,18,96,106,1,224,702
47010,"Saskatoon--University/Saskatoon--University"," 25","Saskatoon",1,0,12,79,114,2,208,566
47010,"Saskatoon--University/Saskatoon--University"," 26","Saskatoon",0,0,6,41,35,1,83,318
47010,"Saskatoon--University/Saskatoon--University"," 27","Saskatoon",1,0,8,42,78,2,131,329
47010,"Saskatoon--University/Saskatoon--University"," 28","Saskatoon",1,1,9,32,50,0,93,347
47010,"Saskatoon--University/Saskatoon--University"," 29","Saskatoon",1,1,14,52,64,2,134,370
47010,"Saskatoon--University/Saskatoon--University"," 30A","Saskatoon",0,0,16,27,54,0,97,394
47010,"Saskatoon--University/Saskatoon--University"," 30B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,33
47010,"Saskatoon--University/Saskatoon--University"," 31","Saskatoon",0,1,5,47,67,1,121,409
47010,"Saskatoon--University/Saskatoon--University"," 32","Saskatoon",0,0,8,42,44,0,94,322
47010,"Saskatoon--University/Saskatoon--University"," 33","Saskatoon",3,0,13,42,74,0,132,392
47010,"Saskatoon--University/Saskatoon--University"," 34","Saskatoon",3,1,15,50,51,0,120,359
47010,"Saskatoon--University/Saskatoon--University"," 35","Saskatoon",2,1,10,67,84,3,167,446
47010,"Saskatoon--University/Saskatoon--University"," 36","Saskatoon",1,0,7,24,68,0,100,407
47010,"Saskatoon--University/Saskatoon--University"," 37","Saskatoon",0,1,23,71,97,0,192,444
47010,"Saskatoon--University/Saskatoon--University"," 38","Saskatoon",0,3,14,61,79,0,157,366
47010,"Saskatoon--University/Saskatoon--University"," 39","Saskatoon",1,1,8,48,60,0,118,432
47010,"Saskatoon--University/Saskatoon--University"," 40","Saskatoon",0,1,11,66,61,1,140,467
47010,"Saskatoon--University/Saskatoon--University"," 41","Saskatoon",4,1,15,67,92,0,179,494
47010,"Saskatoon--University/Saskatoon--University"," 42A","Saskatoon",1,0,9,61,63,0,134,384
47010,"Saskatoon--University/Saskatoon--University"," 42B","Saskatoon",Combined with No./Résultats combinés à ceux du n°401,,,,,,,34
47010,"Saskatoon--University/Saskatoon--University"," 43","Saskatoon",1,1,4,72,65,1,144,355
47010,"Saskatoon--University/Saskatoon--University"," 44","Saskatoon",1,1,13,47,82,0,144,377
47010,"Saskatoon--University/Saskatoon--University"," 45","Saskatoon",1,0,4,53,97,0,155,425
47010,"Saskatoon--University/Saskatoon--University"," 46","Saskatoon",0,0,8,58,85,0,151,489
47010,"Saskatoon--University/Saskatoon--University"," 47","Saskatoon",1,3,11,66,148,1,230,496
47010,"Saskatoon--University/Saskatoon--University"," 48","Saskatoon",1,1,11,57,65,1,136,343
47010,"Saskatoon--University/Saskatoon--University"," 49","Saskatoon",2,0,12,66,76,1,157,364
47010,"Saskatoon--University/Saskatoon--University"," 50","Saskatoon",0,0,16,68,124,1,209,595
47010,"Saskatoon--University/Saskatoon--University"," 51","Saskatoon",1,0,11,99,111,1,223,544
47010,"Saskatoon--University/Saskatoon--University"," 52","Saskatoon",4,3,18,95,107,0,227,615
47010,"Saskatoon--University/Saskatoon--University"," 53","Saskatoon",1,0,2,34,121,0,158,448
47010,"Saskatoon--University/Saskatoon--University"," 54","Saskatoon",1,0,20,67,131,0,219,601
47010,"Saskatoon--University/Saskatoon--University"," 55","Saskatoon",1,1,15,84,79,1,181,528
47010,"Saskatoon--University/Saskatoon--University"," 56","Saskatoon",0,1,18,68,117,0,204,544
47010,"Saskatoon--University/Saskatoon--University"," 57","Saskatoon",0,1,19,56,58,0,134,403
47010,"Saskatoon--University/Saskatoon--University"," 58","Saskatoon",1,2,24,59,64,1,151,410
47010,"Saskatoon--University/Saskatoon--University"," 59","Saskatoon",1,2,13,63,58,0,137,401
47010,"Saskatoon--University/Saskatoon--University"," 60","Saskatoon",0,1,18,51,54,0,124,382
47010,"Saskatoon--University/Saskatoon--University"," 61","Saskatoon",1,1,25,67,83,0,177,524
47010,"Saskatoon--University/Saskatoon--University"," 62","Saskatoon",2,2,17,69,58,1,149,467
47010,"Saskatoon--University/Saskatoon--University"," 63","Saskatoon",1,1,21,39,60,0,122,407
47010,"Saskatoon--University/Saskatoon--University"," 64","Saskatoon",0,0,9,53,57,0,119,450
47010,"Saskatoon--University/Saskatoon--University"," 65","Saskatoon",2,0,15,54,82,2,155,474
47010,"Saskatoon--University/Saskatoon--University"," 66","Saskatoon",1,1,11,61,100,2,176,530
47010,"Saskatoon--University/Saskatoon--University"," 67","Saskatoon",1,0,6,69,89,0,165,460
47010,"Saskatoon--University/Saskatoon--University"," 68","Saskatoon",2,3,8,49,58,0,120,360
47010,"Saskatoon--University/Saskatoon--University"," 69","Saskatoon",1,0,19,51,56,2,129,411
47010,"Saskatoon--University/Saskatoon--University"," 70","Saskatoon",1,0,12,66,125,2,206,630
47010,"Saskatoon--University/Saskatoon--University"," 71","Saskatoon",0,1,9,35,76,0,121,432
47010,"Saskatoon--University/Saskatoon--University"," 72","Saskatoon",0,2,6,58,93,0,159,439
47010,"Saskatoon--University/Saskatoon--University"," 73","Saskatoon",1,0,8,51,52,0,112,425
47010,"Saskatoon--University/Saskatoon--University"," 74","Saskatoon",0,0,23,42,78,1,144,450
47010,"Saskatoon--University/Saskatoon--University"," 75","Saskatoon",0,0,14,41,71,1,127,322
47010,"Saskatoon--University/Saskatoon--University"," 76","Saskatoon",1,0,13,88,97,0,199,625
47010,"Saskatoon--University/Saskatoon--University"," 77","Saskatoon",0,0,12,50,108,0,170,515
47010,"Saskatoon--University/Saskatoon--University"," 78","Saskatoon",0,0,7,58,104,1,170,521
47010,"Saskatoon--University/Saskatoon--University"," 79","Saskatoon",0,0,6,49,65,0,120,422
47010,"Saskatoon--University/Saskatoon--University"," 80","Saskatoon",0,0,10,37,108,1,156,586
47010,"Saskatoon--University/Saskatoon--University"," 81","Saskatoon",0,2,19,67,111,1,200,648
47010,"Saskatoon--University/Saskatoon--University"," 82","Saskatoon",1,1,22,56,100,0,180,508
47010,"Saskatoon--University/Saskatoon--University"," 83","Saskatoon",0,0,17,48,60,0,125,420
47010,"Saskatoon--University/Saskatoon--University"," 84","Saskatoon",1,2,20,62,74,0,159,475
47010,"Saskatoon--University/Saskatoon--University"," 85","Saskatoon",2,5,9,39,48,0,103,388
47010,"Saskatoon--University/Saskatoon--University"," 86","Saskatoon",0,2,5,29,43,0,79,361
47010,"Saskatoon--University/Saskatoon--University"," 87","Saskatoon",0,2,5,44,80,0,131,413
47010,"Saskatoon--University/Saskatoon--University"," 88","Saskatoon",1,0,7,61,82,0,151,522
47010,"Saskatoon--University/Saskatoon--University"," 89","Saskatoon",0,2,13,59,48,0,122,451
47010,"Saskatoon--University/Saskatoon--University"," 90","Saskatoon",0,0,15,84,50,2,151,413
