Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,William Caton,Maria Rose Lewans,Alex McPhee,Jeremy Patzer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 1","Macklin",9,1,7,109,1,127,395
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 2","Macklin",13,1,6,111,0,131,439
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 3","Macklin",12,1,2,104,0,119,330
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 4","Reward",11,1,0,130,2,144,240
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 5","Scott",Combined with No./Résultats combinés à ceux du n°9,,,,,,400
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 6","Cactus Lake",4,1,1,62,0,68,270
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 7","Denzil",16,1,3,190,0,210,384
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 8","Luseland",23,3,18,223,0,267,400
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 9","Landis",27,4,21,256,0,308,568
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 10","Tramping Lake",6,1,2,95,0,104,174
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 11","Kelfield",11,2,5,100,0,118,282
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 12","Kerrobert",8,3,3,128,0,142,345
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 13A","Kerrobert",17,0,6,155,1,179,503
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 13B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,4
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 14","Major",11,1,4,152,1,169,385
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 15","Monarchvale",18,3,14,97,1,133,370
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 16","Biggar",24,1,10,78,0,113,412
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 17","Biggar",12,1,11,62,0,86,323
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 18","Biggar",18,1,8,93,1,121,367
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 19","Springwater",3,2,2,37,0,44,221
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 20","Biggar",15,0,13,110,1,139,429
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 21","Kinley",21,3,14,121,0,159,251
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 22","Kinley--Perdue",19,2,12,178,0,211,411
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 23","Coleville",10,4,1,187,1,203,337
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 24","Plenty",14,1,6,301,1,323,509
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 25","Herschel",12,3,2,118,0,135,300
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 26","Marengo",12,2,7,246,1,268,500
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 27","Marriott",6,1,6,64,0,77,261
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 28","Rosetown",22,1,5,102,0,130,340
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 29","Rosetown",21,0,7,85,1,114,315
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 30","Rosetown",12,3,9,72,0,96,324
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 31","Rosetown",11,0,5,94,2,112,380
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 32","Harris",28,4,20,158,0,210,346
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 33","Kindersley",12,0,7,109,3,131,433
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 34","Kindersley",9,2,5,113,0,129,463
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 35","Kindersley",10,1,1,88,0,100,312
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 36","Kindersley",9,0,6,146,0,161,383
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 37","Kindersley",14,3,11,154,0,182,554
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 38","Kindersley",6,1,13,114,1,135,400
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 39A","Kindersley",14,2,4,80,0,100,328
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 39B","Mobile poll/Bureau itinérant",9,3,2,55,4,73,84
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 40","Kindersley",8,1,2,108,0,119,309
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 41","Kindersley",8,0,3,98,0,109,261
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 42","Donavon",18,0,14,238,2,272,453
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 43","Brock",12,2,4,135,1,154,252
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 44","Rosetown",8,2,17,46,0,73,305
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 45","McGee",16,1,5,105,0,127,326
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 46","Sovereign",13,1,5,86,0,105,332
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 47","Eatonia",22,2,21,192,1,238,336
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 48","Eatonia",11,3,1,182,2,199,348
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 49","Milden",17,2,7,131,0,157,299
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 50","Conquest",18,2,6,154,0,180,297
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 51","Glidden",5,1,6,114,1,127,231
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 52","Eston",17,2,1,84,1,105,236
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 53","Eston",9,2,7,90,0,108,324
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 54","Eston",22,3,4,110,0,139,373
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 55","Macrorie",10,2,11,126,0,149,249
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 56","Elrose",47,2,16,194,1,260,347
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 57","Elrose",22,1,10,182,2,217,383
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 58","Dinsmore",15,0,17,111,1,144,439
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 59","Leader",11,2,5,72,0,90,262
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 60","Leader",9,2,9,91,1,112,334
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 61","Leader--Mendham",8,3,3,148,2,164,426
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 62","Sceptre",18,1,8,84,2,113,187
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 63","Burstall",24,1,6,129,1,161,233
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 64","Birsay",18,3,6,207,0,234,401
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 65","Lucky Lake",24,2,8,191,2,227,330
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 66","Lancer",9,3,12,170,1,195,395
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 67","Lacadena",31,4,19,204,1,259,407
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 68","Kyle",32,3,22,169,1,227,335
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 69","Richmound",11,1,7,105,0,124,170
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 70","Beechy",9,5,7,132,0,153,436
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 71","Cabri",22,2,16,149,0,189,252
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 72","Cabri",14,0,9,138,1,162,228
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 73","Fox Valley",13,1,6,192,0,212,404
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 74","Pennant",11,1,10,102,0,124,259
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 75","Stewart Valley",7,0,9,173,0,189,372
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 76","Hazlet",5,1,6,140,0,152,256
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 77","Golden Prairie",3,1,4,83,0,91,148
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 78","Herbert--Gouldtown",2,2,2,110,2,118,335
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 79","Herbert",15,2,3,70,0,90,236
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 80","Herbert",12,1,16,110,0,139,317
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 81","Success",14,1,11,136,0,162,419
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 82","Morse",18,4,9,159,0,190,312
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 83","Waldeck",6,0,6,127,0,139,354
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 84","Waldeck",2,0,1,95,0,98,242
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 85","Swift Current",18,2,6,114,1,141,438
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 86","Swift Current",36,2,11,130,0,179,411
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 87","Swift Current",22,2,16,127,2,169,455
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 88","Swift Current",28,1,17,127,0,173,405
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 89","Swift Current",21,0,34,149,0,204,447
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 90","Swift Current",26,2,11,176,0,215,482
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 91","Swift Current",27,1,10,139,0,177,579
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 92","Swift Current",18,1,14,63,2,98,394
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 93","Swift Current",21,0,11,116,0,148,430
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 94","Swift Current",26,2,19,144,0,191,379
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 95","Swift Current",36,2,13,230,1,282,571
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 96","Swift Current",38,3,18,227,1,287,563
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 97","Swift Current",40,1,19,128,0,188,475
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 98","Swift Current",26,2,13,93,0,134,371
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 99","Swift Current",13,0,11,85,1,110,346
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 100","Swift Current",19,1,10,102,1,133,375
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 101","Swift Current",13,1,14,88,0,116,333
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 102","Swift Current",12,2,17,85,0,116,353
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 103","Swift Current",18,4,10,87,2,121,454
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 104","Swift Current",21,4,21,127,2,175,485
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 105","Swift Current",8,1,12,89,0,110,324
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 106","Swift Current",24,1,7,123,0,155,377
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 107","Swift Current",31,0,8,150,0,189,437
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 108","Swift Current",19,5,11,147,3,185,407
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 109","Webb",7,4,7,136,0,154,426
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 110","Tompkins",12,1,2,118,0,133,253
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 111","Swift Current",28,2,18,153,0,201,559
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 112","Swift Current",23,5,16,164,2,210,521
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 113","Swift Current",20,2,16,150,0,188,573
47013,"Swift Current--Grasslands--Kindersley/Swift Current--Grasslands--Kindersley"," 114","Burnham",18,1,13,202,0,234,600
