Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jonathan Bridges,Douglas Gook,Damien Kurek,James MacKay,Brent Sutton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 1","Lindbrook",2,2,138,9,34,0,185,479
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 2","Tofield",3,1,146,8,23,0,181,488
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 3","Tofield",4,0,131,6,34,0,175,507
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 4","Tofield",3,2,123,4,25,0,157,478
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 5","Tofield",1,2,128,14,34,0,179,524
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 6","Tofield",5,2,128,14,22,0,171,443
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 7","Shonts",0,0,114,6,10,1,131,418
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 8","Spilstead",7,2,193,6,28,2,238,582
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 9","Spilstead",10,3,182,12,38,0,245,502
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 10","Hay Lakes",0,2,152,5,25,5,189,331
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 11","Ellswick",6,5,305,17,47,7,387,612
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 12","Miquelon Beach",6,2,222,7,25,0,262,473
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 13","Ryley",6,2,159,15,37,0,219,400
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 14","Ryley",6,0,191,5,17,0,219,371
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 15","Armena",5,1,171,15,11,0,203,446
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 16","Holden",6,0,134,7,28,1,176,329
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 17","Holden",2,3,127,4,23,1,160,305
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 18","Round Hill",3,3,237,11,22,0,276,448
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 19","Barlee Junction",1,1,119,13,24,1,159,468
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 20","Camrose",0,1,106,6,22,0,135,386
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 21","Camrose",3,0,135,13,39,0,190,483
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 22","Camrose",4,2,144,8,41,0,199,553
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 23","Barlee Junction",1,2,141,8,28,1,181,449
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 24","Camrose",2,1,110,15,38,1,167,486
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 25","Camrose",1,4,91,14,19,1,130,390
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 26","Camrose",0,2,91,15,35,2,145,395
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 27","Camrose",3,1,83,9,27,1,124,427
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 28","Camrose",5,3,134,11,41,1,195,464
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 29","Bittern Lake",6,0,138,5,13,0,162,424
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 30","Camrose",0,0,56,2,13,0,71,263
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 31","Camrose",1,1,58,5,19,1,85,214
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 32A","Camrose",0,3,44,7,29,0,83,272
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 32B","Camrose",1,0,69,3,22,2,97,317
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 33","Camrose",2,1,50,14,42,1,110,399
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 34","Camrose",0,2,56,15,18,0,91,356
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 35","Camrose",3,3,92,8,23,0,129,376
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 36","Bittern Lake",4,0,113,3,8,0,128,325
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 37","Camrose",3,3,122,11,23,1,163,478
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 38","Camrose",3,1,90,9,22,0,125,445
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 39","Camrose",3,2,78,6,10,1,100,408
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 40","Camrose",0,1,102,11,19,0,133,410
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 41","Camrose",1,3,107,12,26,2,151,479
48002,"Battle River--Crowfoot/Battle River--Crowfoot"," 42","Camrose",1,1,108,8,20,0,138,347
