Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Khalis Ahmed,Paul Godard,David GL McKenzie,Grant Strem,Bryndis Whitson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Signal Hill/Calgary Signal Hill"," 1","Calgary",2,1,207,1,94,1,306,495
48013,"Calgary Signal Hill/Calgary Signal Hill"," 2","Calgary",6,1,93,2,37,0,139,300
48013,"Calgary Signal Hill/Calgary Signal Hill"," 3","Calgary",6,1,185,0,85,3,280,598
48013,"Calgary Signal Hill/Calgary Signal Hill"," 4","Calgary",1,3,119,1,36,0,160,335
48013,"Calgary Signal Hill/Calgary Signal Hill"," 5","Calgary",7,0,197,5,75,0,284,547
48013,"Calgary Signal Hill/Calgary Signal Hill"," 6","Calgary",3,2,138,0,79,0,222,391
48013,"Calgary Signal Hill/Calgary Signal Hill"," 7","Calgary",6,0,99,0,85,3,193,425
48013,"Calgary Signal Hill/Calgary Signal Hill"," 8","Calgary",8,3,241,1,93,1,347,623
48013,"Calgary Signal Hill/Calgary Signal Hill"," 9","Calgary",6,1,139,2,59,0,207,404
48013,"Calgary Signal Hill/Calgary Signal Hill"," 10","Calgary",5,6,153,2,96,0,262,431
48013,"Calgary Signal Hill/Calgary Signal Hill"," 11","Calgary",9,2,116,0,68,0,195,385
48013,"Calgary Signal Hill/Calgary Signal Hill"," 12","Calgary",6,2,130,1,63,0,202,453
48013,"Calgary Signal Hill/Calgary Signal Hill"," 13","Calgary",7,1,159,0,73,1,241,416
48013,"Calgary Signal Hill/Calgary Signal Hill"," 14","Calgary",11,8,221,4,135,0,379,657
48013,"Calgary Signal Hill/Calgary Signal Hill"," 15A","Calgary",5,0,149,3,82,0,239,551
48013,"Calgary Signal Hill/Calgary Signal Hill"," 15B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,35
48013,"Calgary Signal Hill/Calgary Signal Hill"," 16","Calgary",8,0,132,3,40,0,183,510
48013,"Calgary Signal Hill/Calgary Signal Hill"," 17","Calgary",6,0,89,2,47,0,144,395
48013,"Calgary Signal Hill/Calgary Signal Hill"," 18","Calgary",7,0,111,1,68,0,187,521
48013,"Calgary Signal Hill/Calgary Signal Hill"," 19","Calgary",2,0,107,3,66,1,179,565
48013,"Calgary Signal Hill/Calgary Signal Hill"," 20","Calgary",6,0,105,2,41,2,156,484
48013,"Calgary Signal Hill/Calgary Signal Hill"," 21","Calgary",0,1,83,2,46,1,133,469
48013,"Calgary Signal Hill/Calgary Signal Hill"," 22","Calgary",3,0,109,1,67,1,181,587
48013,"Calgary Signal Hill/Calgary Signal Hill"," 23","Calgary",4,0,103,0,50,0,157,455
48013,"Calgary Signal Hill/Calgary Signal Hill"," 24","Calgary",4,0,114,4,38,1,161,487
48013,"Calgary Signal Hill/Calgary Signal Hill"," 25","Calgary",4,0,113,0,88,1,206,595
48013,"Calgary Signal Hill/Calgary Signal Hill"," 26","Calgary",0,0,110,1,46,4,161,640
48013,"Calgary Signal Hill/Calgary Signal Hill"," 27","Calgary",2,0,113,2,69,0,186,505
48013,"Calgary Signal Hill/Calgary Signal Hill"," 28","Calgary",1,0,139,3,46,2,191,565
48013,"Calgary Signal Hill/Calgary Signal Hill"," 29","Calgary",7,2,96,1,47,0,153,584
48013,"Calgary Signal Hill/Calgary Signal Hill"," 30","Calgary",3,0,113,0,52,0,168,509
48013,"Calgary Signal Hill/Calgary Signal Hill"," 31","Calgary",2,0,99,0,40,1,142,405
48013,"Calgary Signal Hill/Calgary Signal Hill"," 32","Calgary",1,1,78,2,38,0,120,362
48013,"Calgary Signal Hill/Calgary Signal Hill"," 33","Calgary",11,1,119,0,71,0,202,492
48013,"Calgary Signal Hill/Calgary Signal Hill"," 34","Calgary",1,0,97,1,57,0,156,422
48013,"Calgary Signal Hill/Calgary Signal Hill"," 35","Calgary",1,0,77,2,52,1,133,358
48013,"Calgary Signal Hill/Calgary Signal Hill"," 36","Calgary",10,0,181,0,77,2,270,616
48013,"Calgary Signal Hill/Calgary Signal Hill"," 37","Calgary",3,0,112,1,52,0,168,448
48013,"Calgary Signal Hill/Calgary Signal Hill"," 38","Calgary",5,0,125,3,72,1,206,557
48013,"Calgary Signal Hill/Calgary Signal Hill"," 39","Calgary",8,0,207,4,101,1,321,618
48013,"Calgary Signal Hill/Calgary Signal Hill"," 40","Calgary",6,0,175,1,109,1,292,643
48013,"Calgary Signal Hill/Calgary Signal Hill"," 41","Calgary",3,1,157,0,50,0,211,490
48013,"Calgary Signal Hill/Calgary Signal Hill"," 42","Calgary",6,0,88,3,53,1,151,438
48013,"Calgary Signal Hill/Calgary Signal Hill"," 43","Calgary",1,0,97,1,38,0,137,418
48013,"Calgary Signal Hill/Calgary Signal Hill"," 44","Calgary",3,0,107,2,62,0,174,480
48013,"Calgary Signal Hill/Calgary Signal Hill"," 45","Calgary",5,0,123,4,53,0,185,469
48013,"Calgary Signal Hill/Calgary Signal Hill"," 46","Calgary",4,0,86,0,48,0,138,411
48013,"Calgary Signal Hill/Calgary Signal Hill"," 47","Calgary",1,0,75,3,68,0,147,367
48013,"Calgary Signal Hill/Calgary Signal Hill"," 48","Calgary",4,0,74,5,49,1,133,366
48013,"Calgary Signal Hill/Calgary Signal Hill"," 49","Calgary",7,0,78,0,56,0,141,385
48013,"Calgary Signal Hill/Calgary Signal Hill"," 50","Calgary",2,0,85,3,39,1,130,379
48013,"Calgary Signal Hill/Calgary Signal Hill"," 51","Calgary",2,0,97,0,26,0,125,417
48013,"Calgary Signal Hill/Calgary Signal Hill"," 52","Calgary",6,0,93,0,54,0,153,456
48013,"Calgary Signal Hill/Calgary Signal Hill"," 53","Calgary",5,1,146,0,69,0,221,606
48013,"Calgary Signal Hill/Calgary Signal Hill"," 54","Calgary",6,3,146,1,49,2,207,594
48013,"Calgary Signal Hill/Calgary Signal Hill"," 55","Calgary",6,0,100,0,60,0,166,521
48013,"Calgary Signal Hill/Calgary Signal Hill"," 56","Calgary",0,1,80,0,17,1,99,360
48013,"Calgary Signal Hill/Calgary Signal Hill"," 57","Calgary",6,1,157,4,70,2,240,577
48013,"Calgary Signal Hill/Calgary Signal Hill"," 58","Calgary",3,1,123,0,59,0,186,432
48013,"Calgary Signal Hill/Calgary Signal Hill"," 59","Calgary",3,1,108,6,66,0,184,448
48013,"Calgary Signal Hill/Calgary Signal Hill"," 60","Calgary",1,0,132,1,58,0,192,478
48013,"Calgary Signal Hill/Calgary Signal Hill"," 61A","Calgary",3,1,108,0,53,0,165,527
