Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jeremy Hoefsloot,Rod Loyola,Madeline Mayes,Paul McCormack,Ashok Patel,Tim Uppal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Gateway/Edmonton Gateway"," 1","Edmonton",109,8,20,1,1,144,0,283,694
48016,"Edmonton Gateway/Edmonton Gateway"," 2","Edmonton",97,15,9,1,4,103,2,231,484
48016,"Edmonton Gateway/Edmonton Gateway"," 3","Edmonton",74,10,21,0,0,120,1,226,625
48016,"Edmonton Gateway/Edmonton Gateway"," 4","Edmonton",106,24,33,3,1,105,4,276,692
48016,"Edmonton Gateway/Edmonton Gateway"," 5","Edmonton",160,8,26,4,0,131,0,329,715
48016,"Edmonton Gateway/Edmonton Gateway"," 6","Edmonton",127,3,21,3,1,132,1,288,653
48016,"Edmonton Gateway/Edmonton Gateway"," 7","Edmonton",108,9,21,1,2,187,2,330,743
48016,"Edmonton Gateway/Edmonton Gateway"," 8","Edmonton",55,14,8,3,1,78,3,162,440
48016,"Edmonton Gateway/Edmonton Gateway"," 9","Edmonton",70,12,14,2,3,75,3,179,512
48016,"Edmonton Gateway/Edmonton Gateway"," 10","Edmonton",50,8,6,3,2,46,2,117,371
48016,"Edmonton Gateway/Edmonton Gateway"," 11","Edmonton",56,5,8,3,0,98,1,171,510
48016,"Edmonton Gateway/Edmonton Gateway"," 12","Edmonton",58,0,16,3,1,68,1,147,439
48016,"Edmonton Gateway/Edmonton Gateway"," 13","Edmonton",63,12,12,2,2,139,2,232,624
48016,"Edmonton Gateway/Edmonton Gateway"," 14A","Edmonton",Combined with No./Résultats combinés à ceux du n°14B,,,,,,,,413
48016,"Edmonton Gateway/Edmonton Gateway"," 14B","Edmonton",94,26,11,10,2,121,1,265,433
48016,"Edmonton Gateway/Edmonton Gateway"," 15","Edmonton",65,23,13,2,0,79,1,183,610
48016,"Edmonton Gateway/Edmonton Gateway"," 16","Edmonton",63,1,4,4,0,71,0,143,431
48016,"Edmonton Gateway/Edmonton Gateway"," 17","Edmonton",49,5,11,0,1,51,0,117,430
48016,"Edmonton Gateway/Edmonton Gateway"," 18","Edmonton",48,3,11,0,3,57,0,122,408
48016,"Edmonton Gateway/Edmonton Gateway"," 19","Edmonton",58,1,10,1,1,76,1,148,437
48016,"Edmonton Gateway/Edmonton Gateway"," 20","Edmonton",75,24,26,1,2,145,2,275,608
48016,"Edmonton Gateway/Edmonton Gateway"," 21","Edmonton",88,11,20,1,9,114,4,247,600
48016,"Edmonton Gateway/Edmonton Gateway"," 22","Edmonton",89,13,18,7,0,101,0,228,573
48016,"Edmonton Gateway/Edmonton Gateway"," 23","Edmonton",103,6,13,4,0,107,1,234,694
48016,"Edmonton Gateway/Edmonton Gateway"," 24A","Edmonton",115,5,20,10,5,121,2,278,484
48016,"Edmonton Gateway/Edmonton Gateway"," 24B","Edmonton",Combined with No./Résultats combinés à ceux du n°24A,,,,,,,,431
48016,"Edmonton Gateway/Edmonton Gateway"," 25A","Edmonton",100,7,25,5,1,113,3,254,669
48016,"Edmonton Gateway/Edmonton Gateway"," 25B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,,9
48016,"Edmonton Gateway/Edmonton Gateway"," 26","Edmonton",96,5,11,1,1,83,1,198,727
48016,"Edmonton Gateway/Edmonton Gateway"," 27","Edmonton",97,3,15,4,1,95,3,218,609
48016,"Edmonton Gateway/Edmonton Gateway"," 28","Edmonton",81,6,17,0,1,101,3,209,643
48016,"Edmonton Gateway/Edmonton Gateway"," 29","Edmonton",67,0,13,4,2,92,0,178,579
48016,"Edmonton Gateway/Edmonton Gateway"," 30","Edmonton",92,15,22,4,2,161,2,298,726
48016,"Edmonton Gateway/Edmonton Gateway"," 31","Edmonton",96,11,16,3,2,114,2,244,753
48016,"Edmonton Gateway/Edmonton Gateway"," 32","Edmonton",81,13,28,6,0,131,2,261,621
48016,"Edmonton Gateway/Edmonton Gateway"," 33","Edmonton",109,13,10,0,1,112,2,247,578
48016,"Edmonton Gateway/Edmonton Gateway"," 34","Edmonton",71,4,25,4,1,83,2,190,404
48016,"Edmonton Gateway/Edmonton Gateway"," 35","Edmonton",79,7,17,1,1,126,2,233,485
48016,"Edmonton Gateway/Edmonton Gateway"," 36","Edmonton",93,2,12,2,0,69,1,179,623
48016,"Edmonton Gateway/Edmonton Gateway"," 37","Edmonton",96,2,9,2,0,101,1,211,714
48016,"Edmonton Gateway/Edmonton Gateway"," 38","Edmonton",79,3,12,2,1,130,3,230,641
48016,"Edmonton Gateway/Edmonton Gateway"," 39","Edmonton",101,6,23,6,0,183,0,319,602
48016,"Edmonton Gateway/Edmonton Gateway"," 40","Edmonton",58,5,18,1,0,134,2,218,651
48016,"Edmonton Gateway/Edmonton Gateway"," 41","Edmonton",41,4,11,0,1,85,2,144,450
48016,"Edmonton Gateway/Edmonton Gateway"," 42","Edmonton",77,7,18,3,1,101,2,209,457
48016,"Edmonton Gateway/Edmonton Gateway"," 43","Edmonton",77,3,10,3,3,122,2,220,466
48016,"Edmonton Gateway/Edmonton Gateway"," 44","Edmonton",50,9,15,2,0,83,1,160,397
48016,"Edmonton Gateway/Edmonton Gateway"," 45","Edmonton",69,10,16,1,0,76,0,172,374
48016,"Edmonton Gateway/Edmonton Gateway"," 46","Edmonton",57,5,9,4,0,85,0,160,450
48016,"Edmonton Gateway/Edmonton Gateway"," 47","Edmonton",96,12,10,2,3,152,0,275,746
48016,"Edmonton Gateway/Edmonton Gateway"," 48","Edmonton",104,11,3,3,5,126,0,252,734
48016,"Edmonton Gateway/Edmonton Gateway"," 49","Edmonton",56,8,17,0,1,120,2,204,524
48016,"Edmonton Gateway/Edmonton Gateway"," 50","Edmonton",48,7,12,1,1,80,0,149,376
48016,"Edmonton Gateway/Edmonton Gateway"," 51","Edmonton",69,5,8,7,0,113,1,203,420
48016,"Edmonton Gateway/Edmonton Gateway"," 52","Edmonton",91,15,21,1,0,169,0,297,692
48016,"Edmonton Gateway/Edmonton Gateway"," 53","Edmonton",61,6,7,2,1,101,0,178,572
48016,"Edmonton Gateway/Edmonton Gateway"," 54","Edmonton",52,1,9,4,0,65,0,131,429
48016,"Edmonton Gateway/Edmonton Gateway"," 55","Edmonton",80,4,5,0,1,114,1,205,613
48016,"Edmonton Gateway/Edmonton Gateway"," 56","Edmonton",53,1,7,1,0,94,0,156,529
48016,"Edmonton Gateway/Edmonton Gateway"," 57","Edmonton",62,2,8,4,1,84,0,161,591
48016,"Edmonton Gateway/Edmonton Gateway"," 58","Edmonton",37,1,8,0,0,67,0,113,380
48016,"Edmonton Gateway/Edmonton Gateway"," 59","Edmonton",76,3,12,3,1,106,2,203,666
48016,"Edmonton Gateway/Edmonton Gateway"," 60","Edmonton",101,11,7,1,3,115,1,239,780
48016,"Edmonton Gateway/Edmonton Gateway"," 61","Edmonton",48,11,7,0,1,66,0,133,440
48016,"Edmonton Gateway/Edmonton Gateway"," 62","Edmonton",114,1,16,4,12,103,0,250,741
48016,"Edmonton Gateway/Edmonton Gateway"," 63","Edmonton",66,10,6,0,5,88,2,177,519
48016,"Edmonton Gateway/Edmonton Gateway"," 64","Edmonton",103,24,15,4,5,111,0,262,730
48016,"Edmonton Gateway/Edmonton Gateway"," 65","Edmonton",79,7,13,1,4,108,2,214,817
48016,"Edmonton Gateway/Edmonton Gateway"," 66","Edmonton",63,15,5,2,0,92,0,177,500
48016,"Edmonton Gateway/Edmonton Gateway"," 67","Edmonton",53,12,8,0,0,105,0,178,534
48016,"Edmonton Gateway/Edmonton Gateway"," 68","Edmonton",130,21,22,6,9,185,0,373,830
48016,"Edmonton Gateway/Edmonton Gateway"," 69","Edmonton",56,4,9,2,0,98,1,170,414
48016,"Edmonton Gateway/Edmonton Gateway"," 70","Edmonton",48,3,6,1,0,71,0,129,414
48016,"Edmonton Gateway/Edmonton Gateway"," 71","Edmonton",54,3,6,0,3,90,2,158,456
48016,"Edmonton Gateway/Edmonton Gateway"," 72","Edmonton",44,12,4,2,3,72,1,138,434
48016,"Edmonton Gateway/Edmonton Gateway"," 73","Edmonton",94,15,12,4,4,114,0,243,715
48016,"Edmonton Gateway/Edmonton Gateway"," 74","Edmonton",77,12,5,2,8,142,1,247,780
48016,"Edmonton Gateway/Edmonton Gateway"," 75A","Edmonton",Combined with No./Résultats combinés à ceux du n°75B,,,,,,,,477
48016,"Edmonton Gateway/Edmonton Gateway"," 75B","Edmonton",113,8,14,1,15,171,1,323,438
48016,"Edmonton Gateway/Edmonton Gateway"," 76","Edmonton",66,9,3,2,1,67,0,148,458
48016,"Edmonton Gateway/Edmonton Gateway"," 77","Edmonton",69,8,7,1,0,100,2,187,476
48016,"Edmonton Gateway/Edmonton Gateway"," 78","Edmonton",50,3,11,3,0,73,0,140,439
48016,"Edmonton Gateway/Edmonton Gateway"," 79","Edmonton",42,4,4,1,0,94,0,145,495
48016,"Edmonton Gateway/Edmonton Gateway"," 80","Edmonton",65,4,1,2,0,96,1,169,559
48016,"Edmonton Gateway/Edmonton Gateway"," 81","Edmonton",61,5,5,2,0,108,0,181,543
48016,"Edmonton Gateway/Edmonton Gateway"," 82","Edmonton",85,13,9,0,1,124,1,233,635
48016,"Edmonton Gateway/Edmonton Gateway"," 83","Edmonton",77,6,14,3,1,96,3,200,712
48016,"Edmonton Gateway/Edmonton Gateway"," 84","Edmonton",112,9,20,0,8,205,3,357,836
48016,"Edmonton Gateway/Edmonton Gateway"," 85","Edmonton",76,6,11,2,2,73,0,170,586
48016,"Edmonton Gateway/Edmonton Gateway"," 86","Edmonton",77,8,12,1,2,103,3,206,521
48016,"Edmonton Gateway/Edmonton Gateway"," 87","Edmonton",90,9,16,1,13,106,1,236,579
48016,"Edmonton Gateway/Edmonton Gateway"," 88","Edmonton",93,18,7,3,4,154,2,281,664
48016,"Edmonton Gateway/Edmonton Gateway"," 89","Edmonton",82,10,18,2,7,113,1,233,699
48016,"Edmonton Gateway/Edmonton Gateway"," 90","Edmonton",64,10,18,2,2,103,1,200,494
48016,"Edmonton Gateway/Edmonton Gateway"," 91","Edmonton",59,10,14,1,0,107,0,191,567
48016,"Edmonton Gateway/Edmonton Gateway"," 92","Edmonton",62,14,7,3,3,96,0,185,501
48016,"Edmonton Gateway/Edmonton Gateway"," 93","Edmonton",67,10,7,4,0,77,0,165,542
48016,"Edmonton Gateway/Edmonton Gateway"," 94","Edmonton",64,6,6,1,1,116,2,196,533
48016,"Edmonton Gateway/Edmonton Gateway"," 95","Edmonton",73,4,4,2,0,122,2,207,527
48016,"Edmonton Gateway/Edmonton Gateway"," 96","Edmonton",40,22,4,2,5,49,3,125,465
48016,"Edmonton Gateway/Edmonton Gateway"," 97","Edmonton",97,7,4,1,1,193,2,305,745
48016,"Edmonton Gateway/Edmonton Gateway"," 98","Edmonton",80,12,9,2,3,167,0,273,725
48016,"Edmonton Gateway/Edmonton Gateway"," 99","Edmonton",60,2,11,2,0,106,0,181,450
48016,"Edmonton Gateway/Edmonton Gateway"," 100","Edmonton",81,9,7,0,1,139,2,239,597
48016,"Edmonton Gateway/Edmonton Gateway"," 101","Edmonton",59,15,15,1,4,132,1,227,710
48016,"Edmonton Gateway/Edmonton Gateway"," 102","Edmonton",62,9,8,4,1,109,3,196,645
48016,"Edmonton Gateway/Edmonton Gateway"," 103","Edmonton",61,15,6,3,6,97,1,189,620
48016,"Edmonton Gateway/Edmonton Gateway"," 104","Edmonton",61,9,13,0,11,108,1,203,473
48016,"Edmonton Gateway/Edmonton Gateway"," 105","Edmonton",88,8,14,1,3,115,0,229,566
48016,"Edmonton Gateway/Edmonton Gateway"," 106","Edmonton",63,11,8,1,6,133,0,222,532
48016,"Edmonton Gateway/Edmonton Gateway"," 107A","Edmonton",129,13,22,1,15,196,0,376,504
48016,"Edmonton Gateway/Edmonton Gateway"," 107B","Edmonton",Combined with No./Résultats combinés à ceux du n°107A,,,,,,,,462
48016,"Edmonton Gateway/Edmonton Gateway"," 108","Edmonton",102,14,11,2,11,121,0,261,607
48016,"Edmonton Gateway/Edmonton Gateway"," 109","Edmonton",64,9,5,2,15,105,1,201,517
48016,"Edmonton Gateway/Edmonton Gateway"," 110","Edmonton",63,12,11,0,14,125,2,227,502
48016,"Edmonton Gateway/Edmonton Gateway"," 111","Edmonton",33,14,10,1,2,92,3,155,545
48016,"Edmonton Gateway/Edmonton Gateway"," 112","Edmonton",40,19,3,0,4,67,3,136,460
48016,"Edmonton Gateway/Edmonton Gateway"," 113","Edmonton",63,19,7,0,5,144,5,243,736
48016,"Edmonton Gateway/Edmonton Gateway"," 114","Edmonton",54,6,8,4,7,135,0,214,644
48016,"Edmonton Gateway/Edmonton Gateway"," 115","Edmonton",54,23,9,2,13,114,1,216,652
48016,"Edmonton Gateway/Edmonton Gateway"," 116","Edmonton",60,19,7,8,8,129,1,232,594
48016,"Edmonton Gateway/Edmonton Gateway"," 117","Edmonton",72,23,12,1,6,118,2,234,529
