Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Alex Boykowich,Blake Desjarlais,Kerry Diotte,Michael Hunter,Mary Joyce,Patrick Lennox,Thomas Matty,Brent Tyson,Crystal Vargas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton Griesbach/Edmonton Griesbach"," 1","Edmonton",0,44,106,1,1,50,0,0,0,3,205,579
48017,"Edmonton Griesbach/Edmonton Griesbach"," 2","Edmonton",1,40,85,0,0,26,0,0,0,0,152,358
48017,"Edmonton Griesbach/Edmonton Griesbach"," 3","Edmonton",1,33,80,2,0,42,0,1,1,0,160,488
48017,"Edmonton Griesbach/Edmonton Griesbach"," 4","Edmonton",0,51,87,0,0,45,4,0,2,0,189,388
48017,"Edmonton Griesbach/Edmonton Griesbach"," 5","Edmonton",2,55,120,0,1,62,0,0,0,3,243,614
48017,"Edmonton Griesbach/Edmonton Griesbach"," 6","Edmonton",1,52,125,1,0,53,1,1,0,1,235,529
48017,"Edmonton Griesbach/Edmonton Griesbach"," 7","Edmonton",0,38,88,2,0,45,0,0,0,2,175,476
48017,"Edmonton Griesbach/Edmonton Griesbach"," 8","Edmonton",1,33,89,2,0,53,2,1,2,1,184,546
48017,"Edmonton Griesbach/Edmonton Griesbach"," 9","Edmonton",4,22,108,1,1,52,0,0,0,0,188,581
48017,"Edmonton Griesbach/Edmonton Griesbach"," 10","Edmonton",1,32,68,1,0,30,1,0,0,1,134,490
48017,"Edmonton Griesbach/Edmonton Griesbach"," 11","Edmonton",0,24,86,1,0,31,0,0,0,0,142,474
48017,"Edmonton Griesbach/Edmonton Griesbach"," 12","Edmonton",0,25,68,0,0,24,2,0,0,0,119,418
48017,"Edmonton Griesbach/Edmonton Griesbach"," 13","Edmonton",3,31,79,1,0,33,0,0,0,1,148,436
48017,"Edmonton Griesbach/Edmonton Griesbach"," 14","Edmonton",0,28,84,1,0,42,1,1,0,0,157,461
48017,"Edmonton Griesbach/Edmonton Griesbach"," 15","Edmonton",0,24,78,0,1,59,5,0,0,1,168,485
48017,"Edmonton Griesbach/Edmonton Griesbach"," 16","Edmonton",0,39,85,1,0,58,0,0,0,0,183,563
48017,"Edmonton Griesbach/Edmonton Griesbach"," 17","Edmonton",1,29,104,0,0,45,3,0,1,0,183,519
48017,"Edmonton Griesbach/Edmonton Griesbach"," 18","Edmonton",0,59,134,4,1,44,1,0,0,1,244,593
48017,"Edmonton Griesbach/Edmonton Griesbach"," 19","Edmonton",0,26,52,2,0,29,1,0,0,0,110,375
48017,"Edmonton Griesbach/Edmonton Griesbach"," 20","Edmonton",0,68,74,1,0,23,1,0,2,1,170,541
48017,"Edmonton Griesbach/Edmonton Griesbach"," 21","Edmonton",0,67,97,3,0,35,2,0,0,0,204,604
48017,"Edmonton Griesbach/Edmonton Griesbach"," 22","Edmonton",0,52,56,1,0,17,0,0,0,0,126,493
48017,"Edmonton Griesbach/Edmonton Griesbach"," 23","Edmonton",1,100,81,0,0,58,0,0,0,0,240,823
48017,"Edmonton Griesbach/Edmonton Griesbach"," 24","Edmonton",1,61,73,0,0,32,1,0,0,2,170,521
48017,"Edmonton Griesbach/Edmonton Griesbach"," 25","Edmonton",0,50,107,1,0,35,0,0,0,0,193,569
48017,"Edmonton Griesbach/Edmonton Griesbach"," 26","Edmonton",0,61,72,1,0,26,0,1,0,0,161,551
48017,"Edmonton Griesbach/Edmonton Griesbach"," 27","Edmonton",0,47,72,2,0,69,2,0,1,3,196,668
48017,"Edmonton Griesbach/Edmonton Griesbach"," 28","Edmonton",1,61,85,0,0,24,1,0,0,2,174,546
48017,"Edmonton Griesbach/Edmonton Griesbach"," 29","Edmonton",1,32,80,2,0,25,0,0,1,1,142,475
48017,"Edmonton Griesbach/Edmonton Griesbach"," 30","Edmonton",1,30,47,1,2,36,0,1,0,3,121,564
48017,"Edmonton Griesbach/Edmonton Griesbach"," 31","Edmonton",0,42,97,0,0,37,0,0,1,2,179,356
48017,"Edmonton Griesbach/Edmonton Griesbach"," 32","Edmonton",1,67,119,0,0,48,5,0,1,0,241,497
48017,"Edmonton Griesbach/Edmonton Griesbach"," 33","Edmonton",0,68,118,1,0,30,6,1,0,0,224,518
48017,"Edmonton Griesbach/Edmonton Griesbach"," 34","Edmonton",1,45,81,1,0,40,0,0,1,0,169,458
48017,"Edmonton Griesbach/Edmonton Griesbach"," 35","Edmonton",0,50,66,0,0,11,0,0,0,0,127,503
48017,"Edmonton Griesbach/Edmonton Griesbach"," 36","Edmonton",0,109,63,1,0,39,0,1,0,1,214,743
48017,"Edmonton Griesbach/Edmonton Griesbach"," 37","Edmonton",1,40,77,0,0,23,0,0,1,0,142,423
48017,"Edmonton Griesbach/Edmonton Griesbach"," 38","Edmonton",0,57,65,0,0,31,1,0,0,0,154,628
48017,"Edmonton Griesbach/Edmonton Griesbach"," 39","Edmonton",0,45,98,1,0,36,0,0,0,6,186,512
48017,"Edmonton Griesbach/Edmonton Griesbach"," 40","Edmonton",0,37,81,0,0,47,1,0,0,3,169,598
48017,"Edmonton Griesbach/Edmonton Griesbach"," 41","Edmonton",0,62,97,0,0,43,2,0,0,0,204,501
48017,"Edmonton Griesbach/Edmonton Griesbach"," 42","Edmonton",0,62,124,1,0,50,1,0,1,1,240,557
48017,"Edmonton Griesbach/Edmonton Griesbach"," 43","Edmonton",0,33,67,0,0,38,1,0,0,2,141,435
48017,"Edmonton Griesbach/Edmonton Griesbach"," 44","Edmonton",0,61,99,3,0,63,2,0,1,4,233,525
48017,"Edmonton Griesbach/Edmonton Griesbach"," 45","Edmonton",0,57,107,0,0,39,3,0,1,0,207,578
48017,"Edmonton Griesbach/Edmonton Griesbach"," 46","Edmonton",0,58,95,2,0,47,1,0,0,0,203,562
48017,"Edmonton Griesbach/Edmonton Griesbach"," 47","Edmonton",1,51,75,2,1,36,3,0,2,3,174,554
48017,"Edmonton Griesbach/Edmonton Griesbach"," 48","Edmonton",0,84,70,0,1,53,2,0,2,1,213,693
48017,"Edmonton Griesbach/Edmonton Griesbach"," 49","Edmonton",0,42,133,1,0,54,0,0,0,4,234,503
48017,"Edmonton Griesbach/Edmonton Griesbach"," 50","Edmonton",0,62,142,1,1,43,1,0,2,0,252,505
48017,"Edmonton Griesbach/Edmonton Griesbach"," 51","Edmonton",0,47,93,0,0,19,1,0,1,2,163,373
48017,"Edmonton Griesbach/Edmonton Griesbach"," 52","Edmonton",0,43,76,2,0,24,2,0,0,1,148,530
48017,"Edmonton Griesbach/Edmonton Griesbach"," 53","Edmonton",0,51,72,2,0,38,1,0,0,2,166,611
48017,"Edmonton Griesbach/Edmonton Griesbach"," 54","Edmonton",0,47,80,1,0,28,1,0,0,2,159,598
48017,"Edmonton Griesbach/Edmonton Griesbach"," 55","Edmonton",0,75,81,0,0,45,1,0,1,0,203,481
48017,"Edmonton Griesbach/Edmonton Griesbach"," 56","Edmonton",1,55,135,3,0,52,0,0,0,0,246,503
48017,"Edmonton Griesbach/Edmonton Griesbach"," 57","Edmonton",0,79,126,3,0,34,1,1,0,0,244,541
48017,"Edmonton Griesbach/Edmonton Griesbach"," 58","Edmonton",1,27,87,0,0,25,1,0,0,7,148,363
48017,"Edmonton Griesbach/Edmonton Griesbach"," 59","Edmonton",1,53,139,0,0,24,4,0,0,0,221,502
48017,"Edmonton Griesbach/Edmonton Griesbach"," 60","Edmonton",0,49,91,1,1,21,3,1,2,0,169,417
48017,"Edmonton Griesbach/Edmonton Griesbach"," 61","Edmonton",1,42,107,2,0,29,0,0,1,1,183,571
48017,"Edmonton Griesbach/Edmonton Griesbach"," 62","Edmonton",0,32,60,2,0,26,0,0,0,5,125,556
48017,"Edmonton Griesbach/Edmonton Griesbach"," 63","Edmonton",0,33,76,0,0,25,3,0,0,0,137,491
48017,"Edmonton Griesbach/Edmonton Griesbach"," 64","Edmonton",2,36,89,0,0,30,0,0,1,0,158,553
48017,"Edmonton Griesbach/Edmonton Griesbach"," 65","Edmonton",1,34,81,0,0,22,1,0,0,2,141,487
48017,"Edmonton Griesbach/Edmonton Griesbach"," 66","Edmonton",0,68,98,0,0,25,3,4,0,1,199,539
48017,"Edmonton Griesbach/Edmonton Griesbach"," 67","Edmonton",1,43,93,0,0,35,2,0,0,1,175,550
48017,"Edmonton Griesbach/Edmonton Griesbach"," 68","Edmonton",1,43,97,0,0,36,4,0,1,1,183,619
48017,"Edmonton Griesbach/Edmonton Griesbach"," 69","Edmonton",0,46,120,0,2,19,3,0,0,0,190,543
48017,"Edmonton Griesbach/Edmonton Griesbach"," 70","Edmonton",0,53,86,3,0,40,0,0,0,0,182,524
48017,"Edmonton Griesbach/Edmonton Griesbach"," 71","Edmonton",1,56,96,1,0,37,2,0,0,4,197,570
48017,"Edmonton Griesbach/Edmonton Griesbach"," 72","Edmonton",0,42,86,2,0,18,4,0,0,1,153,529
48017,"Edmonton Griesbach/Edmonton Griesbach"," 73","Edmonton",3,40,119,2,0,26,3,0,0,5,198,511
48017,"Edmonton Griesbach/Edmonton Griesbach"," 74","Edmonton",1,40,135,2,0,29,1,0,0,1,209,473
48017,"Edmonton Griesbach/Edmonton Griesbach"," 75","Edmonton",1,36,82,0,0,36,1,0,1,0,157,429
48017,"Edmonton Griesbach/Edmonton Griesbach"," 76","Edmonton",0,35,94,3,1,18,0,1,0,0,152,363
48017,"Edmonton Griesbach/Edmonton Griesbach"," 77","Edmonton",0,37,39,0,0,24,1,0,0,0,101,435
48017,"Edmonton Griesbach/Edmonton Griesbach"," 78","Edmonton",0,19,19,2,0,15,0,1,0,0,56,485
48017,"Edmonton Griesbach/Edmonton Griesbach"," 79","Edmonton",0,27,10,2,1,22,1,0,0,0,63,332
48017,"Edmonton Griesbach/Edmonton Griesbach"," 80","Edmonton",0,26,67,2,0,18,1,0,0,1,115,547
48017,"Edmonton Griesbach/Edmonton Griesbach"," 81","Edmonton",0,39,74,2,0,27,0,0,2,1,145,507
48017,"Edmonton Griesbach/Edmonton Griesbach"," 82","Edmonton",1,51,62,0,0,33,1,0,1,2,151,636
48017,"Edmonton Griesbach/Edmonton Griesbach"," 83","Edmonton",1,55,90,0,0,31,1,0,0,2,180,562
48017,"Edmonton Griesbach/Edmonton Griesbach"," 84","Edmonton",2,71,70,0,0,24,5,0,1,2,175,550
48017,"Edmonton Griesbach/Edmonton Griesbach"," 85","Edmonton",1,97,93,1,0,41,2,1,0,2,238,615
48017,"Edmonton Griesbach/Edmonton Griesbach"," 86","Edmonton",1,82,47,3,1,45,1,1,0,3,184,518
