Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ziad Aboultaif,Robert Bard,Blair-Marie Coles,Lesley Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Manning/Edmonton Manning"," 1","Edmonton",155,4,48,8,2,217,607
48018,"Edmonton Manning/Edmonton Manning"," 2A","Edmonton",71,5,29,21,2,128,590
48018,"Edmonton Manning/Edmonton Manning"," 2B","Edmonton",81,4,41,18,3,147,599
48018,"Edmonton Manning/Edmonton Manning"," 3","Edmonton",133,6,54,10,0,203,558
48018,"Edmonton Manning/Edmonton Manning"," 4A","Edmonton",95,3,77,27,0,202,500
48018,"Edmonton Manning/Edmonton Manning"," 4B","Edmonton",117,0,67,21,2,207,555
48018,"Edmonton Manning/Edmonton Manning"," 5","Edmonton",184,5,115,38,1,343,806
48018,"Edmonton Manning/Edmonton Manning"," 6","Edmonton",143,4,103,26,1,277,758
48018,"Edmonton Manning/Edmonton Manning"," 7","Edmonton",227,6,117,21,7,378,815
48018,"Edmonton Manning/Edmonton Manning"," 8","Edmonton",112,3,70,15,1,201,792
48018,"Edmonton Manning/Edmonton Manning"," 9A","Edmonton",106,6,71,18,0,201,634
48018,"Edmonton Manning/Edmonton Manning"," 9B","Edmonton",111,74,14,4,1,204,646
48018,"Edmonton Manning/Edmonton Manning"," 10","Edmonton",80,3,65,18,0,166,604
48018,"Edmonton Manning/Edmonton Manning"," 11","Edmonton",199,4,107,24,3,337,871
48018,"Edmonton Manning/Edmonton Manning"," 12","Edmonton",106,3,73,29,3,214,758
48018,"Edmonton Manning/Edmonton Manning"," 13","Edmonton",154,7,102,16,1,280,642
48018,"Edmonton Manning/Edmonton Manning"," 14","Edmonton",151,2,105,31,0,289,717
48018,"Edmonton Manning/Edmonton Manning"," 15","Edmonton",121,1,53,17,0,192,699
48018,"Edmonton Manning/Edmonton Manning"," 16","Edmonton",162,4,102,23,1,292,860
48018,"Edmonton Manning/Edmonton Manning"," 17A","Edmonton",75,3,62,12,2,154,582
48018,"Edmonton Manning/Edmonton Manning"," 17B","Edmonton",86,2,67,21,0,176,622
48018,"Edmonton Manning/Edmonton Manning"," 18","Edmonton",103,7,69,22,1,202,510
48018,"Edmonton Manning/Edmonton Manning"," 19","Edmonton",67,0,42,7,5,121,423
48018,"Edmonton Manning/Edmonton Manning"," 20A","Edmonton",115,4,73,18,0,210,792
48018,"Edmonton Manning/Edmonton Manning"," 20B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°27B,,,,,,17
48018,"Edmonton Manning/Edmonton Manning"," 21A","Edmonton",108,0,74,18,1,201,597
48018,"Edmonton Manning/Edmonton Manning"," 21B","Edmonton",100,2,56,13,3,174,550
48018,"Edmonton Manning/Edmonton Manning"," 22","Edmonton",163,1,91,20,3,278,858
48018,"Edmonton Manning/Edmonton Manning"," 23","Edmonton",Combined with No./Résultats combinés à ceux du n°24,,,,,,423
48018,"Edmonton Manning/Edmonton Manning"," 24","Edmonton",179,0,103,13,0,295,474
48018,"Edmonton Manning/Edmonton Manning"," 25","Edmonton",118,4,99,7,0,228,791
48018,"Edmonton Manning/Edmonton Manning"," 26","Edmonton",106,3,63,11,1,184,797
48018,"Edmonton Manning/Edmonton Manning"," 27A","Edmonton",132,1,114,11,4,262,785
48018,"Edmonton Manning/Edmonton Manning"," 27B","Mobile poll/Bureau itinérant",56,6,34,5,2,103,101
48018,"Edmonton Manning/Edmonton Manning"," 28","Edmonton",114,3,94,15,2,228,781
48018,"Edmonton Manning/Edmonton Manning"," 29A","Edmonton",104,1,62,19,0,186,497
48018,"Edmonton Manning/Edmonton Manning"," 29B","Edmonton",127,3,74,11,0,215,548
48018,"Edmonton Manning/Edmonton Manning"," 30","Edmonton",95,3,79,16,1,194,647
48018,"Edmonton Manning/Edmonton Manning"," 31","Edmonton",108,0,58,18,0,184,615
48018,"Edmonton Manning/Edmonton Manning"," 32","Edmonton",225,3,120,17,3,368,981
48018,"Edmonton Manning/Edmonton Manning"," 33","Edmonton",164,2,89,15,5,275,775
48018,"Edmonton Manning/Edmonton Manning"," 34","Edmonton",80,2,79,13,2,176,678
48018,"Edmonton Manning/Edmonton Manning"," 35","Edmonton",180,2,78,21,0,281,842
48018,"Edmonton Manning/Edmonton Manning"," 36","Edmonton",117,3,65,16,0,201,566
48018,"Edmonton Manning/Edmonton Manning"," 37","Edmonton",102,1,104,9,4,220,716
48018,"Edmonton Manning/Edmonton Manning"," 38","Edmonton",88,2,87,17,3,197,662
48018,"Edmonton Manning/Edmonton Manning"," 39","Edmonton",111,2,58,7,1,179,598
48018,"Edmonton Manning/Edmonton Manning"," 40","Edmonton",131,0,101,23,4,259,714
48018,"Edmonton Manning/Edmonton Manning"," 41","Edmonton",118,1,90,27,3,239,698
48018,"Edmonton Manning/Edmonton Manning"," 42","Edmonton",146,6,114,29,1,296,771
48018,"Edmonton Manning/Edmonton Manning"," 43","Edmonton",147,1,115,27,0,290,733
48018,"Edmonton Manning/Edmonton Manning"," 44","Edmonton",91,4,78,19,0,192,708
48018,"Edmonton Manning/Edmonton Manning"," 45","Edmonton",98,3,76,13,0,190,670
48018,"Edmonton Manning/Edmonton Manning"," 46","Edmonton",83,2,67,14,1,167,544
48018,"Edmonton Manning/Edmonton Manning"," 47","Edmonton",109,1,68,10,4,192,638
48018,"Edmonton Manning/Edmonton Manning"," 48","Edmonton",79,3,87,8,0,177,756
48018,"Edmonton Manning/Edmonton Manning"," 49","Edmonton",154,1,91,22,2,270,802
48018,"Edmonton Manning/Edmonton Manning"," 50","Edmonton",118,2,79,20,3,222,694
48018,"Edmonton Manning/Edmonton Manning"," 51","Edmonton",78,6,44,16,1,145,559
48018,"Edmonton Manning/Edmonton Manning"," 52","Edmonton",87,1,63,12,1,164,528
48018,"Edmonton Manning/Edmonton Manning"," 53","Edmonton",100,1,56,13,0,170,638
48018,"Edmonton Manning/Edmonton Manning"," 54","Edmonton",182,6,89,30,1,308,782
48018,"Edmonton Manning/Edmonton Manning"," 55","Edmonton",131,3,60,22,2,218,606
48018,"Edmonton Manning/Edmonton Manning"," 56","Edmonton",131,4,66,24,0,225,611
48018,"Edmonton Manning/Edmonton Manning"," 57","Edmonton",179,4,81,27,8,299,765
48018,"Edmonton Manning/Edmonton Manning"," 58","Edmonton",119,3,66,22,0,210,703
48018,"Edmonton Manning/Edmonton Manning"," 59","Edmonton",104,3,70,34,2,213,754
48018,"Edmonton Manning/Edmonton Manning"," 60A","Edmonton",64,1,55,24,3,147,494
48018,"Edmonton Manning/Edmonton Manning"," 60B","Edmonton",52,2,56,20,1,131,469
48018,"Edmonton Manning/Edmonton Manning"," 61A","Edmonton",110,2,64,19,0,195,478
48018,"Edmonton Manning/Edmonton Manning"," 61B","Edmonton",98,2,70,24,1,195,476
48018,"Edmonton Manning/Edmonton Manning"," 62","Edmonton",99,4,61,28,0,192,531
48018,"Edmonton Manning/Edmonton Manning"," 63","Edmonton",162,2,111,41,2,318,724
48018,"Edmonton Manning/Edmonton Manning"," 64","Edmonton",137,3,120,38,2,300,768
48018,"Edmonton Manning/Edmonton Manning"," 65","Edmonton",171,5,145,28,2,351,915
48018,"Edmonton Manning/Edmonton Manning"," 66","Edmonton",121,1,77,30,0,229,632
48018,"Edmonton Manning/Edmonton Manning"," 67","Edmonton",154,1,95,31,3,284,922
48018,"Edmonton Manning/Edmonton Manning"," 68","Edmonton",119,3,89,26,2,239,792
48018,"Edmonton Manning/Edmonton Manning"," 69","Edmonton",91,7,50,11,1,160,587
48018,"Edmonton Manning/Edmonton Manning"," 70","Edmonton",123,1,98,28,0,250,786
48018,"Edmonton Manning/Edmonton Manning"," 71","Edmonton",142,2,97,17,3,261,859
48018,"Edmonton Manning/Edmonton Manning"," 72","Edmonton",114,6,67,30,2,219,705
48018,"Edmonton Manning/Edmonton Manning"," 73","Edmonton",93,8,103,27,2,233,707
48018,"Edmonton Manning/Edmonton Manning"," 74","Edmonton",104,4,74,34,4,220,725
48018,"Edmonton Manning/Edmonton Manning"," 75","Edmonton",196,1,87,26,0,310,676
48018,"Edmonton Manning/Edmonton Manning"," 76","Edmonton",171,6,95,25,1,298,718
48018,"Edmonton Manning/Edmonton Manning"," 77","Edmonton",140,5,84,42,0,271,725
48018,"Edmonton Manning/Edmonton Manning"," 78A","Edmonton",87,3,73,15,1,179,507
48018,"Edmonton Manning/Edmonton Manning"," 78B","Edmonton",146,1,73,8,0,228,520
48018,"Edmonton Manning/Edmonton Manning"," 79","Edmonton",119,4,67,28,0,218,747
48018,"Edmonton Manning/Edmonton Manning"," 80","Edmonton",110,10,82,41,2,245,763
48018,"Edmonton Manning/Edmonton Manning"," 81","Edmonton",81,3,71,30,3,188,717
48018,"Edmonton Manning/Edmonton Manning"," 82","Edmonton",181,6,76,41,3,307,719
48018,"Edmonton Manning/Edmonton Manning"," 83","Edmonton",68,2,95,26,3,194,632
48018,"Edmonton Manning/Edmonton Manning"," 84","Edmonton",42,1,48,13,0,104,327
48018,"Edmonton Manning/Edmonton Manning"," 85","Edmonton",146,6,94,44,4,294,652
48018,"Edmonton Manning/Edmonton Manning"," 86","Edmonton",147,1,109,55,0,312,630
48018,"Edmonton Manning/Edmonton Manning"," 87","Edmonton",162,5,93,36,0,296,634
48018,"Edmonton Manning/Edmonton Manning"," 88","Edmonton",166,4,129,35,23,357,721
48018,"Edmonton Manning/Edmonton Manning"," 89","Edmonton",139,5,112,33,1,290,737
48018,"Edmonton Manning/Edmonton Manning"," 90","Edmonton",159,6,89,53,3,310,755
48018,"Edmonton Manning/Edmonton Manning"," 91","Edmonton",161,5,71,33,2,272,707
48018,"Edmonton Manning/Edmonton Manning"," 92","Edmonton",57,3,58,30,2,150,656
48018,"Edmonton Manning/Edmonton Manning"," 93","Edmonton",108,2,98,36,2,246,718
48018,"Edmonton Manning/Edmonton Manning"," 94","Edmonton",142,7,119,45,1,314,846
48018,"Edmonton Manning/Edmonton Manning"," 95","Edmonton",143,1,108,52,2,306,847
