Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Omar Abubakar,Albert Carson,Lindsey Machona,Billy Morin,Colleen Rice,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 1","Edmonton",16,1,58,84,1,2,162,492
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 2","Edmonton",18,3,65,78,3,0,167,446
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 3","Edmonton",10,5,54,81,0,1,151,389
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 4","Edmonton",19,5,110,105,2,2,243,626
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 5A","Edmonton",6,1,65,65,3,0,140,369
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 5B","Edmonton",13,2,54,71,0,0,140,395
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 6","Edmonton",27,0,85,79,2,1,194,593
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 7A","Edmonton",10,0,69,69,2,4,154,431
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 7B","Edmonton",8,2,58,80,0,2,150,431
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 8","Edmonton",5,0,81,117,0,2,205,621
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 9","Edmonton",20,4,66,90,2,0,182,576
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 10","Edmonton",20,1,80,118,2,1,222,657
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 11A","Edmonton",7,0,51,60,0,2,120,238
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 11B","Edmonton",5,1,41,50,0,1,98,235
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 12","Edmonton",10,1,95,120,0,1,227,556
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 13A","Edmonton",11,3,91,98,0,2,205,525
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 13B","Edmonton",9,1,62,97,0,1,170,421
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 14A","Edmonton",11,1,58,92,0,1,163,382
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 14B","Edmonton",7,1,58,75,1,2,144,316
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 15A","Edmonton",13,3,51,91,1,5,164,390
48019,"Edmonton Northwest/Edmonton-Nord-Ouest"," 15B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,3
