Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Susan Cake,Dwayne Dudiak,Matt Jeneroux,Mark Minenko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Edmonton Riverbend/Edmonton Riverbend"," 1","Edmonton",18,2,84,114,0,218,438
48020,"Edmonton Riverbend/Edmonton Riverbend"," 2","Edmonton",13,0,100,90,1,204,441
48020,"Edmonton Riverbend/Edmonton Riverbend"," 3","Edmonton",26,3,112,136,0,277,368
48020,"Edmonton Riverbend/Edmonton Riverbend"," 4","Edmonton",14,3,71,111,6,205,445
48020,"Edmonton Riverbend/Edmonton Riverbend"," 5","Edmonton",11,2,111,109,0,233,441
48020,"Edmonton Riverbend/Edmonton Riverbend"," 6","Edmonton",8,4,126,153,0,291,431
48020,"Edmonton Riverbend/Edmonton Riverbend"," 7","Edmonton",7,0,159,170,0,336,610
48020,"Edmonton Riverbend/Edmonton Riverbend"," 8","Edmonton",Combined with No./Résultats combinés à ceux du n°3,,,,,,327
48020,"Edmonton Riverbend/Edmonton Riverbend"," 9","Edmonton",9,0,91,89,0,189,422
48020,"Edmonton Riverbend/Edmonton Riverbend"," 10","Edmonton",18,0,89,102,1,210,460
48020,"Edmonton Riverbend/Edmonton Riverbend"," 11","Edmonton",12,2,81,86,0,181,369
48020,"Edmonton Riverbend/Edmonton Riverbend"," 12","Edmonton",13,0,89,108,2,212,444
48020,"Edmonton Riverbend/Edmonton Riverbend"," 13","Edmonton",4,0,86,62,0,152,424
48020,"Edmonton Riverbend/Edmonton Riverbend"," 14","Edmonton",9,0,75,84,1,169,351
48020,"Edmonton Riverbend/Edmonton Riverbend"," 15","Edmonton",4,1,80,66,0,151,381
48020,"Edmonton Riverbend/Edmonton Riverbend"," 16","Edmonton",1,5,97,48,1,152,399
48020,"Edmonton Riverbend/Edmonton Riverbend"," 17","Edmonton",7,3,78,90,0,178,435
48020,"Edmonton Riverbend/Edmonton Riverbend"," 18","Edmonton",9,3,91,66,1,170,516
48020,"Edmonton Riverbend/Edmonton Riverbend"," 19","Edmonton",7,2,88,70,1,168,358
48020,"Edmonton Riverbend/Edmonton Riverbend"," 20","Edmonton",3,4,101,72,3,183,357
48020,"Edmonton Riverbend/Edmonton Riverbend"," 21","Edmonton",4,2,70,91,2,169,343
48020,"Edmonton Riverbend/Edmonton Riverbend"," 22","Edmonton",11,1,97,80,0,189,448
48020,"Edmonton Riverbend/Edmonton Riverbend"," 23","Edmonton",13,0,132,102,0,247,504
48020,"Edmonton Riverbend/Edmonton Riverbend"," 24","Edmonton",6,2,129,136,0,273,589
48020,"Edmonton Riverbend/Edmonton Riverbend"," 25","Edmonton",9,1,107,123,2,242,546
48020,"Edmonton Riverbend/Edmonton Riverbend"," 26","Edmonton",7,0,90,43,0,140,463
48020,"Edmonton Riverbend/Edmonton Riverbend"," 27","Edmonton",11,2,103,98,0,214,374
48020,"Edmonton Riverbend/Edmonton Riverbend"," 28","Edmonton",8,0,72,70,1,151,447
48020,"Edmonton Riverbend/Edmonton Riverbend"," 29","Edmonton",5,0,88,70,2,165,419
48020,"Edmonton Riverbend/Edmonton Riverbend"," 30","Edmonton",1,1,83,83,1,169,399
48020,"Edmonton Riverbend/Edmonton Riverbend"," 31","Edmonton",3,1,52,81,0,137,423
48020,"Edmonton Riverbend/Edmonton Riverbend"," 32","Edmonton",5,3,75,59,0,142,451
48020,"Edmonton Riverbend/Edmonton Riverbend"," 33","Edmonton",8,0,79,60,1,148,430
48020,"Edmonton Riverbend/Edmonton Riverbend"," 34","Edmonton",9,0,61,70,0,140,307
48020,"Edmonton Riverbend/Edmonton Riverbend"," 35","Edmonton",10,3,109,107,0,229,466
48020,"Edmonton Riverbend/Edmonton Riverbend"," 36","Edmonton",4,0,108,95,1,208,439
48020,"Edmonton Riverbend/Edmonton Riverbend"," 37","Edmonton",14,3,68,59,0,144,357
48020,"Edmonton Riverbend/Edmonton Riverbend"," 38","Edmonton",18,0,53,64,2,137,297
48020,"Edmonton Riverbend/Edmonton Riverbend"," 39","Edmonton",6,0,75,49,1,131,439
48020,"Edmonton Riverbend/Edmonton Riverbend"," 40","Edmonton",8,3,102,70,0,183,572
48020,"Edmonton Riverbend/Edmonton Riverbend"," 41","Edmonton",8,3,132,115,0,258,618
48020,"Edmonton Riverbend/Edmonton Riverbend"," 42","Edmonton",9,1,106,62,2,180,560
48020,"Edmonton Riverbend/Edmonton Riverbend"," 43","Edmonton",9,3,84,79,0,175,556
48020,"Edmonton Riverbend/Edmonton Riverbend"," 44","Edmonton",4,1,95,85,0,185,385
48020,"Edmonton Riverbend/Edmonton Riverbend"," 45","Edmonton",10,1,76,69,1,157,336
48020,"Edmonton Riverbend/Edmonton Riverbend"," 46","Edmonton",6,2,78,57,0,143,361
48020,"Edmonton Riverbend/Edmonton Riverbend"," 47","Edmonton",3,1,112,68,0,184,378
48020,"Edmonton Riverbend/Edmonton Riverbend"," 48","Edmonton",6,1,123,112,0,242,481
48020,"Edmonton Riverbend/Edmonton Riverbend"," 49","Edmonton",6,1,86,95,0,188,405
48020,"Edmonton Riverbend/Edmonton Riverbend"," 50","Edmonton",12,1,108,85,0,206,438
48020,"Edmonton Riverbend/Edmonton Riverbend"," 51","Edmonton",8,2,77,54,0,141,429
48020,"Edmonton Riverbend/Edmonton Riverbend"," 52","Edmonton",19,0,84,105,1,209,421
48020,"Edmonton Riverbend/Edmonton Riverbend"," 53","Edmonton",19,1,105,108,0,233,528
48020,"Edmonton Riverbend/Edmonton Riverbend"," 54","Edmonton",7,4,88,115,0,214,464
48020,"Edmonton Riverbend/Edmonton Riverbend"," 55","Edmonton",9,0,112,101,2,224,461
48020,"Edmonton Riverbend/Edmonton Riverbend"," 56","Edmonton",9,0,94,128,2,233,453
48020,"Edmonton Riverbend/Edmonton Riverbend"," 57","Edmonton",20,3,91,128,0,242,472
48020,"Edmonton Riverbend/Edmonton Riverbend"," 58","Edmonton",8,1,105,108,1,223,411
48020,"Edmonton Riverbend/Edmonton Riverbend"," 59","Edmonton",16,3,59,75,1,154,440
48020,"Edmonton Riverbend/Edmonton Riverbend"," 60","Edmonton",11,0,68,84,0,163,449
48020,"Edmonton Riverbend/Edmonton Riverbend"," 61","Edmonton",3,1,49,55,0,108,381
48020,"Edmonton Riverbend/Edmonton Riverbend"," 62","Edmonton",1,0,88,67,0,156,435
48020,"Edmonton Riverbend/Edmonton Riverbend"," 63","Edmonton",10,4,72,74,0,160,457
48020,"Edmonton Riverbend/Edmonton Riverbend"," 64","Edmonton",1,0,84,45,0,130,430
48020,"Edmonton Riverbend/Edmonton Riverbend"," 65","Edmonton",4,2,87,41,1,135,423
48020,"Edmonton Riverbend/Edmonton Riverbend"," 66","Edmonton",8,2,99,70,1,180,532
48020,"Edmonton Riverbend/Edmonton Riverbend"," 67","Edmonton",6,1,63,72,0,142,536
48020,"Edmonton Riverbend/Edmonton Riverbend"," 68","Edmonton",4,3,107,78,1,193,454
48020,"Edmonton Riverbend/Edmonton Riverbend"," 69","Edmonton",20,5,126,110,1,262,709
48020,"Edmonton Riverbend/Edmonton Riverbend"," 70","Edmonton",9,0,92,84,2,187,438
48020,"Edmonton Riverbend/Edmonton Riverbend"," 71","Edmonton",11,1,92,94,0,198,537
48020,"Edmonton Riverbend/Edmonton Riverbend"," 72","Edmonton",10,1,122,76,0,209,515
48020,"Edmonton Riverbend/Edmonton Riverbend"," 73","Edmonton",6,0,81,76,0,163,463
48020,"Edmonton Riverbend/Edmonton Riverbend"," 74","Edmonton",6,2,66,64,0,138,423
48020,"Edmonton Riverbend/Edmonton Riverbend"," 75","Edmonton",9,3,68,69,1,150,387
48020,"Edmonton Riverbend/Edmonton Riverbend"," 76","Edmonton",16,4,36,97,2,155,368
48020,"Edmonton Riverbend/Edmonton Riverbend"," 77","Edmonton",5,0,109,103,3,220,478
48020,"Edmonton Riverbend/Edmonton Riverbend"," 78","Edmonton",19,5,105,124,1,254,661
48020,"Edmonton Riverbend/Edmonton Riverbend"," 79","Edmonton",12,3,76,134,1,226,473
48020,"Edmonton Riverbend/Edmonton Riverbend"," 80","Edmonton",18,0,99,74,0,191,456
48020,"Edmonton Riverbend/Edmonton Riverbend"," 81","Edmonton",7,4,58,35,0,104,277
48020,"Edmonton Riverbend/Edmonton Riverbend"," 82","Edmonton",8,2,80,79,2,171,362
48020,"Edmonton Riverbend/Edmonton Riverbend"," 83","Edmonton",9,0,71,86,3,169,352
48020,"Edmonton Riverbend/Edmonton Riverbend"," 84","Edmonton",8,1,75,70,0,154,345
48020,"Edmonton Riverbend/Edmonton Riverbend"," 85","Edmonton",9,1,87,69,0,166,459
48020,"Edmonton Riverbend/Edmonton Riverbend"," 86","Edmonton",17,0,131,88,0,236,635
48020,"Edmonton Riverbend/Edmonton Riverbend"," 87","Edmonton",6,0,64,76,1,147,527
48020,"Edmonton Riverbend/Edmonton Riverbend"," 88","Edmonton",5,0,101,70,0,176,479
48020,"Edmonton Riverbend/Edmonton Riverbend"," 89","Edmonton",9,1,77,59,0,146,431
48020,"Edmonton Riverbend/Edmonton Riverbend"," 90","Edmonton",5,0,99,68,2,174,566
48020,"Edmonton Riverbend/Edmonton Riverbend"," 91","Edmonton",9,5,98,101,0,213,519
48020,"Edmonton Riverbend/Edmonton Riverbend"," 92","Edmonton",11,3,104,95,2,215,509
48020,"Edmonton Riverbend/Edmonton Riverbend"," 93","Edmonton",10,1,80,60,0,151,359
48020,"Edmonton Riverbend/Edmonton Riverbend"," 94","Edmonton",9,3,80,60,1,153,384
48020,"Edmonton Riverbend/Edmonton Riverbend"," 95","Edmonton",9,1,76,53,0,139,445
48020,"Edmonton Riverbend/Edmonton Riverbend"," 96","Edmonton",9,1,154,126,0,290,814
48020,"Edmonton Riverbend/Edmonton Riverbend"," 97","Edmonton",9,3,136,115,2,265,476
48020,"Edmonton Riverbend/Edmonton Riverbend"," 98","Edmonton",7,1,120,65,1,194,543
48020,"Edmonton Riverbend/Edmonton Riverbend"," 99","Edmonton",10,0,140,109,1,260,570
48020,"Edmonton Riverbend/Edmonton Riverbend"," 100","Edmonton",6,0,167,89,1,263,659
48020,"Edmonton Riverbend/Edmonton Riverbend"," 101","Edmonton",12,2,110,100,1,225,607
48020,"Edmonton Riverbend/Edmonton Riverbend"," 102","Edmonton",14,1,204,118,4,341,759
48020,"Edmonton Riverbend/Edmonton Riverbend"," 103","Edmonton",12,2,67,67,2,150,423
48020,"Edmonton Riverbend/Edmonton Riverbend"," 104","Edmonton",8,2,54,37,0,101,349
48020,"Edmonton Riverbend/Edmonton Riverbend"," 105","Edmonton",9,0,127,87,0,223,696
48020,"Edmonton Riverbend/Edmonton Riverbend"," 106","Edmonton",10,0,95,62,0,167,544
48020,"Edmonton Riverbend/Edmonton Riverbend"," 107","Edmonton",11,1,153,96,1,262,700
48020,"Edmonton Riverbend/Edmonton Riverbend"," 108","Edmonton",7,2,123,82,2,216,469
48020,"Edmonton Riverbend/Edmonton Riverbend"," 109","Edmonton",6,0,87,67,1,161,528
48020,"Edmonton Riverbend/Edmonton Riverbend"," 110","Edmonton",9,1,110,70,1,191,628
48020,"Edmonton Riverbend/Edmonton Riverbend"," 111","Edmonton",22,0,117,77,4,220,615
48020,"Edmonton Riverbend/Edmonton Riverbend"," 112A","Edmonton",18,0,157,96,4,275,757
48020,"Edmonton Riverbend/Edmonton Riverbend"," 112B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°507,,,,,,37
48020,"Edmonton Riverbend/Edmonton Riverbend"," 113","Edmonton",2,2,61,58,0,123,407
48020,"Edmonton Riverbend/Edmonton Riverbend"," 114","Edmonton",1,1,73,45,0,120,435
