Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kulbir Chawla,You-Ju Choi,Alan Clarke,Brian Deheer,Laila Goodridge,Kaitlyn Staines,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 1","Fitzgerald",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,18
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 2","Fitzgerald",0,1,0,0,11,5,0,17,9
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 3","Fitzgerald",1,16,7,3,52,110,0,189,543
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 4","Fitzgerald",Combined with No./Résultats combinés à ceux du n°3,,,,,,,,24
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 5","Fitzgerald",Combined with No./Résultats combinés à ceux du n°3,,,,,,,,17
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 6","Fitzgerald",Void/Supprimé,,,,,,,,
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 7","Fitzgerald",Void/Supprimé,,,,,,,,
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 8","Fort McKay",Combined with No./Résultats combinés à ceux du n°9,,,,,,,,109
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 9","Fort McKay",0,8,5,2,62,18,0,95,284
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 10","Chipewyan Lake",0,21,5,2,92,64,0,184,532
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 11","Wabasca-Desmarais",Combined with No./Résultats combinés à ceux du n°10,,,,,,,,466
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 12","Wabasca",1,14,4,1,74,30,3,127,502
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 13","Wabasca",Combined with No./Résultats combinés à ceux du n°12,,,,,,,,59
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 14","Wabasca 166",1,14,0,0,51,64,0,130,818
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 15","Fort McMurray",Combined with No./Résultats combinés à ceux du n°95,,,,,,,,132
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 16","Fort McMurray",Combined with No./Résultats combinés à ceux du n°47,,,,,,,,315
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 17","Wood Buffalo",2,0,3,0,92,29,0,126,437
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 18","Wood Buffalo",0,8,0,1,84,18,3,114,421
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 19","Wood Buffalo",0,1,2,1,72,16,0,92,361
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 20","Wood Buffalo",0,1,1,0,85,22,0,109,440
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 21","Wood Buffalo",0,1,0,0,95,6,0,102,361
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 22","Wood Buffalo",1,2,1,0,90,14,0,108,400
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 23","Wood Buffalo",0,3,4,0,121,9,0,137,431
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 24","Wood Buffalo",1,1,3,0,131,17,0,153,460
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 25","Wood Buffalo",0,3,3,1,106,28,0,141,454
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 26","Wood Buffalo",0,3,1,0,74,24,0,102,360
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 27","Wood Buffalo",0,5,3,2,98,12,0,120,395
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 28","Wood Buffalo",0,1,1,0,176,23,0,201,589
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 29","Wood Buffalo",1,2,2,1,62,13,2,83,273
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 30","Wood Buffalo",0,9,0,2,127,7,0,145,419
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 31","Wood Buffalo",0,5,2,0,124,44,0,175,440
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 32","Fort McMurray",0,3,0,0,108,23,1,135,455
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 33","Wood Buffalo",0,4,5,0,123,16,0,148,406
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 34","Wood Buffalo",0,8,3,2,143,26,0,182,360
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 35","Wood Buffalo",0,2,0,0,78,16,1,97,391
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 36","Wood Buffalo",0,3,3,0,143,13,0,162,475
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 37","Wood Buffalo",0,2,2,1,141,25,1,172,308
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 38","Wood Buffalo",0,0,0,0,121,11,2,134,381
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 39","Wood Buffalo",0,0,0,2,87,8,0,97,335
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 40","Wood Buffalo",0,3,3,0,88,9,2,105,315
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 41","Wood Buffalo",0,5,4,1,116,28,0,154,451
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 42","Fort McMurray",Combined with No./Résultats combinés à ceux du n°34,,,,,,,,270
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 43","Wood Buffalo",0,6,0,0,98,11,1,116,375
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 44","Wood Buffalo",0,1,6,0,107,15,0,129,373
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 45","Fort McMurray",0,5,5,2,132,18,0,162,384
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 46","Wood Buffalo",0,3,1,1,149,14,0,168,488
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 47","Wood Buffalo",0,6,4,0,207,34,6,257,428
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 48","Wood Buffalo",0,8,7,1,165,17,0,198,529
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 49","Wood Buffalo",0,4,3,0,155,19,1,182,360
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 50","Wood Buffalo",0,4,0,1,135,11,1,152,423
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 51","Wood Buffalo",1,0,1,1,131,12,0,146,388
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 52","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°53,,,,,,,,312
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 53","Wood Buffalo",0,0,5,0,165,18,0,188,319
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 54","Wood Buffalo",0,3,6,1,155,19,0,184,404
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 55","Wood Buffalo",Combined with No./Résultats combinés à ceux du n°69,,,,,,,,324
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 56A","Wood Buffalo",0,2,1,1,92,15,1,112,373
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 56B","Wood Buffalo",0,3,2,1,86,17,2,111,361
