Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Des Bissonnette,Bridget Burns,Michael Manchen,Barry Milaney,Micheal Speirs,Shannon Stubbs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Lakeland/Lakeland"," 1","Breynat",6,1,2,6,0,140,0,155,232
48027,"Lakeland/Lakeland"," 2","Grosmont",11,5,0,31,0,223,0,270,548
48027,"Lakeland/Lakeland"," 3","Baptiste Lake",4,0,1,25,0,107,1,138,336
48027,"Lakeland/Lakeland"," 4","Deep Creek",4,1,5,11,1,127,1,150,427
48027,"Lakeland/Lakeland"," 5","Athabasca",6,4,3,15,4,141,0,173,378
48027,"Lakeland/Lakeland"," 6","Athabasca",Combined with No./Résultats combinés à ceux du n°9,,,,,,,,216
48027,"Lakeland/Lakeland"," 7","Athabasca",13,1,4,23,0,145,0,186,507
48027,"Lakeland/Lakeland"," 8","Athabasca",20,1,6,36,0,136,1,200,559
48027,"Lakeland/Lakeland"," 9","Colinton",12,1,13,23,0,186,0,235,319
48027,"Lakeland/Lakeland"," 10","Amber Valley",9,1,5,17,0,221,0,253,571
48027,"Lakeland/Lakeland"," 11","Athabasca",11,1,2,25,0,79,1,119,140
48027,"Lakeland/Lakeland"," 12","Athabasca",7,4,3,16,1,50,1,82,313
48027,"Lakeland/Lakeland"," 13","Athabasca",4,1,5,16,1,64,0,91,348
48027,"Lakeland/Lakeland"," 14","Athabasca",2,0,1,4,0,34,0,41,366
48027,"Lakeland/Lakeland"," 15","Athabasca",7,3,3,22,3,60,0,98,276
48027,"Lakeland/Lakeland"," 16","Grassland",6,0,7,18,1,253,1,286,505
48027,"Lakeland/Lakeland"," 17","Colinton",13,1,1,18,0,101,0,134,371
48027,"Lakeland/Lakeland"," 18","Colinton",6,4,10,11,1,117,1,150,340
48027,"Lakeland/Lakeland"," 19","Perryvale",10,1,10,37,1,193,1,253,498
48027,"Lakeland/Lakeland"," 20","Mewatha Beach",7,2,4,24,0,198,0,235,591
48027,"Lakeland/Lakeland"," 21","Boyle",6,1,6,11,1,90,1,116,329
48027,"Lakeland/Lakeland"," 22","Boyle",4,4,2,26,0,94,0,130,411
48027,"Lakeland/Lakeland"," 23","Ellscott",6,0,3,7,1,140,0,157,374
48027,"Lakeland/Lakeland"," 24","Rochester",15,2,5,23,2,197,1,245,382
48027,"Lakeland/Lakeland"," 25","Buffalo Lake Metis Settlement",11,3,7,22,0,104,0,147,383
48027,"Lakeland/Lakeland"," 26","Alpen Siding",14,1,5,16,2,170,0,208,376
48027,"Lakeland/Lakeland"," 27","Kikino",18,3,4,50,0,126,0,201,449
48027,"Lakeland/Lakeland"," 28","Abee",2,1,3,8,1,130,2,147,319
48027,"Lakeland/Lakeland"," 29","Elbridge",4,1,4,16,6,236,0,267,619
48027,"Lakeland/Lakeland"," 30","Thorhild",6,2,6,11,1,148,0,174,438
48027,"Lakeland/Lakeland"," 31","Hollow Lake",4,1,0,13,2,199,0,219,398
48027,"Lakeland/Lakeland"," 32","Waskatenau",3,4,2,13,0,123,0,145,267
48027,"Lakeland/Lakeland"," 33","Warspite",4,0,3,7,0,88,0,102,256
48027,"Lakeland/Lakeland"," 34","Edwand--Smoky Lake",8,1,9,18,2,126,0,164,364
48027,"Lakeland/Lakeland"," 35","Smoky Lake",5,0,1,11,0,66,1,84,265
48027,"Lakeland/Lakeland"," 36","Smoky Lake",8,1,5,17,0,126,0,157,241
48027,"Lakeland/Lakeland"," 37","Smoky Lake",Combined with No./Résultats combinés à ceux du n°36,,,,,,,,169
48027,"Lakeland/Lakeland"," 38","Victoria Settlement",5,0,2,18,2,111,0,138,307
48027,"Lakeland/Lakeland"," 39","White Fish Lake 128",36,4,1,113,2,69,2,227,760
48027,"Lakeland/Lakeland"," 40","St. Lina",7,3,1,28,4,236,0,279,404
48027,"Lakeland/Lakeland"," 41","Egremont",1,2,0,10,0,96,1,110,291
48027,"Lakeland/Lakeland"," 42","Radway",11,2,9,20,2,171,0,215,403
48027,"Lakeland/Lakeland"," 43","Bellis",1,1,2,10,1,116,1,132,294
48027,"Lakeland/Lakeland"," 44","Vilna",6,2,1,23,2,109,0,143,439
48027,"Lakeland/Lakeland"," 45","Stry",4,1,1,7,0,81,0,94,194
48027,"Lakeland/Lakeland"," 46","Spedden",3,1,3,15,0,159,1,182,315
48027,"Lakeland/Lakeland"," 47","Glendon",6,2,8,24,0,271,1,312,426
48027,"Lakeland/Lakeland"," 48","Beacon Corner",1,1,2,3,3,115,0,125,185
48027,"Lakeland/Lakeland"," 49","Mallaig",3,3,0,34,2,225,1,268,414
48027,"Lakeland/Lakeland"," 50","Skaro",1,2,1,17,3,124,0,148,328
48027,"Lakeland/Lakeland"," 51","Bruderheim",10,4,5,45,0,343,3,410,506
48027,"Lakeland/Lakeland"," 52","Bruderheim",19,5,6,42,3,223,0,298,606
48027,"Lakeland/Lakeland"," 53","Beaverhill",Combined with No./Résultats combinés à ceux du n°50,,,,,,,,307
48027,"Lakeland/Lakeland"," 54","St. Vincent",1,1,4,16,1,146,0,169,458
48027,"Lakeland/Lakeland"," 55","Hoselaw",2,0,4,21,1,181,1,210,345
48027,"Lakeland/Lakeland"," 56","Andrew",9,0,5,14,3,169,0,200,158
48027,"Lakeland/Lakeland"," 57","Andrew",Combined with No./Résultats combinés à ceux du n°56,,,,,,,,142
48027,"Lakeland/Lakeland"," 58","Andrew",8,7,2,19,1,141,2,180,338
48027,"Lakeland/Lakeland"," 59","Wostok",5,1,1,10,1,108,0,126,209
48027,"Lakeland/Lakeland"," 60","Ashmont",4,0,7,29,1,191,0,232,603
48027,"Lakeland/Lakeland"," 61","Saddle Lake 125",3,3,1,33,1,13,0,54,307
48027,"Lakeland/Lakeland"," 62","Saddle Lake 125",11,2,0,29,0,10,0,52,348
48027,"Lakeland/Lakeland"," 63","Saddle Lake 125",14,1,1,26,0,11,0,53,662
48027,"Lakeland/Lakeland"," 64","Moose Lake",Combined with No./Résultats combinés à ceux du n°68,,,,,,,,262
48027,"Lakeland/Lakeland"," 65","Pelican Narrows",1,0,2,18,1,182,2,206,479
48027,"Lakeland/Lakeland"," 66","Bonnyville",7,2,4,22,0,210,1,246,636
48027,"Lakeland/Lakeland"," 67","Bonnyville",5,2,10,20,2,186,0,225,588
48027,"Lakeland/Lakeland"," 68","Pelican Narrows",4,0,3,13,0,244,0,264,366
48027,"Lakeland/Lakeland"," 69","Bonnyville",4,2,4,21,0,187,2,220,347
48027,"Lakeland/Lakeland"," 70","Bonnyville",3,2,1,19,1,116,0,142,484
48027,"Lakeland/Lakeland"," 71","Bonnyville",6,0,2,11,0,110,2,131,508
48027,"Lakeland/Lakeland"," 72","Bonnyville",5,1,4,16,0,108,0,134,445
48027,"Lakeland/Lakeland"," 73","Bonnyville",14,1,3,24,1,176,0,219,505
48027,"Lakeland/Lakeland"," 74","Bonnyville",6,3,3,28,0,109,0,149,445
48027,"Lakeland/Lakeland"," 75","Bonnyville",1,1,1,16,1,141,0,161,385
48027,"Lakeland/Lakeland"," 76","Bonnyville",3,0,4,17,1,152,0,177,507
48027,"Lakeland/Lakeland"," 77","Bonnyville Beach",Combined with No./Résultats combinés à ceux du n°69,,,,,,,,215
48027,"Lakeland/Lakeland"," 78","Bonnyville",3,2,1,11,0,166,0,183,543
48027,"Lakeland/Lakeland"," 79","Muriel Lake",5,0,2,8,0,136,0,151,412
48027,"Lakeland/Lakeland"," 80","St. Michael",Combined with No./Résultats combinés à ceux du n°84,,,,,,,,202
48027,"Lakeland/Lakeland"," 81","Lamont",9,0,0,14,0,146,1,170,480
48027,"Lakeland/Lakeland"," 82","Lamont",4,2,4,17,1,86,2,116,389
48027,"Lakeland/Lakeland"," 83","Lamont",10,2,4,17,1,127,0,161,448
48027,"Lakeland/Lakeland"," 84","Lamont",8,2,3,22,2,208,0,245,245
48027,"Lakeland/Lakeland"," 85","Kehewin 123",12,4,1,73,3,19,1,113,501
48027,"Lakeland/Lakeland"," 86","Willingdon",3,1,4,14,2,185,0,209,423
48027,"Lakeland/Lakeland"," 87","St. Paul",7,1,4,14,0,91,0,117,300
48027,"Lakeland/Lakeland"," 88","Blue Quills First Nation",2,1,2,25,1,154,0,185,433
48027,"Lakeland/Lakeland"," 89","St. Paul",13,2,5,32,0,141,1,194,477
48027,"Lakeland/Lakeland"," 90","St. Paul",9,1,2,29,1,66,1,109,286
48027,"Lakeland/Lakeland"," 91","St. Paul",12,5,4,29,0,146,2,198,531
48027,"Lakeland/Lakeland"," 92","St. Paul",8,2,2,25,0,139,1,177,503
48027,"Lakeland/Lakeland"," 93","St. Paul",5,2,1,31,1,130,0,170,451
48027,"Lakeland/Lakeland"," 94","St. Paul",7,2,3,22,0,86,0,120,345
48027,"Lakeland/Lakeland"," 95","St. Paul",9,1,2,29,1,115,1,158,404
48027,"Lakeland/Lakeland"," 96","St. Paul",11,1,2,34,1,102,0,151,435
48027,"Lakeland/Lakeland"," 97","St. Edouard",11,0,5,25,2,190,0,233,494
48027,"Lakeland/Lakeland"," 98","St. Paul",3,0,1,13,0,128,0,145,331
48027,"Lakeland/Lakeland"," 99","Beaverdam",1,0,5,9,0,75,1,91,152
48027,"Lakeland/Lakeland"," 100","Beaverdam",13,2,5,35,1,69,2,127,230
48027,"Lakeland/Lakeland"," 101","Hairy Hill",3,1,3,27,0,126,0,160,370
48027,"Lakeland/Lakeland"," 102","Brosseau",1,1,6,20,1,106,0,135,228
48027,"Lakeland/Lakeland"," 103","Chipman",11,1,8,34,1,208,4,267,500
48027,"Lakeland/Lakeland"," 104","Hilliard",4,1,3,23,1,185,0,217,351
48027,"Lakeland/Lakeland"," 105","Elk Point",8,1,3,29,0,171,0,212,546
48027,"Lakeland/Lakeland"," 106","Lindbergh",3,1,1,19,0,105,1,130,236
48027,"Lakeland/Lakeland"," 107","Elk Point",10,2,3,23,3,186,2,229,599
48027,"Lakeland/Lakeland"," 108","Elk Point",7,0,7,15,1,124,0,154,455
48027,"Lakeland/Lakeland"," 109","Lafond",5,2,1,10,0,74,1,93,237
48027,"Lakeland/Lakeland"," 110","Lake Eliza",5,0,2,9,0,126,0,142,253
48027,"Lakeland/Lakeland"," 111","Mundare",12,2,5,20,2,201,0,242,463
48027,"Lakeland/Lakeland"," 112","Mundare",14,2,8,43,2,220,2,291,504
48027,"Lakeland/Lakeland"," 113","Mundare",7,4,4,20,4,177,4,220,396
48027,"Lakeland/Lakeland"," 114","Sputinow",27,3,2,66,0,41,0,139,229
48027,"Lakeland/Lakeland"," 115","Two Hills",1,1,2,8,1,118,1,132,408
48027,"Lakeland/Lakeland"," 116","Two Hills",4,1,4,13,3,98,0,123,390
