Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ronald Brochu,Kirk Cayer,Christopher Everingham,Jose Flores,Mike Lake,Katherine Swampy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 1","Genesee",9,1,0,5,100,1,0,116,189
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 2","Devon",19,0,1,3,116,14,0,153,454
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 3","Devon",17,1,1,2,84,11,0,116,363
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 4","Devon",23,0,0,1,97,22,0,143,404
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 5","Devon",33,1,0,1,93,13,0,141,440
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 6","Devon",36,1,0,4,121,9,0,171,522
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 7","Telfordville",12,0,1,7,155,7,0,182,292
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 8","Thorsby",15,2,1,4,156,8,0,186,302
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 9","Thorsby",24,1,0,2,213,22,2,264,515
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 10","Thorsby",26,0,0,2,173,11,1,213,362
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 11","Leduc County",8,0,0,2,69,5,0,84,155
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 12A","Nisku",39,0,0,3,87,9,1,139,484
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 12B","Nisku",36,0,0,2,93,5,0,136,403
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 13A","Beaumont",39,0,0,0,91,9,1,140,370
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 13B","Beaumont",38,0,0,1,125,4,0,168,392
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 14","Beaumont",37,0,2,6,97,3,0,145,427
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 15","Beaumont",48,0,0,2,198,12,1,261,626
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 16","Beaumont",55,1,1,3,145,12,1,218,690
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 17","Calmar",16,3,0,1,156,8,2,186,411
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 18","Calmar",14,0,1,3,169,7,0,194,433
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 19","Calmar",21,1,0,0,121,6,1,150,315
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 20","Beaumont",35,0,0,4,114,9,1,163,426
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 21","Beaumont",45,1,0,2,112,16,0,176,472
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 22","Beaumont",42,0,1,1,114,4,2,164,416
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 23","Beaumont",43,1,1,2,84,6,0,137,407
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 24","Alsike",0,0,1,2,46,0,1,50,146
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 25","Warburg",7,2,0,3,148,9,0,169,439
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 26","Warburg",12,1,1,4,128,10,0,156,394
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 27","Sunnybrook",5,2,0,1,125,7,0,140,280
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 28","Fern Creek",10,2,0,5,96,1,0,114,250
48028,"Leduc--Wetaskiwin/Leduc--Wetaskiwin"," 29","Beaumont",47,1,0,1,122,7,0,178,474
