Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Luke Markowski,Darrell Teske,Landen Tischer,Arnold Viersen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48032,"Peace River--Westlock/Peace River--Westlock"," 1","Meander River",3,0,0,14,0,17,53
48032,"Peace River--Westlock/Peace River--Westlock"," 1-1","Upper Hay River 212",53,1,1,13,1,69,168
48032,"Peace River--Westlock/Peace River--Westlock"," 2","Hay Lake 209",125,0,9,18,0,152,539
48032,"Peace River--Westlock/Peace River--Westlock"," 3","Rainbow Lake",7,2,2,63,1,75,246
48032,"Peace River--Westlock/Peace River--Westlock"," 4","Mackenzie County--Boyer",23,2,6,83,1,115,298
48032,"Peace River--Westlock/Peace River--Westlock"," 4-1","Child Lake 164A",23,3,10,5,0,41,92
48032,"Peace River--Westlock/Peace River--Westlock"," 4-2","Beaver Ranch 163--Fort Vermilion 173B",Combined with No./Résultats combinés à ceux du n°27,,,,,,6
48032,"Peace River--Westlock/Peace River--Westlock"," 5","High Level",31,2,10,104,2,149,602
48032,"Peace River--Westlock/Peace River--Westlock"," 6","High Level",31,5,8,95,1,140,500
48032,"Peace River--Westlock/Peace River--Westlock"," 7","High Level",41,6,8,111,1,167,456
48032,"Peace River--Westlock/Peace River--Westlock"," 8A","High Level",32,3,7,75,0,117,561
48032,"Peace River--Westlock/Peace River--Westlock"," 8B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,19
48032,"Peace River--Westlock/Peace River--Westlock"," 9A","High Level",25,4,4,105,1,139,445
48032,"Peace River--Westlock/Peace River--Westlock"," 9B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,1
48032,"Peace River--Westlock/Peace River--Westlock"," 10","High Level",14,0,3,84,1,102,314
48032,"Peace River--Westlock/Peace River--Westlock"," 10-1","Bushe River 207",24,0,6,23,0,53,226
48032,"Peace River--Westlock/Peace River--Westlock"," 11","High Level",4,0,3,154,1,162,573
