Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Grant Abraham,Blaine Calkins,Larry Gratton,Logan Hooley,Zarnab Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 1","Hoadley",14,242,10,25,0,0,291,492
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 2","Bluffton",10,194,4,17,0,0,225,442
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 3","Homeglen",15,154,6,11,0,0,186,530
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 4","Usona",19,162,3,23,3,0,210,435
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 5","Willesden Green",7,175,2,10,0,1,195,477
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 6","Rimbey",7,173,5,16,2,1,204,474
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 7","Rimbey",11,162,2,13,1,3,192,538
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 8","Rimbey",5,124,3,20,1,2,155,466
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 9","Rimbey",3,117,6,18,4,0,148,495
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 10","Rimbey",5,137,5,15,0,4,166,442
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 11","Rimbey",13,197,7,20,2,0,239,497
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 12","Parkland Beach",8,162,3,29,3,0,205,513
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 13","Menaik",5,194,4,21,4,2,230,572
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 14","Ponoka County",19,196,7,13,5,0,240,560
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 15","Ponoka",5,136,3,24,1,2,171,495
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 16","Ponoka",5,125,9,25,2,1,167,545
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 17","Ponoka County",21,393,2,43,6,3,468,749
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 18","Ponoka",6,148,7,30,4,0,195,470
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 19","Ponoka",8,107,1,33,3,1,153,517
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 20","Ponoka",3,122,5,33,7,1,171,538
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 21","Ponoka",3,105,6,26,6,0,146,513
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 22","Ponoka",5,115,4,18,11,0,153,527
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 23","Ponoka",10,119,4,20,2,0,155,488
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 24","Ponoka",4,119,1,21,2,0,147,489
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 25","Ponoka County",5,141,6,16,4,0,172,585
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 26","Ponoka County",11,182,5,23,4,1,226,584
48033,"Ponoka--Didsbury/Ponoka--Didsbury"," 27","Ponoka County",9,235,6,20,10,2,282,591
