Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Wade Chang,Richard Farbridge,Jagmeet Singh,James Yan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59002,"Burnaby Central/Burnaby Central"," 1","Burnaby",87,1,19,79,3,189,333
59002,"Burnaby Central/Burnaby Central"," 2A","Burnaby",51,1,14,91,0,157,495
59002,"Burnaby Central/Burnaby Central"," 2B","Burnaby",55,0,12,52,0,119,433
59002,"Burnaby Central/Burnaby Central"," 3","Burnaby",71,3,22,54,1,151,658
59002,"Burnaby Central/Burnaby Central"," 4","Burnaby",Combined with No./Résultats combinés à ceux du n°400,,,,,,262
59002,"Burnaby Central/Burnaby Central"," 5A","Burnaby",38,3,18,35,0,94,422
59002,"Burnaby Central/Burnaby Central"," 5B","Burnaby",38,0,19,40,0,97,365
59002,"Burnaby Central/Burnaby Central"," 6A","Burnaby",65,1,12,60,2,140,520
59002,"Burnaby Central/Burnaby Central"," 6B","Burnaby",43,0,7,51,0,101,413
59002,"Burnaby Central/Burnaby Central"," 7","Burnaby",64,0,13,70,0,147,1
59002,"Burnaby Central/Burnaby Central"," 8","Burnaby",57,0,13,84,1,155,658
59002,"Burnaby Central/Burnaby Central"," 9","Burnaby",Combined with No./Résultats combinés à ceux du n°7,,,,,,400
59002,"Burnaby Central/Burnaby Central"," 10","Burnaby",Combined with No./Résultats combinés à ceux du n°7,,,,,,114
59002,"Burnaby Central/Burnaby Central"," 11A","Burnaby",44,2,11,65,0,122,523
59002,"Burnaby Central/Burnaby Central"," 11B","Burnaby",42,1,14,67,0,124,501
59002,"Burnaby Central/Burnaby Central"," 12","Burnaby",60,0,16,80,0,156,634
59002,"Burnaby Central/Burnaby Central"," 13","Burnaby",Combined with No./Résultats combinés à ceux du n°1,,,,,,413
59002,"Burnaby Central/Burnaby Central"," 14","Burnaby",60,0,16,68,1,145,283
59002,"Burnaby Central/Burnaby Central"," 15","Burnaby",100,2,30,37,2,171,508
59002,"Burnaby Central/Burnaby Central"," 16","Burnaby",50,1,25,70,2,148,498
59002,"Burnaby Central/Burnaby Central"," 17","Burnaby",68,1,38,43,0,150,471
59002,"Burnaby Central/Burnaby Central"," 18","Burnaby",54,0,25,52,1,132,406
59002,"Burnaby Central/Burnaby Central"," 19","Burnaby",73,0,50,68,0,191,470
59002,"Burnaby Central/Burnaby Central"," 20","Burnaby",83,3,30,87,1,204,427
59002,"Burnaby Central/Burnaby Central"," 21","Burnaby",76,0,32,49,2,159,417
59002,"Burnaby Central/Burnaby Central"," 22","Burnaby",75,1,33,50,0,159,414
