Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Terry Beech,Michael Charrois,Mauro Francis,Jesse Fulton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 1","North Vancouver",145,7,99,1,1,253,425
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 2","North Vancouver",94,2,63,1,0,160,451
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 3","North Vancouver",156,15,58,0,2,231,493
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 4","North Vancouver",134,7,58,0,0,199,500
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 5","North Vancouver",119,10,68,2,0,199,499
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 6","North Vancouver",96,11,84,3,0,194,498
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 7","North Vancouver",Combined with No./Résultats combinés à ceux du n°1,,,,,,292
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 8","North Vancouver",90,18,41,1,1,151,457
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 9","North Vancouver",128,19,89,4,0,240,631
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 10","North Vancouver",93,9,38,0,0,140,438
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 11","North Vancouver",134,10,51,0,2,197,508
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 12","North Vancouver",95,4,63,1,1,164,418
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 13","North Vancouver",91,5,77,0,0,173,421
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 14","North Vancouver",114,7,68,0,0,189,430
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 15","North Vancouver",128,9,72,0,0,209,475
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 16","North Vancouver",83,8,64,0,1,156,442
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 17","North Vancouver",98,7,53,1,0,159,507
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 18","North Vancouver",50,10,59,1,1,121,471
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 19","North Vancouver",83,10,51,1,0,145,499
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 20","North Vancouver",104,3,48,0,2,157,526
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 21","North Vancouver",88,4,53,2,0,147,461
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 22","North Vancouver",94,13,45,2,2,156,511
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 23","North Vancouver",78,18,83,0,0,179,294
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 24","North Vancouver",69,4,56,1,0,130,365
59003,"Burnaby North--Seymour/Burnaby-Nord--Seymour"," 25","North Vancouver",88,9,59,0,1,157,481
