Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Angie Bonazzo,Jodie Capling,Todd Doherty,Clinton Emslie,Rudy Sans,Kenneth B. Thomson,Jake Wiens,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59004,"Cariboo--Prince George/Cariboo--Prince George"," 1","Braeside--Fondeur 9",4,0,110,10,1,0,0,0,125,357
59004,"Cariboo--Prince George/Cariboo--Prince George"," 2","Dog Creek",3,2,133,24,1,0,1,0,164,442
59004,"Cariboo--Prince George/Cariboo--Prince George"," 3","Vanderhoof",12,2,128,18,2,0,0,0,162,443
59004,"Cariboo--Prince George/Cariboo--Prince George"," 4","Vanderhoof",13,1,140,41,4,1,0,0,200,628
59004,"Cariboo--Prince George/Cariboo--Prince George"," 5","Chilco",3,3,129,12,1,0,0,1,149,448
59004,"Cariboo--Prince George/Cariboo--Prince George"," 6","Vanderhoof",12,8,96,33,0,0,2,0,151,484
59004,"Cariboo--Prince George/Cariboo--Prince George"," 7","Weneez",5,2,145,20,1,0,1,1,175,480
59004,"Cariboo--Prince George/Cariboo--Prince George"," 8","Stony Creek 1--Laketown 3",19,6,18,18,0,1,2,0,64,225
59004,"Cariboo--Prince George/Cariboo--Prince George"," 9","Vanderhoof",8,1,84,19,1,0,1,1,115,275
59004,"Cariboo--Prince George/Cariboo--Prince George"," 10","Vanderhoof",8,2,87,38,2,1,2,2,142,443
59004,"Cariboo--Prince George/Cariboo--Prince George"," 11","Weneez",6,1,131,26,3,0,4,0,171,479
59004,"Cariboo--Prince George/Cariboo--Prince George"," 12","Vanderhoof",8,2,115,22,0,0,2,0,149,371
59004,"Cariboo--Prince George/Cariboo--Prince George"," 13","Nulki",5,3,106,22,1,0,2,0,139,342
59004,"Cariboo--Prince George/Cariboo--Prince George"," 14","Finmoore",8,3,173,81,3,2,0,0,270,545
59004,"Cariboo--Prince George/Cariboo--Prince George"," 15","Mapes",3,0,127,11,0,0,0,0,141,289
59004,"Cariboo--Prince George/Cariboo--Prince George"," 16","Miworth",9,5,56,27,0,0,0,0,97,254
59004,"Cariboo--Prince George/Cariboo--Prince George"," 17","Miworth",9,4,80,42,1,0,0,1,137,324
59004,"Cariboo--Prince George/Cariboo--Prince George"," 18","Prince George",6,1,71,40,1,0,0,4,123,433
