Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Christopher Adam,Salina Derish,Jeff Galbraith,Zeeshan Khan,Mark Strahl,Teri Westerby,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Chilliwack--Hope/Chilliwack--Hope"," 1","Boston Bar",2,3,1,33,69,28,0,136,433
59005,"Chilliwack--Hope/Chilliwack--Hope"," 1-1","Kahmoose 4",0,1,0,5,3,8,0,17,18
59005,"Chilliwack--Hope/Chilliwack--Hope"," 1-2","Boston Bar 1A--Kopchitchin 2",Combined with No./Résultats combinés à ceux du n°1,,,,,,,,56
59005,"Chilliwack--Hope/Chilliwack--Hope"," 2","Choate--Yale",0,3,3,38,75,14,0,133,398
59005,"Chilliwack--Hope/Chilliwack--Hope"," 2-1","Puckatholetchin 11",Void/Supprimé,,,,,,,,
59005,"Chilliwack--Hope/Chilliwack--Hope"," 2-2","Albert Flat 5--Stullawheets 8",Combined with No./Résultats combinés à ceux du n°2,,,,,,,,100
59005,"Chilliwack--Hope/Chilliwack--Hope"," 2-3","Spuzzum 1",Combined with No./Résultats combinés à ceux du n°1-1,,,,,,,,25
59005,"Chilliwack--Hope/Chilliwack--Hope"," 3","Kent",Combined with No./Résultats combinés à ceux du n°4-1,,,,,,,,147
59005,"Chilliwack--Hope/Chilliwack--Hope"," 4","Seabird Island",Combined with No./Résultats combinés à ceux du n°4-1,,,,,,,,35
59005,"Chilliwack--Hope/Chilliwack--Hope"," 4-1","Chawathil 4",1,3,0,53,35,23,0,115,158
59005,"Chilliwack--Hope/Chilliwack--Hope"," 4-2","Lukseetsissum 9",Combined with No./Résultats combinés à ceux du n°5,,,,,,,,35
59005,"Chilliwack--Hope/Chilliwack--Hope"," 4-3","Ruby Creek 2",Combined with No./Résultats combinés à ceux du n°5,,,,,,,,64
59005,"Chilliwack--Hope/Chilliwack--Hope"," 5","Kent",1,4,3,36,99,10,0,153,429
59005,"Chilliwack--Hope/Chilliwack--Hope"," 6","Kent",0,6,0,41,82,11,0,140,441
59005,"Chilliwack--Hope/Chilliwack--Hope"," 7","Seabird Island",1,4,2,84,35,51,3,180,505
59005,"Chilliwack--Hope/Chilliwack--Hope"," 8","Kent",0,2,3,35,83,11,0,134,528
59005,"Chilliwack--Hope/Chilliwack--Hope"," 9","Kent",0,3,0,49,110,12,2,176,418
59005,"Chilliwack--Hope/Chilliwack--Hope"," 10","Kent",0,4,0,67,108,13,0,192,606
59005,"Chilliwack--Hope/Chilliwack--Hope"," 11","Kent",1,2,1,39,100,17,0,160,508
59005,"Chilliwack--Hope/Chilliwack--Hope"," 12","Kent",1,1,1,37,84,17,0,141,462
59005,"Chilliwack--Hope/Chilliwack--Hope"," 13","Kent",Combined with No./Résultats combinés à ceux du n°9,,,,,,,,167
59005,"Chilliwack--Hope/Chilliwack--Hope"," 13-1","Tseatah 2",Combined with No./Résultats combinés à ceux du n°5,,,,,,,,3
59005,"Chilliwack--Hope/Chilliwack--Hope"," 14","Chilliwack",1,0,0,42,72,9,0,124,428
59005,"Chilliwack--Hope/Chilliwack--Hope"," 15","Chilliwack",0,3,0,45,113,13,0,174,547
59005,"Chilliwack--Hope/Chilliwack--Hope"," 16","Chilliwack",0,3,1,40,98,14,2,158,538
59005,"Chilliwack--Hope/Chilliwack--Hope"," 17","Chilliwack",0,2,0,29,94,7,0,132,484
59005,"Chilliwack--Hope/Chilliwack--Hope"," 18","Chilliwack",3,5,1,60,102,19,0,190,598
59005,"Chilliwack--Hope/Chilliwack--Hope"," 19","Chilliwack",1,1,1,43,111,18,0,175,577
59005,"Chilliwack--Hope/Chilliwack--Hope"," 20","Skwali 3",Combined with No./Résultats combinés à ceux du n°23,,,,,,,,72
59005,"Chilliwack--Hope/Chilliwack--Hope"," 20-1","Skwah 4",0,2,0,18,12,18,1,51,141
59005,"Chilliwack--Hope/Chilliwack--Hope"," 21A","Chilliwack",0,4,0,45,100,9,1,159,570
59005,"Chilliwack--Hope/Chilliwack--Hope"," 21B","Chilliwack",Combined with No./Résultats combinés à ceux du n°28,,,,,,,,176
59005,"Chilliwack--Hope/Chilliwack--Hope"," 22","Chilliwack",0,1,0,56,85,9,0,151,565
59005,"Chilliwack--Hope/Chilliwack--Hope"," 23","Chilliwack",0,0,2,44,75,8,0,129,379
59005,"Chilliwack--Hope/Chilliwack--Hope"," 24","Kwawkwawapilt 6",Combined with No./Résultats combinés à ceux du n°25,,,,,,,,130
59005,"Chilliwack--Hope/Chilliwack--Hope"," 25","Skway 5",0,2,0,46,71,7,0,126,356
59005,"Chilliwack--Hope/Chilliwack--Hope"," 25-1","Aitchelitch 9",Combined with No./Résultats combinés à ceux du n°25-2,,,,,,,,20
59005,"Chilliwack--Hope/Chilliwack--Hope"," 25-2","Kwawkwawapilt 6",0,0,2,35,35,10,0,82,319
59005,"Chilliwack--Hope/Chilliwack--Hope"," 25-3","Squiaala",Combined with No./Résultats combinés à ceux du n°25-2,,,,,,,,116
59005,"Chilliwack--Hope/Chilliwack--Hope"," 25-4","Skway 5",0,2,3,69,116,7,1,198,641
59005,"Chilliwack--Hope/Chilliwack--Hope"," 26","Chilliwack",0,1,0,32,120,10,1,164,458
59005,"Chilliwack--Hope/Chilliwack--Hope"," 27","Chilliwack",0,1,7,48,71,16,0,143,499
59005,"Chilliwack--Hope/Chilliwack--Hope"," 28","Chilliwack",0,1,1,50,77,5,1,135,387
59005,"Chilliwack--Hope/Chilliwack--Hope"," 29","Chilliwack",1,3,1,54,75,23,0,157,580
59005,"Chilliwack--Hope/Chilliwack--Hope"," 30","Chilliwack",0,2,0,45,85,7,0,139,582
59005,"Chilliwack--Hope/Chilliwack--Hope"," 31","Chilliwack",1,3,1,52,92,14,2,165,374
59005,"Chilliwack--Hope/Chilliwack--Hope"," 32","Chilliwack",0,4,1,41,87,15,1,149,497
59005,"Chilliwack--Hope/Chilliwack--Hope"," 33","Chilliwack",1,7,3,37,66,7,0,121,375
59005,"Chilliwack--Hope/Chilliwack--Hope"," 34","Chilliwack",0,2,1,40,77,10,1,131,424
59005,"Chilliwack--Hope/Chilliwack--Hope"," 35","Chilliwack",1,6,2,43,65,10,1,128,557
59005,"Chilliwack--Hope/Chilliwack--Hope"," 36","Chilliwack",0,2,4,55,77,12,1,151,450
59005,"Chilliwack--Hope/Chilliwack--Hope"," 37","Chilliwack",0,4,0,55,70,19,0,148,583
59005,"Chilliwack--Hope/Chilliwack--Hope"," 38","Chilliwack",0,4,1,58,80,8,0,151,521
59005,"Chilliwack--Hope/Chilliwack--Hope"," 39","Chilliwack",0,4,2,34,64,15,1,120,396
59005,"Chilliwack--Hope/Chilliwack--Hope"," 40","Chilliwack",0,3,0,42,56,11,0,112,453
59005,"Chilliwack--Hope/Chilliwack--Hope"," 41","Chilliwack",2,6,1,61,89,17,0,176,471
59005,"Chilliwack--Hope/Chilliwack--Hope"," 42","Chilliwack",0,3,0,26,49,7,1,86,436
59005,"Chilliwack--Hope/Chilliwack--Hope"," 43","Chilliwack",0,4,0,43,113,18,2,180,582
59005,"Chilliwack--Hope/Chilliwack--Hope"," 44","Chilliwack",1,4,6,44,75,13,1,144,486
59005,"Chilliwack--Hope/Chilliwack--Hope"," 45","Chilliwack",0,4,3,56,144,12,7,226,588
59005,"Chilliwack--Hope/Chilliwack--Hope"," 46","Chilliwack",0,1,0,40,83,18,0,142,562
59005,"Chilliwack--Hope/Chilliwack--Hope"," 47","Chilliwack",1,4,0,32,99,9,3,148,431
59005,"Chilliwack--Hope/Chilliwack--Hope"," 48","Chilliwack",0,6,2,53,102,14,1,178,482
59005,"Chilliwack--Hope/Chilliwack--Hope"," 49","Chilliwack",1,6,4,44,55,14,0,124,425
59005,"Chilliwack--Hope/Chilliwack--Hope"," 50","Chilliwack",0,2,0,54,81,17,1,155,524
59005,"Chilliwack--Hope/Chilliwack--Hope"," 51","Chilliwack",0,3,2,31,78,15,0,129,470
59005,"Chilliwack--Hope/Chilliwack--Hope"," 52","Chilliwack",0,3,7,54,95,30,1,190,583
59005,"Chilliwack--Hope/Chilliwack--Hope"," 53","Chilliwack",1,2,1,51,74,10,2,141,433
59005,"Chilliwack--Hope/Chilliwack--Hope"," 54","Chilliwack",0,8,2,50,106,15,0,181,499
59005,"Chilliwack--Hope/Chilliwack--Hope"," 55","Chilliwack",0,9,2,46,59,23,0,139,498
59005,"Chilliwack--Hope/Chilliwack--Hope"," 56","Chilliwack",0,5,3,46,67,36,1,158,621
59005,"Chilliwack--Hope/Chilliwack--Hope"," 57","Chilliwack",0,1,2,69,91,22,1,186,539
59005,"Chilliwack--Hope/Chilliwack--Hope"," 58","Chilliwack",1,2,2,48,50,19,0,122,481
59005,"Chilliwack--Hope/Chilliwack--Hope"," 59","Chilliwack",0,5,3,38,62,21,0,129,492
59005,"Chilliwack--Hope/Chilliwack--Hope"," 60","Chilliwack",1,7,2,65,87,22,1,185,681
59005,"Chilliwack--Hope/Chilliwack--Hope"," 61","Chilliwack",1,7,1,48,64,11,1,133,583
59005,"Chilliwack--Hope/Chilliwack--Hope"," 62","Chilliwack",0,5,2,54,78,22,0,161,510
59005,"Chilliwack--Hope/Chilliwack--Hope"," 63","Chilliwack",0,3,3,53,113,28,1,201,499
59005,"Chilliwack--Hope/Chilliwack--Hope"," 64","Chilliwack",1,2,4,68,64,16,1,156,535
59005,"Chilliwack--Hope/Chilliwack--Hope"," 65","Chilliwack",0,4,3,70,97,21,2,197,566
59005,"Chilliwack--Hope/Chilliwack--Hope"," 66","Chilliwack",0,0,1,47,65,16,1,130,485
59005,"Chilliwack--Hope/Chilliwack--Hope"," 67","Chilliwack",3,1,1,61,86,7,0,159,507
59005,"Chilliwack--Hope/Chilliwack--Hope"," 68","Chilliwack",1,5,2,43,87,20,2,160,539
59005,"Chilliwack--Hope/Chilliwack--Hope"," 69","Chilliwack",1,3,1,60,121,11,0,197,531
59005,"Chilliwack--Hope/Chilliwack--Hope"," 70","Chilliwack",0,6,2,62,132,15,0,217,544
59005,"Chilliwack--Hope/Chilliwack--Hope"," 71","Chilliwack",0,3,2,63,89,13,1,171,534
59005,"Chilliwack--Hope/Chilliwack--Hope"," 72","Chilliwack",1,3,1,63,139,20,0,227,567
59005,"Chilliwack--Hope/Chilliwack--Hope"," 73A","Chilliwack",2,0,4,68,97,16,1,188,521
59005,"Chilliwack--Hope/Chilliwack--Hope"," 73B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,2
59005,"Chilliwack--Hope/Chilliwack--Hope"," 73C","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°515,,,,,,,,20
59005,"Chilliwack--Hope/Chilliwack--Hope"," 74","Chilliwack",0,2,1,30,104,5,0,142,457
59005,"Chilliwack--Hope/Chilliwack--Hope"," 75","Chilliwack",0,2,0,17,138,5,0,162,411
59005,"Chilliwack--Hope/Chilliwack--Hope"," 76","Chilliwack",0,0,0,20,124,1,0,145,403
59005,"Chilliwack--Hope/Chilliwack--Hope"," 76-1","Schelowat 1",Combined with No./Résultats combinés à ceux du n°79,,,,,,,,1
59005,"Chilliwack--Hope/Chilliwack--Hope"," 77","Cheam 1",0,1,3,30,104,4,0,142,514
59005,"Chilliwack--Hope/Chilliwack--Hope"," 77-1","Cheam 1",1,3,0,23,12,15,0,54,179
59005,"Chilliwack--Hope/Chilliwack--Hope"," 78","Popkum 1",0,2,1,26,91,4,0,124,438
59005,"Chilliwack--Hope/Chilliwack--Hope"," 78-1","Popkum 1",Combined with No./Résultats combinés à ceux du n°79,,,,,,,,3
59005,"Chilliwack--Hope/Chilliwack--Hope"," 79","Chilliwack",1,2,0,24,78,4,0,109,383
59005,"Chilliwack--Hope/Chilliwack--Hope"," 80","Chilliwack",0,1,1,28,106,3,0,139,477
59005,"Chilliwack--Hope/Chilliwack--Hope"," 81","Chilliwack",0,2,2,33,100,7,1,145,447
59005,"Chilliwack--Hope/Chilliwack--Hope"," 82A","Skowkale",0,0,0,65,58,14,0,137,490
59005,"Chilliwack--Hope/Chilliwack--Hope"," 82B","Skowkale",0,1,0,45,41,10,0,97,415
