Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Laurie Baird,Reggie Goldsbury,Kallee Lins,Steven Maffioli,Rob Morrison,James Wiedrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 1A","Edgewater",3,44,18,0,97,1,0,163,255
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 1B","Edgewater",0,27,16,7,94,2,0,146,317
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 2","Edgewater",1,50,17,2,95,1,3,169,333
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 3","Athalmer--Wilmer",1,43,9,1,83,2,1,140,325
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 4","Athalmer--Wilmer",0,21,13,1,51,1,1,88,292
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 5","Athalmer--Wilmer",0,18,7,2,41,0,0,68,223
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 6","Invermere",0,51,23,2,54,2,0,132,423
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 7","Invermere",1,56,21,3,66,3,0,150,424
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 8","Invermere",0,39,11,1,65,2,0,118,421
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 9","Invermere",0,37,17,6,80,4,0,144,471
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 10","Invermere",1,39,9,0,75,0,0,124,424
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 11","Invermere",0,50,18,4,87,2,0,161,477
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 12","Panorama",2,39,21,1,76,0,0,139,484
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 13","Invermere",1,33,20,7,65,1,0,127,374
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 14","Meadow Creek",2,46,72,16,100,2,2,240,442
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 15A","Radium Hot Springs",1,37,10,0,45,5,0,98,284
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 15B","Radium Hot Springs",0,30,11,1,69,1,0,112,308
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 16","Radium Hot Springs",3,58,16,3,94,3,0,177,496
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 17","Windermere",1,32,1,1,88,1,0,124,361
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 18","Windermere",3,33,9,4,95,3,1,148,339
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 19","Windermere",1,53,27,3,88,3,0,175,267
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 20","Windermere",Combined with No./Résultats combinés à ceux du n°19,,,,,,,,129
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 21","Fairmont",0,73,12,1,167,8,0,261,487
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 22A","Fairmont Hot Springs",0,51,15,1,78,1,1,147,271
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 22B","Fairmont Hot Springs",0,47,5,2,92,2,0,148,292
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 23","Canal Flats",0,43,13,1,186,1,0,244,401
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 24","Canal Flats",2,30,12,3,178,0,1,226,376
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 25","Shutty Bench",0,30,34,3,55,0,0,122,395
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 26","Mirror Lake",1,24,43,2,82,7,1,160,498
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 27","Kaslo",2,31,46,7,33,0,0,119,442
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 28","Kaslo",1,26,44,3,40,3,0,117,371
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 29","Riondel",1,26,22,3,48,0,1,101,269
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 30","Willow Point",1,55,34,3,61,3,0,157,366
59007,"Columbia--Kootenay--Southern Rockies/Columbia--Kootenay--Southern Rockies"," 31","Balfour",4,43,44,6,89,8,0,194,335
