Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Iain Black,Lewis Clarke Dahlby,Laura Dupont,Michael Peter Glenister,Ron McKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 1","Coquitlam",62,1,9,0,41,0,113,339
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 2A","Coquitlam",79,1,8,1,50,0,139,348
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 2B","Coquitlam",42,1,9,0,42,0,94,308
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 3","Coquitlam",75,5,5,1,36,0,122,479
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 4A","Coquitlam",42,4,3,0,32,0,81,353
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 4B","Coquitlam",44,1,3,1,21,0,70,260
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 5A","Coquitlam",55,0,0,0,41,0,96,402
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 5B","Coquitlam",32,1,3,1,26,0,63,242
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 6","Coquitlam",81,5,5,0,67,0,158,496
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 7A","Coquitlam",37,0,7,0,33,0,77,285
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 7B","Coquitlam",43,1,3,0,35,1,83,266
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 8","Coquitlam",81,1,7,0,66,0,155,442
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 9","Coquitlam",36,0,4,0,32,0,72,266
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 10","Coquitlam",63,2,4,0,46,0,115,383
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 11","Coquitlam",68,3,4,0,75,0,150,360
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 12","Coquitlam",48,1,2,0,21,0,72,253
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 13","Coquitlam",69,0,5,1,39,1,115,379
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 14","Coquitlam",55,0,6,2,39,0,102,425
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 15","Coquitlam",70,1,0,0,46,0,117,380
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 16","Coquitlam",45,5,3,1,47,1,102,401
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 17","Coquitlam",59,4,6,3,50,0,122,480
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 18","Coquitlam",31,5,3,0,21,0,60,320
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 19","Coquitlam",38,3,1,0,25,0,67,371
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 20","Coquitlam",67,3,10,1,60,0,141,461
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 21","Coquitlam",78,4,13,1,88,0,184,455
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 22A","Coquitlam",32,4,8,0,57,0,101,306
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 22B","Coquitlam",42,1,7,1,37,0,88,227
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 23","Coquitlam",48,2,9,0,41,0,100,431
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 24","Coquitlam",47,2,8,0,55,0,112,450
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 25","Coquitlam",65,5,3,0,29,0,102,442
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 26","Coquitlam",68,4,11,0,82,0,165,487
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 27","Coquitlam",66,4,5,1,44,2,122,418
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 28","Coquitlam",51,0,5,0,39,1,96,369
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 29","Coquitlam",51,5,13,0,57,1,127,469
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 30A","Coquitlam",46,2,8,0,43,0,99,283
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 30B","Coquitlam",33,3,3,1,22,1,63,221
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 31A","Coquitlam",25,1,11,0,31,0,68,289
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 31B","Coquitlam",25,5,2,0,30,1,63,261
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 32","Coquitlam",55,6,12,2,37,0,112,343
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 33","Coquitlam",76,3,10,4,54,1,148,460
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 34","Coquitlam",86,2,20,1,114,1,224,411
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 35","Coquitlam",100,3,22,2,57,0,184,372
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 36","Coquitlam",71,4,11,3,88,0,177,365
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 37A","Coquitlam",26,2,5,1,32,0,66,286
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 37B","Coquitlam",21,1,4,0,32,0,58,230
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 38A","Coquitlam",45,0,12,1,32,0,90,276
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 38B","Coquitlam",39,1,10,3,28,0,81,245
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 39A","Coquitlam",49,2,9,1,23,0,84,269
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 39B","Coquitlam",27,3,0,1,33,0,64,264
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 40","Coquitlam",65,0,5,0,65,0,135,398
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 41A","Coquitlam",59,1,3,1,35,0,99,312
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 41B","Coquitlam",74,1,7,0,38,0,120,286
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 42","Coquitlam",85,1,5,0,51,0,142,452
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 43","Coquitlam",89,4,6,0,60,1,160,502
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 44","Coquitlam",89,5,12,2,76,0,184,497
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 45","Coquitlam",131,2,7,4,75,1,220,528
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 46","Coquitlam",41,5,14,1,37,1,99,406
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 47","Coquitlam",32,1,8,1,31,1,74,212
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 48","Coquitlam",42,1,9,2,59,0,113,424
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 49A","Coquitlam",22,2,6,0,31,0,61,279
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 49B","Coquitlam",24,0,5,0,17,1,47,260
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 50A","Coquitlam",44,0,12,1,37,1,95,306
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 50B","Coquitlam",41,1,5,1,38,0,86,274
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 51A","Coquitlam",25,2,10,0,28,0,65,353
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 51B","Coquitlam",22,0,1,0,18,1,42,239
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 52A","Coquitlam",32,1,4,2,20,0,59,321
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 52B","Coquitlam",27,2,0,1,31,0,61,269
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 53","Coquitlam",55,3,12,0,74,1,145,408
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 54","Coquitlam",70,7,14,0,62,0,153,451
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 55","Coquitlam",53,3,22,0,75,0,153,395
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 56","Coquitlam",78,5,22,2,61,0,168,432
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 57","Coquitlam",75,0,12,2,92,1,182,522
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 58A","Coquitlam",59,4,5,1,56,2,127,397
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 58B","Coquitlam",36,5,3,2,43,2,91,345
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 59A","Coquitlam",25,2,3,1,30,0,61,299
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam"," 59B","Coquitlam",29,1,10,0,12,0,52,221
