Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Param Bhatti,Grant Cool,Robert Crooks,Ben Homer-Dixon,Stephanie McLean,David Schaafsma,Maja Tait,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 1","Port Renfrew",0,18,0,2,31,0,9,0,60,121
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 2","Shirley",0,112,0,5,89,1,79,2,288,489
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 3","Juan de Fuca (Part 1)",0,50,0,9,99,1,24,0,183,478
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 4","Saanich",0,51,0,5,58,0,17,0,131,419
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 5","Saanich",0,27,2,2,26,0,7,0,64,181
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 6","Saanich",0,47,0,8,71,1,16,1,144,438
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 7","Saanich",1,68,0,8,76,1,20,0,174,538
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 8","Saanich",0,57,1,10,91,0,27,0,186,572
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 9","Sooke",0,103,0,6,91,0,49,0,249,707
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 10","Sooke",0,72,0,8,40,0,43,0,163,575
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 11","Sooke",0,73,1,3,85,1,40,0,203,622
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 12","Sooke",0,89,1,2,125,0,66,0,283,804
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 13","Sooke",0,132,0,3,102,0,55,2,294,950
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 14","Sooke",0,66,0,4,57,0,30,0,157,524
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 15","Sooke",0,74,1,1,78,0,38,0,192,535
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 16","Sooke",1,91,1,3,92,0,57,1,246,785
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 17","Sooke",0,35,0,6,64,0,28,1,134,472
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 18","Sooke",0,57,1,1,51,0,21,0,131,456
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 19","View Royal",0,79,0,2,134,1,41,0,257,718
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 20","Saanich",0,79,0,8,145,0,62,0,294,741
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 21","View Royal",2,59,0,4,84,1,31,0,181,425
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 22","View Royal",2,68,0,7,112,0,52,0,241,677
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 23","Juan de Fuca",0,144,0,5,88,0,65,0,302,696
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 24","Juan de Fuca",0,70,3,4,84,0,38,0,199,447
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 25","Otter Point",1,70,1,2,59,0,35,1,169,423
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 26","Otter Point",0,47,0,4,47,0,28,1,127,345
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 27","Saanich",0,74,1,23,213,1,56,0,368,739
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 28","Saanich",0,62,0,8,107,0,29,0,206,451
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 29","Saanich",0,61,0,7,88,0,46,0,202,525
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 30","Saanich",0,83,0,12,116,0,46,2,259,606
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 31","Saanich",0,61,0,11,92,1,22,0,187,498
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 32","Saanich",2,70,0,10,100,1,38,0,221,699
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 33","Saanich",0,48,0,3,97,1,19,0,168,474
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 34","Saanich",0,39,0,2,81,0,24,0,146,438
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 35","Saanich",0,46,0,5,53,0,31,0,135,536
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 36","Saanich",0,27,0,4,57,0,16,0,104,330
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 37","Saanich",2,47,0,6,67,0,26,0,148,402
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 38","Saanich",0,52,0,8,63,1,18,1,143,479
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 39","Saanich",0,71,1,9,91,1,25,1,199,465
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 40","Saanich",1,80,0,10,91,1,36,0,219,482
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 41","Saanich",0,50,0,3,54,0,39,0,146,374
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 42","Saanich",0,51,0,8,90,0,35,2,186,319
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 43","Saanich",1,57,1,7,117,0,34,2,219,445
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 44","Saanich",4,56,0,4,46,0,23,1,134,414
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 45","Saanich",0,51,2,11,66,0,37,2,169,378
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 46","Saanich",0,36,0,10,74,0,14,2,136,362
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 47","Saanich",3,52,2,5,94,1,30,0,187,404
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 48","Saanich",1,62,0,13,98,1,44,3,222,456
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 49","View Royal",0,49,0,2,45,1,19,1,117,405
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 50","View Royal",0,59,0,4,111,1,17,0,192,466
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 51","View Royal",3,39,0,3,67,0,57,1,170,510
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 52","View Royal",0,54,0,5,77,3,32,0,171,443
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 53","View Royal",0,37,0,4,94,1,33,0,169,418
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 54","View Royal",0,30,0,4,100,1,24,0,159,412
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 55","View Royal",0,50,0,10,100,0,35,0,195,432
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 56","View Royal",0,38,1,4,99,0,20,1,163,378
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 57","View Royal",1,50,0,11,116,1,59,1,239,612
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 58","Colwood",1,74,0,4,64,0,32,0,175,397
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 59","Colwood",0,64,0,8,98,2,45,0,217,472
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 60","Colwood",0,51,1,5,67,0,21,2,147,380
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 61","Colwood",0,70,0,6,82,4,27,0,189,414
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 62","Colwood",0,64,0,2,83,3,45,0,197,449
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 63","Colwood",0,70,1,3,64,1,22,0,161,448
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 64","Colwood",0,46,0,4,66,0,18,0,134,349
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 65","Colwood",1,96,0,6,96,2,24,0,225,649
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 66","View Royal",0,83,0,8,145,1,49,1,287,831
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 67","View Royal",0,56,0,3,120,3,48,0,230,701
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 68","View Royal",0,52,0,5,84,2,25,0,168,563
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 69","Colwood",0,59,1,3,62,1,43,0,169,509
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 70","Colwood",3,46,0,8,66,0,32,0,155,523
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 71","Colwood",1,98,1,0,56,1,24,0,181,453
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 72","Colwood",0,48,0,6,39,0,21,1,115,399
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 73","Saanich",0,32,0,8,56,0,36,0,132,402
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 74","Saanich",0,53,0,10,72,0,37,2,174,417
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 75","Saanich",0,40,1,10,81,0,23,0,155,384
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 76","Saanich",0,33,0,5,71,1,34,0,144,379
59012,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 77","Saanich",0,50,2,5,65,2,26,0,150,450
