Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Aaron Gunn,Tanille Johnston,Jennifer Lash,Paul Macknight,Glen Staples,Jessica Wegg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59021,"North Island--Powell River/North Island--Powell River"," 1","Dawsons Landing",1,0,1,0,0,0,0,2,3
59021,"North Island--Powell River/North Island--Powell River"," 2","Katit 1",2,6,7,0,0,0,0,15,39
59021,"North Island--Powell River/North Island--Powell River"," 3","Holberg",11,1,4,1,1,1,0,19,26
59021,"North Island--Powell River/North Island--Powell River"," 4","Port Hardy",55,59,19,0,0,3,0,136,366
59021,"North Island--Powell River/North Island--Powell River"," 4-1","Hope Island 1",Void/Supprimé,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 5","Port Hardy",65,56,29,0,0,4,0,154,423
59021,"North Island--Powell River/North Island--Powell River"," 6","Port Hardy",51,56,26,0,1,0,3,137,470
59021,"North Island--Powell River/North Island--Powell River"," 7","Port Hardy",38,33,17,1,1,1,0,91,378
59021,"North Island--Powell River/North Island--Powell River"," 8","Coal Harbour",22,16,8,0,0,2,0,48,158
59021,"North Island--Powell River/North Island--Powell River"," 9","Port Hardy",55,62,24,1,0,5,0,147,439
59021,"North Island--Powell River/North Island--Powell River"," 10","Port Hardy",38,43,16,0,0,1,0,98,263
59021,"North Island--Powell River/North Island--Powell River"," 11","Quaee 7",2,31,0,0,0,1,0,34,48
59021,"North Island--Powell River/North Island--Powell River"," 11-1","Hopetown 10A",Combined with No./Résultats combinés à ceux du n°11,,,,,,,,0
59021,"North Island--Powell River/North Island--Powell River"," 12","Tsulquate 4",4,100,0,2,0,0,3,109,211
59021,"North Island--Powell River/North Island--Powell River"," 13","Port Hardy",55,53,13,2,1,6,0,130,439
59021,"North Island--Powell River/North Island--Powell River"," 14","Quatsino Subdivision 18",6,92,3,0,0,1,0,102,179
59021,"North Island--Powell River/North Island--Powell River"," 15","Kippase 2--Fort Rupert 1",9,88,6,1,0,1,0,105,233
59021,"North Island--Powell River/North Island--Powell River"," 16","Port Hardy",69,56,42,1,0,3,0,171,497
59021,"North Island--Powell River/North Island--Powell River"," 17","Quatsino",5,1,4,0,0,1,0,11,29
59021,"North Island--Powell River/North Island--Powell River"," 18","Winter Harbour",7,2,8,0,0,0,0,17,25
59021,"North Island--Powell River/North Island--Powell River"," 19","Minstrel Island",4,1,0,2,0,1,0,8,8
59021,"North Island--Powell River/North Island--Powell River"," 19-1","Dead Point 5",Void/Supprimé,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 19-2","Minstrel Island",Void/Supprimé,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 19-3","Thompson Sound",Void/Supprimé,,,,,,,,
59021,"North Island--Powell River/North Island--Powell River"," 20","Sointula",34,95,102,0,1,7,2,241,323
59021,"North Island--Powell River/North Island--Powell River"," 21","Sointula",46,87,80,1,0,7,0,221,329
59021,"North Island--Powell River/North Island--Powell River"," 22","Port Alice",94,40,55,0,0,2,1,192,318
59021,"North Island--Powell River/North Island--Powell River"," 23","Port Alice",124,43,42,3,0,5,0,217,359
59021,"North Island--Powell River/North Island--Powell River"," 24","Port McNeill",3,165,8,2,0,1,2,181,419
59021,"North Island--Powell River/North Island--Powell River"," 25","Alert Bay",27,140,26,1,0,7,0,201,462
59021,"North Island--Powell River/North Island--Powell River"," 26","Gwayasdums 1",0,9,1,0,0,0,0,10,13
