Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Oliver King,Andrew Robinson,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 1","North Vancouver",0,11,66,0,5,100,0,182,485
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 2","North Vancouver",0,5,67,1,3,100,0,176,447
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 3","North Vancouver",0,3,60,1,3,124,0,191,499
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 4","North Vancouver",5,1,66,1,1,88,0,162,353
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 5","North Vancouver",1,6,78,0,1,104,0,190,534
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 6","North Vancouver",2,6,65,1,8,93,0,175,387
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 7","North Vancouver",0,8,87,0,5,127,0,227,497
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 8","North Vancouver",0,0,84,1,4,98,2,189,440
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 9","North Vancouver",0,2,105,0,3,137,0,247,514
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 10","North Vancouver",0,4,51,1,1,111,0,168,544
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 11","North Vancouver",1,3,51,0,1,51,0,107,376
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 12","North Vancouver",0,2,62,0,4,77,0,145,432
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 13","West Vancouver",0,4,55,0,1,41,0,101,350
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 14","West Vancouver",0,1,51,0,1,61,2,116,461
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 15","West Vancouver",1,2,82,1,5,67,2,160,503
