Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Mary Forbes,Cory Grizz Longley,Peter Njenga,David Watson,Bob Zimmer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 1","Toad River",Combined with No./Résultats combinés à ceux du n°2,,,,,,,48
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 2","Fort Nelson",5,6,17,5,143,0,176,530
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 3A","Fort Nelson",0,6,16,3,152,0,177,533
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 3B","Fort Nelson",0,1,1,0,10,0,12,10
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 4","Northern Rockies",5,5,21,0,138,0,169,521
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 5","Northern Rockies",2,7,20,4,129,2,164,537
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 6","Fort Nelson",1,5,14,2,95,0,117,404
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 7","Fort Nelson",1,6,18,1,79,0,105,312
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 8","Fort Nelson 2",2,2,28,0,33,0,65,210
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 9","Fort Ware 1",2,4,20,1,9,0,36,221
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 10","Prophet River",3,2,5,1,21,0,32,62
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 10-1","Fontas 1",Void/Supprimé,,,,,,,
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 11","Finlay River 6",7,3,9,6,17,0,42,146
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 12","Pink Mountain",0,1,0,2,31,0,34,51
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 13","Buick",0,3,5,2,146,0,156,234
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 13-1","Blueberry River 205",Combined with No./Résultats combinés à ceux du n°13,,,,,,,63
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 14","Rose Prairie",2,1,12,0,87,0,102,228
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 14-1","Doig River 206",Combined with No./Résultats combinés à ceux du n°14,,,,,,,62
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 15","Rose Prairie",1,2,13,3,257,1,277,508
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 16","Wonowon",0,0,9,0,61,0,70,116
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 17","Upper Halfway",1,10,9,0,32,1,53,401
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 17-1","Halfway River 168",Combined with No./Résultats combinés à ceux du n°17,,,,,,,81
59026,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies"," 18","Prespatou",0,1,3,2,257,5,268,299
