Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kerry-Lynne Findlay,Christine Kinnie,Ernie Klassen,Jureun Park,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 1","Surrey",109,5,110,4,2,230,481
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 2","Surrey",108,3,146,9,0,266,543
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 3","Surrey",88,1,115,4,0,208,507
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 4","Surrey",119,3,111,5,0,238,492
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 5","Surrey",64,2,44,4,1,115,409
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 6","Surrey",62,5,75,5,0,147,484
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 7","Surrey",94,2,71,3,0,170,397
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 8","Surrey",81,1,95,10,0,187,499
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 9","Surrey",32,1,45,1,0,79,394
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 10A","Surrey",73,1,52,4,2,132,369
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 10B","Surrey",80,2,52,3,0,137,379
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 11","Surrey",92,0,91,6,0,189,513
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 12","Surrey",75,2,56,6,1,140,495
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 13","Surrey",85,3,73,10,1,172,463
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 14","Surrey",79,0,94,4,0,177,496
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 15","Surrey",68,1,58,4,0,131,372
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 16","Surrey",94,0,71,2,0,167,494
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 17","Surrey",52,0,29,3,0,84,348
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 18","Surrey",95,3,90,5,0,193,451
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 19","Surrey",91,3,104,9,1,208,509
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 20","Surrey",111,2,107,5,0,225,467
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 21","Surrey",125,5,105,5,0,240,448
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 22","Surrey",88,8,112,12,1,221,521
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 23","Surrey",113,0,89,6,3,211,514
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 24","Surrey",106,1,97,6,0,210,481
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 25","Surrey",98,2,46,6,2,154,406
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 26","Surrey",121,4,77,3,2,207,530
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 27","Surrey",108,1,47,1,1,158,414
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 28","Surrey",79,1,65,2,2,149,504
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 29","Surrey",97,4,70,1,1,173,491
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 30","Surrey",89,1,43,1,0,134,527
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 31","Surrey",56,1,56,6,0,119,383
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 32","Surrey",64,0,69,4,1,138,471
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 33","Surrey",77,1,53,1,0,132,479
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 34","Surrey",51,0,32,5,0,88,465
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 35","Surrey",68,0,66,1,2,137,381
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 36","Surrey",75,3,55,1,0,134,419
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 37","Surrey",83,2,56,5,0,146,406
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 38","Surrey",78,1,90,4,0,173,550
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 39","Surrey",85,3,67,3,0,158,462
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 40","Surrey",77,1,80,8,0,166,488
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 41","Surrey",71,0,81,5,1,158,541
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 42","Surrey",57,1,70,7,3,138,438
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 43","Surrey",112,4,118,6,1,241,594
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 44","Surrey",74,1,95,4,2,176,505
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 45","Surrey",55,2,63,10,1,131,422
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 46","Surrey",121,3,84,3,0,211,546
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 47","Surrey",72,2,48,2,0,124,451
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 48","Surrey",104,1,105,1,0,211,413
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 49","Surrey",91,5,63,5,3,167,408
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 50","Surrey",113,4,137,0,1,255,534
59032,"South Surrey--White Rock/Surrey-Sud--White Rock"," 51","Surrey",104,1,112,2,2,221,394
