Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sukh Dhaliwal,Harjit Singh Gill,Raj Singh Toor,Salman Zafar,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59034,"Surrey Newton/Surrey Newton"," 1","Surrey",109,92,12,0,2,215,468
59034,"Surrey Newton/Surrey Newton"," 2","Surrey",87,71,6,1,0,165,396
59034,"Surrey Newton/Surrey Newton"," 3","Surrey",99,86,17,1,0,203,469
59034,"Surrey Newton/Surrey Newton"," 4","Surrey",76,63,12,1,2,154,482
59034,"Surrey Newton/Surrey Newton"," 5","Surrey",78,69,5,3,2,157,377
59034,"Surrey Newton/Surrey Newton"," 6","Surrey",102,83,5,0,0,190,373
59034,"Surrey Newton/Surrey Newton"," 7","Surrey",87,103,15,1,1,207,478
59034,"Surrey Newton/Surrey Newton"," 8","Surrey",76,53,6,0,2,137,487
59034,"Surrey Newton/Surrey Newton"," 9","Surrey",78,73,9,0,1,161,516
59034,"Surrey Newton/Surrey Newton"," 10","Surrey",86,70,10,2,1,169,520
59034,"Surrey Newton/Surrey Newton"," 11","Surrey",32,62,5,0,0,99,331
59034,"Surrey Newton/Surrey Newton"," 12","Surrey",40,52,3,0,1,96,314
59034,"Surrey Newton/Surrey Newton"," 13","Surrey",99,78,21,1,2,201,446
59034,"Surrey Newton/Surrey Newton"," 14","Surrey",49,47,6,0,8,110,368
59034,"Surrey Newton/Surrey Newton"," 15A","Surrey",74,114,16,0,2,206,483
59034,"Surrey Newton/Surrey Newton"," 15B","Surrey",77,68,6,0,3,154,466
59034,"Surrey Newton/Surrey Newton"," 16","Surrey",58,51,14,1,3,127,539
59034,"Surrey Newton/Surrey Newton"," 17","Surrey",61,44,13,1,0,119,407
59034,"Surrey Newton/Surrey Newton"," 18","Surrey",72,67,11,1,3,154,505
59034,"Surrey Newton/Surrey Newton"," 19","Surrey",49,66,6,0,0,121,446
59034,"Surrey Newton/Surrey Newton"," 20","Surrey",68,53,12,1,1,135,494
59034,"Surrey Newton/Surrey Newton"," 21","Surrey",62,47,16,0,0,125,416
59034,"Surrey Newton/Surrey Newton"," 22","Surrey",59,62,12,1,0,134,309
59034,"Surrey Newton/Surrey Newton"," 23","Surrey",93,62,13,0,4,172,503
59034,"Surrey Newton/Surrey Newton"," 24","Surrey",79,85,10,3,1,178,431
59034,"Surrey Newton/Surrey Newton"," 25","Surrey",74,42,4,1,2,123,345
59034,"Surrey Newton/Surrey Newton"," 26","Surrey",79,18,8,2,1,108,290
59034,"Surrey Newton/Surrey Newton"," 27","Surrey",55,66,7,0,0,128,467
59034,"Surrey Newton/Surrey Newton"," 28","Surrey",64,53,8,1,0,126,444
59034,"Surrey Newton/Surrey Newton"," 29","Surrey",23,36,6,0,0,65,294
59034,"Surrey Newton/Surrey Newton"," 30","Surrey",60,53,2,1,1,117,408
59034,"Surrey Newton/Surrey Newton"," 31","Surrey",38,39,17,2,2,98,443
59034,"Surrey Newton/Surrey Newton"," 32","Surrey",39,51,8,0,1,99,411
59034,"Surrey Newton/Surrey Newton"," 33","Surrey",53,42,0,1,0,96,332
59034,"Surrey Newton/Surrey Newton"," 34","Surrey",54,37,7,0,0,98,475
59034,"Surrey Newton/Surrey Newton"," 35","Surrey",65,99,5,0,0,169,516
59034,"Surrey Newton/Surrey Newton"," 36","Surrey",90,44,17,5,0,156,548
59034,"Surrey Newton/Surrey Newton"," 37","Surrey",83,75,4,1,1,164,388
59034,"Surrey Newton/Surrey Newton"," 38","Surrey",53,46,9,0,1,109,374
59034,"Surrey Newton/Surrey Newton"," 39","Surrey",75,27,8,0,0,110,338
59034,"Surrey Newton/Surrey Newton"," 40","Surrey",55,58,4,1,0,118,424
59034,"Surrey Newton/Surrey Newton"," 41","Surrey",62,48,7,1,1,119,333
59034,"Surrey Newton/Surrey Newton"," 42","Surrey",57,42,14,3,3,119,404
59034,"Surrey Newton/Surrey Newton"," 43","Surrey",92,33,7,2,2,136,386
59034,"Surrey Newton/Surrey Newton"," 44","Surrey",78,61,10,0,2,151,465
59034,"Surrey Newton/Surrey Newton"," 45","Surrey",62,60,7,1,1,131,320
59034,"Surrey Newton/Surrey Newton"," 46A","Surrey",55,72,13,1,2,143,394
59034,"Surrey Newton/Surrey Newton"," 46B","Surrey",49,38,9,1,3,100,265
59034,"Surrey Newton/Surrey Newton"," 47","Surrey",58,49,12,1,3,123,468
59034,"Surrey Newton/Surrey Newton"," 48","Surrey",118,74,14,0,1,207,523
59034,"Surrey Newton/Surrey Newton"," 49","Surrey",69,71,4,0,1,145,428
59034,"Surrey Newton/Surrey Newton"," 50","Surrey",37,45,8,2,0,92,408
59034,"Surrey Newton/Surrey Newton"," 51","Surrey",54,48,7,1,1,111,383
59034,"Surrey Newton/Surrey Newton"," 52","Surrey",66,47,20,2,1,136,463
59034,"Surrey Newton/Surrey Newton"," 53","Surrey",87,93,16,5,4,205,501
59034,"Surrey Newton/Surrey Newton"," 54","Surrey",85,62,20,0,1,168,425
59034,"Surrey Newton/Surrey Newton"," 55","Surrey",91,39,17,3,2,152,464
59034,"Surrey Newton/Surrey Newton"," 56","Surrey",59,45,18,2,0,124,471
59034,"Surrey Newton/Surrey Newton"," 57","Surrey",35,30,14,0,0,79,319
59034,"Surrey Newton/Surrey Newton"," 58","Surrey",60,72,6,3,1,142,419
59034,"Surrey Newton/Surrey Newton"," 59","Surrey",61,45,11,0,0,117,490
59034,"Surrey Newton/Surrey Newton"," 60","Surrey",66,67,8,0,2,143,507
59034,"Surrey Newton/Surrey Newton"," 61","Surrey",58,43,16,2,4,123,488
59034,"Surrey Newton/Surrey Newton"," 62","Surrey",54,60,9,0,1,124,438
59034,"Surrey Newton/Surrey Newton"," 63","Surrey",57,46,5,0,0,108,493
59034,"Surrey Newton/Surrey Newton"," 64","Surrey",85,89,12,0,2,188,589
59034,"Surrey Newton/Surrey Newton"," 65","Surrey",50,46,22,1,1,120,469
59034,"Surrey Newton/Surrey Newton"," 66","Surrey",65,65,5,0,2,137,483
59034,"Surrey Newton/Surrey Newton"," 67","Surrey",72,69,10,4,0,155,507
59034,"Surrey Newton/Surrey Newton"," 68","Surrey",34,60,8,0,1,103,355
59034,"Surrey Newton/Surrey Newton"," 69","Surrey",56,58,10,2,2,128,417
59034,"Surrey Newton/Surrey Newton"," 70","Surrey",75,64,11,1,0,151,583
59034,"Surrey Newton/Surrey Newton"," 71","Surrey",56,31,5,1,0,93,421
59034,"Surrey Newton/Surrey Newton"," 72","Surrey",79,116,4,1,0,200,514
59034,"Surrey Newton/Surrey Newton"," 73","Surrey",41,63,9,1,3,117,437
59034,"Surrey Newton/Surrey Newton"," 74","Surrey",63,75,4,1,1,144,477
59034,"Surrey Newton/Surrey Newton"," 75","Surrey",32,60,7,1,1,101,393
59034,"Surrey Newton/Surrey Newton"," 76","Surrey",60,56,1,0,0,117,366
59034,"Surrey Newton/Surrey Newton"," 77","Surrey",42,47,2,0,1,92,311
59034,"Surrey Newton/Surrey Newton"," 78","Surrey",58,64,8,2,3,135,340
59034,"Surrey Newton/Surrey Newton"," 79","Surrey",56,58,7,0,2,123,314
59034,"Surrey Newton/Surrey Newton"," 80","Surrey",41,47,2,2,2,94,403
59034,"Surrey Newton/Surrey Newton"," 81","Surrey",76,55,9,0,4,144,539
59034,"Surrey Newton/Surrey Newton"," 82","Surrey",48,52,4,1,4,109,358
59034,"Surrey Newton/Surrey Newton"," 83","Surrey",67,41,6,0,1,115,440
59034,"Surrey Newton/Surrey Newton"," 84","Surrey",65,64,4,0,1,134,486
59034,"Surrey Newton/Surrey Newton"," 85","Surrey",54,49,9,0,0,112,449
59034,"Surrey Newton/Surrey Newton"," 86","Surrey",68,57,10,1,3,139,489
59034,"Surrey Newton/Surrey Newton"," 87","Surrey",54,50,7,0,2,113,393
59034,"Surrey Newton/Surrey Newton"," 88","Surrey",67,57,14,1,0,139,514
59034,"Surrey Newton/Surrey Newton"," 89","Surrey",59,45,5,3,1,113,360
59034,"Surrey Newton/Surrey Newton"," 90","Surrey",82,95,4,0,1,182,541
59034,"Surrey Newton/Surrey Newton"," 91","Surrey",69,27,4,0,1,101,340
59034,"Surrey Newton/Surrey Newton"," 92","Surrey",63,44,6,0,0,113,486
59034,"Surrey Newton/Surrey Newton"," 93","Surrey",79,96,7,0,2,184,548
59034,"Surrey Newton/Surrey Newton"," 94","Surrey",80,34,2,0,0,116,374
59034,"Surrey Newton/Surrey Newton"," 95","Surrey",72,77,11,0,1,161,526
59034,"Surrey Newton/Surrey Newton"," 96","Surrey",54,27,0,0,1,82,379
59034,"Surrey Newton/Surrey Newton"," 97","Surrey",80,70,15,0,1,166,332
59034,"Surrey Newton/Surrey Newton"," 98","Surrey",53,63,8,5,1,130,373
59034,"Surrey Newton/Surrey Newton"," 99","Surrey",44,51,5,0,1,101,367
59034,"Surrey Newton/Surrey Newton"," 100","Surrey",62,77,13,2,1,155,359
59034,"Surrey Newton/Surrey Newton"," 101","Surrey",65,90,18,1,4,178,546
59034,"Surrey Newton/Surrey Newton"," 102","Surrey",64,76,4,1,0,145,391
59034,"Surrey Newton/Surrey Newton"," 103","Surrey",58,52,14,0,0,124,450
59034,"Surrey Newton/Surrey Newton"," 104","Surrey",54,47,4,0,1,106,330
59034,"Surrey Newton/Surrey Newton"," 105A","Surrey",74,50,11,0,0,135,349
59034,"Surrey Newton/Surrey Newton"," 105B","Surrey",59,36,10,0,1,106,293
59034,"Surrey Newton/Surrey Newton"," 106","Surrey",85,93,12,3,2,195,548
59034,"Surrey Newton/Surrey Newton"," 107","Surrey",79,84,10,0,0,173,589
59034,"Surrey Newton/Surrey Newton"," 108","Surrey",68,44,10,2,0,124,390
59034,"Surrey Newton/Surrey Newton"," 109A","Surrey",66,35,11,0,0,112,324
59034,"Surrey Newton/Surrey Newton"," 109B","Surrey",50,39,3,0,1,93,329
59034,"Surrey Newton/Surrey Newton"," 110","Surrey",102,79,9,2,1,193,510
59034,"Surrey Newton/Surrey Newton"," 111","Surrey",63,60,9,2,1,135,425
59034,"Surrey Newton/Surrey Newton"," 112","Surrey",81,45,8,0,1,135,390
59034,"Surrey Newton/Surrey Newton"," 113","Surrey",57,45,2,0,0,104,354
59034,"Surrey Newton/Surrey Newton"," 114","Surrey",54,62,1,6,0,123,330
59034,"Surrey Newton/Surrey Newton"," 115A","Surrey",87,58,9,1,1,156,364
59034,"Surrey Newton/Surrey Newton"," 115B","Surrey",29,45,6,0,0,80,378
59034,"Surrey Newton/Surrey Newton"," 116","Surrey",66,86,13,2,0,167,559
