Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Manoj Bhangu,Alexander Dow,Avi Nayyar,Desiderio Magtanggol "Bonn" Reyes,Gregor Robertson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 1","Vancouver",10,5,43,1,68,1,128,409
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 2","Vancouver",25,2,72,2,72,0,173,427
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 3","Vancouver",17,0,32,4,67,1,121,423
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 4","Vancouver",8,2,50,2,72,2,136,386
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 5","Vancouver",12,0,45,4,46,0,107,358
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 6","Vancouver",5,1,36,2,50,1,95,384
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 7","Vancouver",17,2,44,1,59,0,123,406
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 8","Vancouver",8,1,41,0,55,0,105,400
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 9","Vancouver",15,0,22,1,94,0,132,446
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 10","Vancouver",18,0,51,4,60,0,133,552
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 11","Vancouver",10,3,45,2,69,0,129,402
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 12","Vancouver",7,2,43,0,77,1,130,406
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 13","Vancouver",9,3,59,0,87,0,158,405
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 14","Vancouver",10,1,38,2,62,2,115,438
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 15","Vancouver",7,1,42,1,50,0,101,388
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 16","Vancouver",4,1,53,2,53,2,115,377
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 17","Vancouver",14,1,41,0,60,1,117,479
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 18","Vancouver",19,1,54,0,43,1,118,438
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 19","Vancouver",9,2,47,0,61,3,122,444
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 20","Vancouver",9,1,33,1,43,3,90,359
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 21","Vancouver",10,0,42,0,58,0,110,418
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 22","Vancouver",10,1,18,4,30,1,64,331
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 23","Vancouver",8,1,41,2,59,0,111,440
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 24","Vancouver",4,1,49,0,67,3,124,481
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 25","Vancouver",7,0,31,0,18,0,56,384
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 26","Vancouver",4,0,14,0,24,0,42,424
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 27","Vancouver",3,1,23,0,48,0,75,395
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 28","Vancouver",14,0,50,1,58,1,124,503
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 29","Vancouver",17,0,27,0,38,0,82,342
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 30","Vancouver",8,0,29,0,25,0,62,372
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 31","Vancouver",10,2,44,3,45,0,104,434
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 32","Vancouver",9,3,60,0,45,1,118,473
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 33","Vancouver",7,6,44,2,48,0,107,444
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 34","Vancouver",15,1,41,2,35,0,94,419
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 35","Vancouver",5,2,50,0,32,0,89,387
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 36","Vancouver",14,3,38,5,33,1,94,429
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 37","Vancouver",11,0,25,1,19,1,57,406
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 38","Vancouver",1,3,39,0,33,1,77,388
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 39","Vancouver",9,0,41,0,44,0,94,411
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 40","Vancouver",7,1,45,1,38,3,95,410
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 41","Vancouver",9,0,48,1,75,0,133,460
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 42","Vancouver",20,0,42,1,43,1,107,402
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 43","Vancouver",6,2,51,1,45,0,105,392
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 44A","Vancouver",9,4,61,0,60,0,134,355
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 44B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°511,,,,,,,30
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 45","Vancouver",8,1,60,4,50,1,124,399
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 46","Vancouver",17,2,62,0,42,1,124,384
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 47","Vancouver",12,1,61,4,69,0,147,434
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 48","Vancouver",9,0,32,0,43,0,84,426
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 49","Vancouver",15,2,62,3,49,1,132,440
59037,"Vancouver Fraserview--South Burnaby/Vancouver Fraserview--Burnaby-Sud"," 50","Vancouver",11,2,45,2,44,1,105,414
