Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Jerry Kroll,Taleeb Noormohamed,Marie Rogers,Sukhi Singh Sahota,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59038,"Vancouver Granville/Vancouver Granville"," 1","Vancouver",4,125,73,10,0,212,581
59038,"Vancouver Granville/Vancouver Granville"," 2","Vancouver",2,87,48,4,0,141,407
59038,"Vancouver Granville/Vancouver Granville"," 3","Vancouver",5,76,27,13,0,121,388
59038,"Vancouver Granville/Vancouver Granville"," 4","Vancouver",1,119,56,22,0,198,573
59038,"Vancouver Granville/Vancouver Granville"," 5","Vancouver",7,82,37,17,0,143,470
59038,"Vancouver Granville/Vancouver Granville"," 6","Vancouver",2,77,32,8,0,119,390
59038,"Vancouver Granville/Vancouver Granville"," 7","Vancouver",5,105,47,19,0,176,597
59038,"Vancouver Granville/Vancouver Granville"," 8","Vancouver",4,102,43,12,0,161,510
59038,"Vancouver Granville/Vancouver Granville"," 9","Vancouver",3,81,47,11,0,142,516
59038,"Vancouver Granville/Vancouver Granville"," 10","Vancouver",1,95,52,5,1,154,511
59038,"Vancouver Granville/Vancouver Granville"," 11","Vancouver",5,111,40,15,1,172,491
59038,"Vancouver Granville/Vancouver Granville"," 12","Vancouver",5,106,40,16,0,167,433
59038,"Vancouver Granville/Vancouver Granville"," 13","Vancouver",2,39,19,10,0,70,456
59038,"Vancouver Granville/Vancouver Granville"," 14","Vancouver",4,93,34,4,1,136,490
59038,"Vancouver Granville/Vancouver Granville"," 15","Vancouver",2,54,27,9,0,92,425
59038,"Vancouver Granville/Vancouver Granville"," 16","Vancouver",5,67,31,7,0,110,457
59038,"Vancouver Granville/Vancouver Granville"," 17","Vancouver",4,87,48,9,0,148,453
59038,"Vancouver Granville/Vancouver Granville"," 18","Vancouver",3,110,45,17,0,175,578
59038,"Vancouver Granville/Vancouver Granville"," 19","Vancouver",0,65,43,15,1,124,482
59038,"Vancouver Granville/Vancouver Granville"," 20","Vancouver",1,106,60,9,0,176,508
59038,"Vancouver Granville/Vancouver Granville"," 21A","Vancouver",2,92,55,12,0,161,507
59038,"Vancouver Granville/Vancouver Granville"," 21B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°88B,,,,,,51
59038,"Vancouver Granville/Vancouver Granville"," 22","Vancouver",7,90,43,13,1,154,562
59038,"Vancouver Granville/Vancouver Granville"," 23","Vancouver",0,90,45,16,1,152,521
59038,"Vancouver Granville/Vancouver Granville"," 24","Vancouver",5,88,54,5,0,152,513
59038,"Vancouver Granville/Vancouver Granville"," 25","Vancouver",3,63,35,19,0,120,392
59038,"Vancouver Granville/Vancouver Granville"," 26","Vancouver",8,85,35,14,0,142,533
59038,"Vancouver Granville/Vancouver Granville"," 27","Vancouver",9,156,43,31,0,239,583
59038,"Vancouver Granville/Vancouver Granville"," 28","Vancouver",10,151,54,35,0,250,584
59038,"Vancouver Granville/Vancouver Granville"," 29","Vancouver",3,123,17,29,0,172,443
59038,"Vancouver Granville/Vancouver Granville"," 30","Vancouver",6,75,48,16,1,146,482
59038,"Vancouver Granville/Vancouver Granville"," 31","Vancouver",5,137,58,14,0,214,598
59038,"Vancouver Granville/Vancouver Granville"," 32","Vancouver",5,83,42,17,0,147,499
59038,"Vancouver Granville/Vancouver Granville"," 33","Vancouver",6,88,38,9,0,141,590
59038,"Vancouver Granville/Vancouver Granville"," 34","Vancouver",3,107,41,24,2,177,563
59038,"Vancouver Granville/Vancouver Granville"," 35","Vancouver",3,85,38,20,0,146,583
59038,"Vancouver Granville/Vancouver Granville"," 36","Vancouver",3,84,40,8,0,135,520
59038,"Vancouver Granville/Vancouver Granville"," 37","Vancouver",3,64,26,12,0,105,441
59038,"Vancouver Granville/Vancouver Granville"," 38","Vancouver",4,128,45,11,0,188,557
59038,"Vancouver Granville/Vancouver Granville"," 39","Vancouver",6,89,17,20,0,132,435
59038,"Vancouver Granville/Vancouver Granville"," 40","Vancouver",1,90,47,9,1,148,490
59038,"Vancouver Granville/Vancouver Granville"," 41","Vancouver",3,114,40,17,0,174,562
59038,"Vancouver Granville/Vancouver Granville"," 42","Vancouver",2,65,26,7,1,101,434
59038,"Vancouver Granville/Vancouver Granville"," 43","Vancouver",0,83,33,10,0,126,432
59038,"Vancouver Granville/Vancouver Granville"," 44","Vancouver",5,86,38,7,0,136,518
59038,"Vancouver Granville/Vancouver Granville"," 45","Vancouver",6,68,37,28,1,140,447
59038,"Vancouver Granville/Vancouver Granville"," 46","Vancouver",3,66,17,10,1,97,450
59038,"Vancouver Granville/Vancouver Granville"," 47","Vancouver",3,103,58,20,0,184,591
59038,"Vancouver Granville/Vancouver Granville"," 48","Vancouver",4,75,21,18,2,120,512
59038,"Vancouver Granville/Vancouver Granville"," 49","Vancouver",0,68,35,15,0,118,429
59038,"Vancouver Granville/Vancouver Granville"," 50","Vancouver",5,97,42,43,0,187,588
59038,"Vancouver Granville/Vancouver Granville"," 51","Vancouver",5,81,29,15,1,131,524
59038,"Vancouver Granville/Vancouver Granville"," 52","Vancouver",5,113,33,18,0,169,442
59038,"Vancouver Granville/Vancouver Granville"," 53","Vancouver",4,124,40,17,0,185,528
59038,"Vancouver Granville/Vancouver Granville"," 54","Vancouver",4,128,54,26,0,212,513
59038,"Vancouver Granville/Vancouver Granville"," 55","Vancouver",3,86,46,11,2,148,472
59038,"Vancouver Granville/Vancouver Granville"," 56","Vancouver",3,96,31,13,0,143,468
59038,"Vancouver Granville/Vancouver Granville"," 57","Vancouver",4,106,44,19,0,173,464
59038,"Vancouver Granville/Vancouver Granville"," 58","Vancouver",8,92,40,20,0,160,526
59038,"Vancouver Granville/Vancouver Granville"," 59","Vancouver",8,129,51,8,0,196,495
59038,"Vancouver Granville/Vancouver Granville"," 60","Vancouver",1,117,43,5,0,166,520
59038,"Vancouver Granville/Vancouver Granville"," 61","Vancouver",2,103,48,15,1,169,487
59038,"Vancouver Granville/Vancouver Granville"," 62","Vancouver",3,81,38,10,1,133,462
59038,"Vancouver Granville/Vancouver Granville"," 63","Vancouver",7,115,28,28,1,179,483
59038,"Vancouver Granville/Vancouver Granville"," 64","Vancouver",5,103,27,14,1,150,440
59038,"Vancouver Granville/Vancouver Granville"," 65","Vancouver",4,103,50,10,0,167,482
59038,"Vancouver Granville/Vancouver Granville"," 66","Vancouver",4,139,39,24,1,207,583
59038,"Vancouver Granville/Vancouver Granville"," 67","Vancouver",3,122,43,23,1,192,522
59038,"Vancouver Granville/Vancouver Granville"," 68","Vancouver",4,110,61,11,0,186,541
59038,"Vancouver Granville/Vancouver Granville"," 69","Vancouver",5,98,31,21,0,155,533
59038,"Vancouver Granville/Vancouver Granville"," 70","Vancouver",2,85,43,5,0,135,434
59038,"Vancouver Granville/Vancouver Granville"," 71","Vancouver",4,99,29,28,0,160,534
59038,"Vancouver Granville/Vancouver Granville"," 72","Vancouver",3,79,50,14,2,148,479
59038,"Vancouver Granville/Vancouver Granville"," 73","Vancouver",3,66,36,14,1,120,496
59038,"Vancouver Granville/Vancouver Granville"," 74","Vancouver",2,44,19,8,1,74,345
59038,"Vancouver Granville/Vancouver Granville"," 75","Vancouver",5,120,51,28,0,204,451
59038,"Vancouver Granville/Vancouver Granville"," 76","Vancouver",3,70,51,17,1,142,528
59038,"Vancouver Granville/Vancouver Granville"," 77","Vancouver",5,91,33,23,1,153,481
59038,"Vancouver Granville/Vancouver Granville"," 78","Vancouver",0,122,40,25,0,187,505
59038,"Vancouver Granville/Vancouver Granville"," 79","Vancouver",4,116,42,25,0,187,444
59038,"Vancouver Granville/Vancouver Granville"," 80","Vancouver",2,127,37,15,1,182,483
59038,"Vancouver Granville/Vancouver Granville"," 81","Vancouver",2,86,34,15,1,138,424
59038,"Vancouver Granville/Vancouver Granville"," 82","Vancouver",2,116,47,23,0,188,555
59038,"Vancouver Granville/Vancouver Granville"," 83","Vancouver",1,59,33,15,0,108,363
59038,"Vancouver Granville/Vancouver Granville"," 84","Vancouver",2,72,42,6,2,124,407
59038,"Vancouver Granville/Vancouver Granville"," 85","Vancouver",5,93,64,11,1,174,446
