Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ken Charko,Tom Digby,John Odan Ede,Alim Fakirani,Wade Grant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59040,"Vancouver Quadra/Vancouver Quadra"," 1A","Metro Vancouver A",16,2,1,22,59,0,100,469
59040,"Vancouver Quadra/Vancouver Quadra"," 1B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°502,,,,,,,103
59040,"Vancouver Quadra/Vancouver Quadra"," 2","Metro Vancouver A",31,1,1,8,85,2,128,673
59040,"Vancouver Quadra/Vancouver Quadra"," 3","Metro Vancouver A",22,3,0,13,83,0,121,531
59040,"Vancouver Quadra/Vancouver Quadra"," 4","Metro Vancouver A",50,2,1,8,72,1,134,571
59040,"Vancouver Quadra/Vancouver Quadra"," 5","Metro Vancouver A",42,4,0,2,47,1,96,506
59040,"Vancouver Quadra/Vancouver Quadra"," 6","Metro Vancouver A",35,6,0,3,49,0,93,418
59040,"Vancouver Quadra/Vancouver Quadra"," 7","Metro Vancouver A",42,4,2,13,86,0,147,560
59040,"Vancouver Quadra/Vancouver Quadra"," 8","Metro Vancouver A",39,1,0,11,59,0,110,486
59040,"Vancouver Quadra/Vancouver Quadra"," 9","Metro Vancouver A",49,7,2,25,95,1,179,627
59040,"Vancouver Quadra/Vancouver Quadra"," 10","Metro Vancouver A",45,3,1,11,73,1,134,567
59040,"Vancouver Quadra/Vancouver Quadra"," 11","Vancouver",58,1,0,0,54,0,113,423
59040,"Vancouver Quadra/Vancouver Quadra"," 12","Vancouver",31,2,0,1,67,0,101,442
59040,"Vancouver Quadra/Vancouver Quadra"," 13","Vancouver",44,4,1,12,87,2,150,605
59040,"Vancouver Quadra/Vancouver Quadra"," 14","Vancouver",48,1,0,5,62,1,117,573
59040,"Vancouver Quadra/Vancouver Quadra"," 15","Vancouver",45,5,1,12,97,2,162,573
59040,"Vancouver Quadra/Vancouver Quadra"," 16","Vancouver",51,5,3,8,112,1,180,601
59040,"Vancouver Quadra/Vancouver Quadra"," 17","Vancouver",33,11,0,14,139,2,199,587
59040,"Vancouver Quadra/Vancouver Quadra"," 18","Metro Vancouver A",35,2,0,3,48,0,88,435
59040,"Vancouver Quadra/Vancouver Quadra"," 19","Vancouver",52,3,0,5,75,0,135,545
59040,"Vancouver Quadra/Vancouver Quadra"," 20","Vancouver",41,8,3,12,81,0,145,601
59040,"Vancouver Quadra/Vancouver Quadra"," 21","Vancouver",29,6,1,15,76,1,128,481
59040,"Vancouver Quadra/Vancouver Quadra"," 22","Vancouver",63,0,0,12,104,0,179,545
59040,"Vancouver Quadra/Vancouver Quadra"," 23","Vancouver",29,1,2,16,127,2,177,546
59040,"Vancouver Quadra/Vancouver Quadra"," 24","Vancouver",47,4,1,11,116,0,179,550
59040,"Vancouver Quadra/Vancouver Quadra"," 25","Vancouver",48,2,0,8,110,0,168,530
59040,"Vancouver Quadra/Vancouver Quadra"," 26","Vancouver",30,10,0,10,100,0,150,512
59040,"Vancouver Quadra/Vancouver Quadra"," 27","Vancouver",39,3,1,14,99,0,156,496
59040,"Vancouver Quadra/Vancouver Quadra"," 28","Vancouver",34,7,0,8,77,0,126,489
59040,"Vancouver Quadra/Vancouver Quadra"," 29","Vancouver",Combined with No./Résultats combinés à ceux du n°62,,,,,,,238
59040,"Vancouver Quadra/Vancouver Quadra"," 30","Vancouver",31,2,0,8,77,0,118,526
59040,"Vancouver Quadra/Vancouver Quadra"," 31","Vancouver",30,6,0,8,61,1,106,453
59040,"Vancouver Quadra/Vancouver Quadra"," 32","Vancouver",25,3,0,8,54,0,90,486
59040,"Vancouver Quadra/Vancouver Quadra"," 33","Vancouver",44,10,0,15,105,0,174,501
59040,"Vancouver Quadra/Vancouver Quadra"," 34","Vancouver",44,5,1,9,118,1,178,574
59040,"Vancouver Quadra/Vancouver Quadra"," 35","Vancouver",43,3,2,7,61,1,117,533
