Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Gabrielle Dupont,Brendan Hanley,Ryan Leef,Katherine McCallum,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 1","Old Crow",3,44,15,11,1,74,170
60001,"Yukon/Yukon"," 2A","Dawson",9,96,76,21,2,204,185
60001,"Yukon/Yukon"," 2B","Dawson",7,77,78,23,0,185,146
60001,"Yukon/Yukon"," 2C","Dawson",6,85,86,15,0,192,140
60001,"Yukon/Yukon"," 2-1","Eagle Plains",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 3A","Dawson",Combined with No./Résultats combinés à ceux du n°2A,,,,,,151
60001,"Yukon/Yukon"," 3B","Dawson",Combined with No./Résultats combinés à ceux du n°2B,,,,,,148
60001,"Yukon/Yukon"," 3C","Dawson",Combined with No./Résultats combinés à ceux du n°2C,,,,,,123
60001,"Yukon/Yukon"," 3-1A","Dawson",Combined with No./Résultats combinés à ceux du n°2A,,,,,,37
60001,"Yukon/Yukon"," 3-1B","Dawson",Combined with No./Résultats combinés à ceux du n°2B,,,,,,41
60001,"Yukon/Yukon"," 3-1C","Dawson",Combined with No./Résultats combinés à ceux du n°2C,,,,,,44
60001,"Yukon/Yukon"," 4A","Dawson",Combined with No./Résultats combinés à ceux du n°2A,,,,,,140
60001,"Yukon/Yukon"," 4B","Dawson",Combined with No./Résultats combinés à ceux du n°2B,,,,,,115
60001,"Yukon/Yukon"," 4C","Dawson",Combined with No./Résultats combinés à ceux du n°2C,,,,,,144
60001,"Yukon/Yukon"," 5A","Dawson",Combined with No./Résultats combinés à ceux du n°2A,,,,,,108
60001,"Yukon/Yukon"," 5B","Dawson",Combined with No./Résultats combinés à ceux du n°2B,,,,,,102
60001,"Yukon/Yukon"," 5C","Dawson",Combined with No./Résultats combinés à ceux du n°2C,,,,,,73
60001,"Yukon/Yukon"," 6","Mayo",5,67,62,17,0,151,191
60001,"Yukon/Yukon"," 6-1","Mayo",Combined with No./Résultats combinés à ceux du n°6,,,,,,169
60001,"Yukon/Yukon"," 6-2","Keno Hill",Combined with No./Résultats combinés à ceux du n°6,,,,,,12
60001,"Yukon/Yukon"," 6-3","Steward Crossing",Combined with No./Résultats combinés à ceux du n°6,,,,,,5
60001,"Yukon/Yukon"," 7","Beaver Creek",2,8,5,7,0,22,67
60001,"Yukon/Yukon"," 8","Pelly Crossing",1,53,18,13,0,85,256
60001,"Yukon/Yukon"," 9","Faro",2,37,98,7,0,144,331
60001,"Yukon/Yukon"," 10","Ross River",3,50,32,4,1,90,296
60001,"Yukon/Yukon"," 11","Carmacks",7,87,71,15,0,180,390
60001,"Yukon/Yukon"," 12","Destruction Bay",Combined with No./Résultats combinés à ceux du n°12-1,,,,,,67
60001,"Yukon/Yukon"," 12-1","Burwash Landing",0,20,28,6,0,54,57
60001,"Yukon/Yukon"," 13","Haines Junction",5,85,53,9,3,155,362
60001,"Yukon/Yukon"," 14","Haines Junction",2,62,87,15,0,166,415
60001,"Yukon/Yukon"," 15","Mount Lorne",6,91,75,25,0,197,356
60001,"Yukon/Yukon"," 16","Marsh Lake",12,83,122,15,0,232,569
60001,"Yukon/Yukon"," 17","Carcross",13,65,59,21,2,160,367
60001,"Yukon/Yukon"," 18","Tagish",1,37,51,14,2,105,300
60001,"Yukon/Yukon"," 19","Teslin",Combined with No./Résultats combinés à ceux du n°19-3,,,,,,69
60001,"Yukon/Yukon"," 19-1","Johnsons Crossing",Combined with No./Résultats combinés à ceux du n°19-3,,,,,,5
60001,"Yukon/Yukon"," 19-2","Swift River",Combined with No./Résultats combinés à ceux du n°19-3,,,,,,1
60001,"Yukon/Yukon"," 19-3","Teslin",2,80,84,13,0,179,347
60001,"Yukon/Yukon"," 20A","Upper Liard",2,68,58,5,0,133,59
60001,"Yukon/Yukon"," 20B","Upper Liard",1,70,76,11,0,158,50
60001,"Yukon/Yukon"," 20-1","Tuchitua",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 21A","Watson Lake",Combined with No./Résultats combinés à ceux du n°20A,,,,,,281
60001,"Yukon/Yukon"," 21B","Watson Lake",Combined with No./Résultats combinés à ceux du n°20B,,,,,,279
60001,"Yukon/Yukon"," 22A","Watson Lake",Combined with No./Résultats combinés à ceux du n°20A,,,,,,160
60001,"Yukon/Yukon"," 22B","Watson Lake",Combined with No./Résultats combinés à ceux du n°20B,,,,,,163
60001,"Yukon/Yukon"," 23A","Takhini",5,93,117,9,1,225,118
60001,"Yukon/Yukon"," 23B","Takhini",6,110,134,11,1,262,154
60001,"Yukon/Yukon"," 23C","Takhini",10,91,114,7,1,223,128
60001,"Yukon/Yukon"," 23D","Takhini",5,121,104,15,4,249,126
60001,"Yukon/Yukon"," 23-1A","Lake Laberge 1",Combined with No./Résultats combinés à ceux du n°23A,,,,,,1
60001,"Yukon/Yukon"," 23-1B","Lake Laberge 1",Combined with No./Résultats combinés à ceux du n°23B,,,,,,2
60001,"Yukon/Yukon"," 23-1C","Lake Laberge 1",Combined with No./Résultats combinés à ceux du n°23C,,,,,,1
60001,"Yukon/Yukon"," 23-1D","Lake Laberge 1",Combined with No./Résultats combinés à ceux du n°23D,,,,,,2
60001,"Yukon/Yukon"," 24A","Takhini",Combined with No./Résultats combinés à ceux du n°23A,,,,,,138
60001,"Yukon/Yukon"," 24B","Takhini",Combined with No./Résultats combinés à ceux du n°23B,,,,,,136
60001,"Yukon/Yukon"," 24C","Takhini",Combined with No./Résultats combinés à ceux du n°23C,,,,,,140
60001,"Yukon/Yukon"," 24D","Takhini",Combined with No./Résultats combinés à ceux du n°23D,,,,,,124
60001,"Yukon/Yukon"," 24-1","Little River",Combined with No./Résultats combinés à ceux du n°23D,,,,,,1
60001,"Yukon/Yukon"," 25A","Takhini",Combined with No./Résultats combinés à ceux du n°23A,,,,,,78
60001,"Yukon/Yukon"," 25B","Takhini",Combined with No./Résultats combinés à ceux du n°23B,,,,,,94
60001,"Yukon/Yukon"," 25C","Takhini",Combined with No./Résultats combinés à ceux du n°23C,,,,,,67
60001,"Yukon/Yukon"," 25D","Takhini",Combined with No./Résultats combinés à ceux du n°23D,,,,,,75
60001,"Yukon/Yukon"," 26A","Whitehorse",Combined with No./Résultats combinés à ceux du n°23A,,,,,,166
60001,"Yukon/Yukon"," 26B","Whitehorse",Combined with No./Résultats combinés à ceux du n°23B,,,,,,168
60001,"Yukon/Yukon"," 26C","Whitehorse",Combined with No./Résultats combinés à ceux du n°23C,,,,,,134
60001,"Yukon/Yukon"," 26D","Whitehorse",Combined with No./Résultats combinés à ceux du n°23D,,,,,,132
60001,"Yukon/Yukon"," 27","Whitehorse",1,47,77,5,2,132,345
60001,"Yukon/Yukon"," 28","Whitehorse",4,73,70,21,0,168,472
60001,"Yukon/Yukon"," 29","Whitehorse",3,73,63,18,0,157,408
60001,"Yukon/Yukon"," 30","Whitehorse",5,64,72,8,0,149,340
60001,"Yukon/Yukon"," 31","Whitehorse",2,97,70,20,0,189,436
60001,"Yukon/Yukon"," 32","Whitehorse",2,65,77,15,1,160,406
60001,"Yukon/Yukon"," 33","Whitehorse",6,84,110,9,0,209,430
60001,"Yukon/Yukon"," 34","Whitehorse",2,105,104,14,1,226,522
60001,"Yukon/Yukon"," 35","Whitehorse",1,82,82,17,0,182,420
60001,"Yukon/Yukon"," 36","Whitehorse",4,92,75,12,3,186,411
60001,"Yukon/Yukon"," 37","Whitehorse",5,54,55,16,1,131,350
60001,"Yukon/Yukon"," 38","Whitehorse",7,74,71,11,1,164,504
60001,"Yukon/Yukon"," 39A","Whitehorse",4,105,62,9,1,181,45
60001,"Yukon/Yukon"," 39B","Whitehorse",2,110,74,10,0,196,60
60001,"Yukon/Yukon"," 39C","Whitehorse",5,88,63,12,1,169,46
60001,"Yukon/Yukon"," 39D","Whitehorse",4,139,72,10,2,227,59
60001,"Yukon/Yukon"," 39E","Whitehorse",3,98,73,12,3,189,45
60001,"Yukon/Yukon"," 39F","Whitehorse",1,81,78,13,0,173,52
60001,"Yukon/Yukon"," 40A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,110
60001,"Yukon/Yukon"," 40B","Whitehorse",Combined with No./Résultats combinés à ceux du n°39B,,,,,,95
60001,"Yukon/Yukon"," 40C","Whitehorse",Combined with No./Résultats combinés à ceux du n°39C,,,,,,79
60001,"Yukon/Yukon"," 40D","Whitehorse",Combined with No./Résultats combinés à ceux du n°39D,,,,,,100
60001,"Yukon/Yukon"," 40E","Whitehorse",Combined with No./Résultats combinés à ceux du n°39E,,,,,,80
60001,"Yukon/Yukon"," 40F","Whitehorse",Combined with No./Résultats combinés à ceux du n°39F,,,,,,88
60001,"Yukon/Yukon"," 41A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,103
60001,"Yukon/Yukon"," 41B","Whitehorse",Combined with No./Résultats combinés à ceux du n°39B,,,,,,121
60001,"Yukon/Yukon"," 41C","Whitehorse",Combined with No./Résultats combinés à ceux du n°39C,,,,,,90
60001,"Yukon/Yukon"," 41D","Whitehorse",Combined with No./Résultats combinés à ceux du n°39D,,,,,,126
60001,"Yukon/Yukon"," 41E","Whitehorse",Combined with No./Résultats combinés à ceux du n°39E,,,,,,123
60001,"Yukon/Yukon"," 41F","Whitehorse",Combined with No./Résultats combinés à ceux du n°39F,,,,,,90
60001,"Yukon/Yukon"," 42A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,76
60001,"Yukon/Yukon"," 42B","Whitehorse",Combined with No./Résultats combinés à ceux du n°39B,,,,,,60
60001,"Yukon/Yukon"," 42C","Whitehorse",Combined with No./Résultats combinés à ceux du n°39C,,,,,,67
60001,"Yukon/Yukon"," 42D","Whitehorse",Combined with No./Résultats combinés à ceux du n°39D,,,,,,92
60001,"Yukon/Yukon"," 42E","Whitehorse",Combined with No./Résultats combinés à ceux du n°39E,,,,,,77
60001,"Yukon/Yukon"," 42F","Whitehorse",Combined with No./Résultats combinés à ceux du n°39F,,,,,,71
60001,"Yukon/Yukon"," 43A","Whitehorse",Combined with No./Résultats combinés à ceux du n°39A,,,,,,49
