id,type,item owner id,layer title,title,coordinates,description,image count,created date,last modification date,item views,Media Type,Transition Type,Date of Change,Owner,Community,Sources,Language
1,marker,-1,Newspapers,Flin Flon Reminder,"54.7687799, -101.87742","The Flin Flon Reminder was founded as a daily newspaper on October 16, 1946, to serve the town of Flin Flon. Flin Flon crosses the border between Manitoba and Saskatchewan, with the majority of the town located within Manitoba. The newspaper reduced the frequency of its print editions to three days per week in April 2005 and to two days per week in August 2015. The community newspaper became a weekly publication on January 31, 2017.",0,2015-10-07 12:59,2025-07-25 16:06,267,community paper,decrease in service,2017-01-31,Glacier Media,"Flin Flon, Manitoba","[""https:\/\/www.thereminder.ca\/local-news\/extra-extra-reminder-now-publishing-weekly-4102782""]","[""English""]"
3,marker,-1,Newspapers,Kelowna Capital News,"49.8861551, -119.43103","Kelowna Capital News cut its Friday print edition on March 26, 2020, due to the impacts of COVID-19 and continued to publish a print edition on Wednesdays. The newspaper confirmed in April 2022 that the change to a weekly print edition had become permanent. The newspaper now publishes its print edition on Thursdays. Kelowna Capital News previously reduced its publication schedule to twice per week from three editions per week on September 15, 2014.",0,2015-10-07 12:59,2022-07-28 7:30,228,community paper,decrease in service,2020-03-26,Black Press,"Kelowna, British Columbia","[""http:\/\/www.newspaperscanada.ca\/sites\/default\/files\/Newspaper_Industry_Year_in_Review_2014.pdf"",""https:\/\/www.kelownacapnews.com\/business\/black-press-newspapers-adapt-to-covid-19-impact\/"",""https:\/\/j-source.ca\/covid-19-media-impact-map-for-canada-kelowna-capital-news\/""]","[""English""]"
4,marker,-1,Newspapers,Lâ€™Ã‰cho de Victoriaville,"46.0558774, -71.958001","Lâ€™Ã‰cho de Victoriaville, a Quebecor publication, competed with Transcontinental's La Nouvelle Union. It was launched in 2012 and closed in September 2014. ",0,2015-10-07 12:59,2017-12-17 18:50,153,daily paper - paid,closed,2014-09-03,Quebecor,"Victoriaville, Quebec","[""http:\/\/www.newspaperscanada.ca\/sites\/default\/files\/Newspaper_Industry_Year_in_Review_2014.pdf"",""http:\/\/tctranscontinental.com\/en\/-\/transcontinental-inc-announces-the-results-of-the-sale-process-of-the-weekly-newspapers-in-quebec-designated-by-the-competition-bureau?p_p_id=82&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&_82_struts_action=%2Flanguage%2Fview&&languageId=en_CA""]","[""French""]"
5,marker,-1,Newspapers,Golden Ears Daily,"49.162674, -122.585946","The Golden Ears Daily, a Black Press-owned free daily, ceased publication in November, 2013.",0,2015-10-07 12:59,2018-03-20 7:14,124,daily paper - free,closed,2013-11-29,Black Press,"Fort Langley, British Columbia","[""Black Press Staff""]","[""English""]"
7,marker,-1,Newspapers,The Dunnville Chronicle,"42.9029105, -79.618017","The Dunnville Chronicle and the West Niagara News were closed by Sun Media in November, 2012.",0,2015-10-07 12:59,2016-06-16 11:45,340,community paper,closed,2012-11-28,Sun Media,"Dunnville, Ontario","[""http:\/\/j-source.ca\/article\/why-we-should-care-when-community-newspaper-shuts-down"",""http:\/\/www.thespec.com\/news-story\/2125580-sun-media-shutters-two-niagara-news-outlets-in-one-week\/""]","[""English""]"
8,marker,-1,Newspapers,Victoria News Daily,"48.4235812, -123.36143","The Victoria News Daily ceased publication in November 2013. (It is different from the Victoria News,  a community newspaper. )",0,2015-10-07 12:59,2016-06-16 11:50,257,daily paper - free,closed,2013-11-01,Black Press,"Victoria, British Columbia","[""Black Press Staff""]","[""English""]"
9,marker,-1,Newspapers,La Nouvelle,"45.274333, -75.281808","La Nouvelle, a Transcontinental community paper, ceased publication in the first quarter of 2012. ",0,2015-10-07 12:59,2017-12-19 19:53,86,community paper,closed,2012-02-14,Transcontinental,"Embrun, Ontario","[""https:\/\/en.wikipedia.org\/wiki\/Embrun,_Ontario#Media""]","[""English""]"
10,marker,-1,Newspapers,Markdale Standard,"44.3192194, -80.647986","Markdale Standard, a Sun Media community newspaper, ceased publication in the third quarter of 2012.",0,2015-10-07 12:59,2016-06-16 11:43,627,community paper,closed,2012-09-01,Sun Media,"Markdale, Ontario","[""http:\/\/j-source.ca\/article\/why-we-should-care-when-community-newspaper-shuts-down"",""https:\/\/blogtoonnetwork.wordpress.com\/2012\/11\/24\/markdale-standard-and-comics\/""]","[""English""]"
12,marker,-1,Newspapers,The Charter,"47.242147, -53.9633078","In October 2013 Transcontinental  Media closed The Charter, a community paper that served Placentia for 16 years. ",0,2015-10-07 12:59,2018-04-09 18:27,212,community paper,closed,2013-10-01,Transcontinental,"Placentia, Newfoundland and Labrador","[""http:\/\/www.newspaperscanada.ca\/sites\/default\/files\/Newspaper%20Industry%20Year%20in%20Review%202013.pdf""]","[""English""]"
13,marker,-1,Newspapers,Amherst News,"45.815936, -64.20437","SaltWire Network confirmed in March 2021 that Amherst News had permanently closed. The weekly community newspaper had been temporarily closed since March 25, 2020, due to the impacts of the pandemic.
The newspaper absorbed The Citizen Record on July 1, 2018 and changed from a paid-for community newspaper to a free community paper. The Amherst News stopped daily publication and became a weekly newspaper as of Aug. 2, 2013. ",0,2015-10-07 12:59,2021-03-31 19:57,187,community paper,closed,2021-03-01,SaltWire Network,"Amherst, Nova Scotia","[""http:\/\/www.vancouversun.com\/news\/Newspapers+healthy+despite+Kamloops+Daily+News+closure+industry+spokesman+says\/9355158\/story.html"",""http:\/\/www.cbc.ca\/news\/canada\/nova-scotia\/amherst-daily-news-ends-120-year-run-as-daily-paper-1.1403119"",""https:\/\/www.cbc.ca\/news\/canada\/nova-scotia\/saltwire-network-announces-temporary-layoffs-covid-19-1.5508396"",""https:\/\/globalnews.ca\/news\/6726717\/coronavirus-atlantic-canada-media-layoffs-saltwire\/"",""https:\/\/j-source.ca\/article\/covid-19-media-impact-map-for-canada-saltwire-network\/""]","[""English""]"
